date	ouv	haut	bas	clot	vol	devise	
03/06/2015 00:00	14.01	14.01	14.01	14.01	0	EUR	
04/08/2015 00:00	12.61	12.61	12.61	12.61	0	EUR	
30/11/2015 00:00	12.84	12.84	12.84	12.84	0	EUR	
17/02/2016 00:00	12.84	12.84	12.84	12.84	0	EUR	
26/02/2016 00:00	14.12	14.12	14.12	14.12	200	EUR	
11/03/2016 00:00	19.45	19.45	19.45	19.45	32	EUR	
23/03/2016 00:00	10	10	10	10	0	EUR	
05/07/2016 00:00	14.5	14.5	14.5	14.5	0	EUR	
07/07/2016 00:00	14.2	14.2	14.2	14.2	0	EUR	
21/07/2016 00:00	14.2	14.2	14.2	14.2	0	EUR	
08/08/2016 00:00	14.2	14.2	14.2	14.2	0	EUR	
12/08/2016 00:00	15.6	15.6	15.6	15.6	520	EUR	
12/09/2016 00:00	15.6	15.6	15.6	15.6	0	EUR	
16/09/2016 00:00	15.5	15.5	15.5	15.5	300	EUR	
15/12/2016 00:00	11.31	11.31	11.31	11.31	0	EUR	
19/12/2016 00:00	10.18	10.18	10.18	10.18	25	EUR	
20/12/2016 00:00	10.19	10.19	10.19	10.19	0	EUR	
23/12/2016 00:00	9.01	9.01	9.01	9.01	25	EUR	
02/01/2017 00:00	8.2	8.2	8.2	8.2	0	EUR	
27/01/2017 00:00	8.2	8.2	8.2	8.2	20	EUR	
15/02/2017 00:00	9	9	9	9	0	EUR	
23/03/2017 00:00	11.85	11.85	11.85	11.85	0	EUR	
25/04/2017 00:00	13.03	13.03	13.03	13.03	0	EUR	
27/04/2017 00:00	10.63	10.63	10.63	10.63	0	EUR	
10/05/2017 00:00	11.69	11.69	11.69	11.69	0	EUR	
17/05/2017 00:00	14.13	14.13	14.13	14.13	0	EUR	
19/05/2017 00:00	14.65	14.65	14.65	14.65	30	EUR	
24/05/2017 00:00	14.65	14.65	14.65	14.65	0	EUR	
13/06/2017 00:00	15.7	15.7	15.7	15.7	150	EUR	
14/06/2017 00:00	15.8	15.8	15.8	15.8	0	EUR	
16/06/2017 00:00	15.8	15.8	15.8	15.8	150	EUR	
19/06/2017 00:00	17.5	17.5	17.5	17.5	0	EUR	
21/06/2017 00:00	17.5	17.5	17.5	17.5	0	EUR	
26/06/2017 00:00	18	18	18	18	0	EUR	
28/06/2017 00:00	16.3	16.3	16.3	16.3	0	EUR	
11/07/2017 00:00	10.72	10.72	10.72	10.72	0	EUR	
24/07/2017 00:00	15.51	15.51	15.51	15.51	0	EUR	
09/11/2017 00:00	11.21	11.21	11.21	11.21	2	EUR	
10/11/2017 00:00	11	11	11	11	315	EUR	
14/11/2017 00:00	10.07	10.07	10.07	10.07	0	EUR	
17/11/2017 00:00	10.12	10.12	10.12	10.12	2	EUR	
28/11/2017 00:00	17.49	17.49	17.49	17.49	0	EUR	
15/12/2017 00:00	11.5	11.5	11.5	11.5	11	EUR	
18/12/2017 00:00	12.6	12.6	12.6	12.6	0	EUR	
29/12/2017 00:00	15.12	15.12	15.12	15.12	25	EUR	
26/01/2018 00:00	17.2	17.2	17.2	17.2	1	EUR	
28/02/2018 00:00	12.6	12.6	12.6	12.6	0	EUR	
15/03/2018 00:00	13.8	13.8	13.8	13.8	0	EUR	
26/06/2018 00:00	11.3	11.3	11.3	11.3	0	EUR	
05/09/2018 00:00	8.3	8.3	8.3	8.3	0	EUR	
14/09/2018 00:00	14.9	14.9	14.9	14.9	113	EUR	
02/10/2018 00:00	11	11	11	11	113	EUR	
03/10/2018 00:00	13	13	13	13	0	EUR	
08/10/2018 00:00	10.5	10.5	10.5	10.5	0	EUR	
15/10/2018 00:00	13	13	13	13	0	EUR	
05/11/2018 00:00	15	15	15	15	0	EUR	
12/12/2018 00:00	7.3	7.3	7.3	7.3	0	EUR	
28/12/2018 00:00	7.95	7.95	7.95	7.95	6	EUR	
08/01/2019 00:00	9	9	9	9	0	EUR	
10/01/2019 00:00	10.8	10.8	10.8	10.8	0	EUR	
14/01/2019 00:00	11.8	11.8	11.8	11.8	0	EUR	
16/01/2019 00:00	11.8	11.8	11.8	11.8	0	EUR	
24/01/2019 00:00	11.8	11.8	11.8	11.8	0	EUR	
28/03/2019 00:00	11.7	11.7	11.7	11.7	0	EUR	
04/06/2019 00:00	15.5	15.5	15.5	15.5	0	EUR	
07/06/2019 00:00	8.4	8.4	8.4	8.4	50	EUR	
10/06/2019 00:00	9.2	9.2	9.2	9.2	0	EUR	
12/06/2019 00:00	10.1	10.1	10.1	10.1	0	EUR	
17/06/2019 00:00	11.1	11.1	11.1	11.1	0	EUR	
26/06/2019 00:00	8.2	8.2	8.2	8.2	0	EUR	
22/08/2019 00:00	12.9	12.9	12.9	12.9	1	EUR	
17/10/2019 00:00	7.7	7.7	7.7	7.7	0	EUR	
30/10/2019 00:00	8	8	8	8	0	EUR	
05/11/2019 00:00	12.7	12.7	12.7	12.7	2	EUR	
06/11/2019 00:00	12.7	12.7	12.7	12.7	0	EUR	
24/01/2020 00:00	6.2	6.2	6.2	6.2	1	EUR	
10/02/2020 00:00	10.7	10.7	10.7	10.7	0	EUR	
07/04/2020 00:00	10.5	10.5	10.5	10.5	1	EUR	
08/04/2020 00:00	10.2	10.2	10.2	10.2	0	EUR	
