date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	30.43	30.49	29.99	30.04	2094800	USD	
19/05/2015 00:00	29.82	29.83	29.43	29.54	4162801	USD	
20/05/2015 00:00	29.65	30.04	29.64	29.85	2573581	USD	
21/05/2015 00:00	29.98	30.355	29.87	30.17	2310623	USD	
22/05/2015 00:00	29.84	30.23	29.7	30.17	2337710	USD	
26/05/2015 00:00	29.59	29.68	29.01	29.14	3157759	USD	
27/05/2015 00:00	29.07	29.25	28.83	29.15	2037214	USD	
28/05/2015 00:00	28.86	29.36	28.67	29.35	3236405	USD	
29/05/2015 00:00	29.23	29.34	28.87	29.23	2875591	USD	
01/06/2015 00:00	29.2	29.25	28.74	28.89	4162499	USD	
02/06/2015 00:00	28.88	29.34	28.82	29.12	2304085	USD	
03/06/2015 00:00	29.02	29.38	28.96	29.16	2744390	USD	
04/06/2015 00:00	28.92	29.1	28.74	28.895	3283747	USD	
05/06/2015 00:00	28.63	29.45	28.54	28.96	3577640	USD	
08/06/2015 00:00	28.87	28.95	28.18	28.28	3478857	USD	
09/06/2015 00:00	28.59	29.24	28.59	29.07	3640978	USD	
10/06/2015 00:00	29.7	29.76	29.385	29.55	3201390	USD	
11/06/2015 00:00	29.48	29.53	28.745	28.915	3034921	USD	
12/06/2015 00:00	28.64	28.72	28.23	28.25	3083294	USD	
15/06/2015 00:00	28.06	28.2	27.71	27.79	5105956	USD	
16/06/2015 00:00	27.75	28.03	27.5	28	3258955	USD	
17/06/2015 00:00	28.22	28.42	27.65	28.165	3419375	USD	
18/06/2015 00:00	28.38	28.39	27.795	27.81	2821975	USD	
19/06/2015 00:00	27.56	27.776	27.33	27.46	5382099	USD	
22/06/2015 00:00	27.43	27.829	27.3	27.635	2657221	USD	
23/06/2015 00:00	27.51	28.305	27.4	28.2	4218090	USD	
24/06/2015 00:00	28.07	28.89	28.03	28.78	5780471	USD	
25/06/2015 00:00	28.8	28.85	27.965	28.04	4590686	USD	
26/06/2015 00:00	27.89	28.155	27.66	27.91	6859346	USD	
29/06/2015 00:00	27.5	27.695	27.24	27.26	4862648	USD	
30/06/2015 00:00	27.49	27.775	27.405	27.53	4598728	USD	
01/07/2015 00:00	27.51	27.89	27.31	27.4	4322143	USD	
02/07/2015 00:00	27.52	27.78	27.52	27.61	2627134	USD	
06/07/2015 00:00	26.94	27.405	26.83	27.02	2952667	USD	
07/07/2015 00:00	26.9	27.52	26.55	27.5	4302849	USD	
08/07/2015 00:00	27.22	27.41	26.7	27.04	2772320	USD	
09/07/2015 00:00	27.38	27.46	26.53	26.59	3760804	USD	
10/07/2015 00:00	26.83	26.92	26.45	26.81	3392142	USD	
13/07/2015 00:00	26.66	27.075	26.52	27.01	2356302	USD	
14/07/2015 00:00	26.89	27.58	26.77	27.52	3313506	USD	
15/07/2015 00:00	27.32	27.63	26.99	27.21	3627220	USD	
16/07/2015 00:00	27.42	27.53	27.08	27.165	3194821	USD	
17/07/2015 00:00	27.17	27.17	26.51	26.63	3403129	USD	
20/07/2015 00:00	26.55	26.6	26.035	26.05	4543071	USD	
21/07/2015 00:00	26.19	26.48	25.7	25.75	3451860	USD	
22/07/2015 00:00	25.55	25.86	25.25	25.78	4717827	USD	
23/07/2015 00:00	25.71	25.82	25.3	25.77	5389132	USD	
24/07/2015 00:00	25.75	25.75	25.115	25.37	4623649	USD	
27/07/2015 00:00	25.09	25.34	24.913	25.08	3464640	USD	
28/07/2015 00:00	25.2	25.7	24.96	25.67	5053506	USD	
29/07/2015 00:00	25.58	26.72	25.385	26.7	5943976	USD	
30/07/2015 00:00	27.37	28.57	27.36	28.28	7022939	USD	
31/07/2015 00:00	28.26	28.47	28.01	28.16	4209602	USD	
03/08/2015 00:00	27.86	28.29	27.62	27.65	3763385	USD	
04/08/2015 00:00	27.61	28.28	27.61	28	5154079	USD	
05/08/2015 00:00	28.33	28.63	27.9	28.305	4558734	USD	
06/08/2015 00:00	28.06	28.65	27.83	28.62	4661146	USD	
07/08/2015 00:00	28.4	29.024	28.3	28.44	3103226	USD	
10/08/2015 00:00	28.41	29.07	27.97	29.01	2817652	USD	
11/08/2015 00:00	28.39	28.83	28.04	28.81	3157548	USD	
12/08/2015 00:00	28.86	29.17	28.55	28.9	3687904	USD	
13/08/2015 00:00	28.57	28.63	28	28.21	3725573	USD	
14/08/2015 00:00	28.24	28.65	28.17	28.455	3236846	USD	
17/08/2015 00:00	28.34	28.35	27.84	27.955	3619615	USD	
18/08/2015 00:00	27.94	27.94	27.59	27.85	3622390	USD	
19/08/2015 00:00	27.55	27.71	26.69	26.84	4472191	USD	
20/08/2015 00:00	26.69	26.98	26.14	26.155	4115205	USD	
21/08/2015 00:00	26.12	26.685	25.77	26.04	6137166	USD	
24/08/2015 00:00	24.47	25.9	24.2	24.81	7985060	USD	
25/08/2015 00:00	25.74	26	25.07	25.18	7570342	USD	
26/08/2015 00:00	25.76	25.98	25	25.94	4988252	USD	
27/08/2015 00:00	26.54	27.65	26.48	27.57	8976294	USD	
28/08/2015 00:00	27.32	28.265	27.23	27.86	8050366	USD	
31/08/2015 00:00	27.3	28.32	26.74	28.24	6983898	USD	
01/09/2015 00:00	27.5	27.64	27.01	27.18	6829003	USD	
02/09/2015 00:00	27.42	27.42	26.07	26.37	7013767	USD	
03/09/2015 00:00	26.44	27.295	26.3	26.495	5658931	USD	
04/09/2015 00:00	26.08	26.52	25.94	26.49	3810058	USD	
08/09/2015 00:00	26.56	26.75	26.03	26.6	3409577	USD	
09/09/2015 00:00	26.82	27.005	26.17	26.24	3764216	USD	
10/09/2015 00:00	26.16	26.77	26.05	26.47	4141609	USD	
11/09/2015 00:00	26.08	26.13	25.62	25.71	3858010	USD	
14/09/2015 00:00	25.7	25.71	25.26	25.36	4083120	USD	
15/09/2015 00:00	25.4	25.745	25.04	25.23	4210664	USD	
16/09/2015 00:00	25.43	26.46	25.42	26.41	5884389	USD	
17/09/2015 00:00	26.31	27.17	26.05	26.68	6750074	USD	
18/09/2015 00:00	26.27	26.34	25.81	25.82	6316292	USD	
21/09/2015 00:00	26.12	26.405	25.88	26.27	4046141	USD	
22/09/2015 00:00	25.8	26.225	25.68	26.05	3406387	USD	
23/09/2015 00:00	26.1	26.28	25.53	25.56	4728517	USD	
24/09/2015 00:00	25.41	26.17	25.35	25.86	4828008	USD	
25/09/2015 00:00	26.2	26.41	25.98	26.31	4041863	USD	
28/09/2015 00:00	26.03	26.24	25.83	25.85	2904348	USD	
29/09/2015 00:00	25.85	26.54	25.74	26.44	4280163	USD	
30/09/2015 00:00	26.6	26.94	26.03	26.72	4709464	USD	
01/10/2015 00:00	27.25	27.65	26.46	26.565	4232098	USD	
02/10/2015 00:00	26.46	26.94	26.34	26.86	4694548	USD	
