date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	21.74	21.77	21.55	21.57	2100	EUR	
19/05/2015 00:00	21.55	21.88	21.55	21.85	4220	EUR	
20/05/2015 00:00	21.88	22.08	21.88	22	2671	EUR	
21/05/2015 00:00	22.26	22.26	21.9	21.9	2481	EUR	
22/05/2015 00:00	21.8	21.88	21.75	21.75	2241	EUR	
25/05/2015 00:00	21.76	21.96	21.76	21.96	620	EUR	
26/05/2015 00:00	21.85	21.86	21.6	21.64	2476	EUR	
27/05/2015 00:00	21.73	21.73	21.51	21.73	2267	EUR	
28/05/2015 00:00	21.73	21.73	21.39	21.6	3715	EUR	
29/05/2015 00:00	21.34	21.5	21	21	6070	EUR	
01/06/2015 00:00	21.05	21.15	20.33	20.33	5684	EUR	
02/06/2015 00:00	20.3	20.44	20.15	20.32	5979	EUR	
03/06/2015 00:00	20.32	20.55	20.25	20.38	6107	EUR	
04/06/2015 00:00	20.5	20.7	20.4	20.65	4024	EUR	
05/06/2015 00:00	20.65	20.69	20.34	20.35	1629	EUR	
08/06/2015 00:00	20.8	20.8	20.41	20.59	3518	EUR	
09/06/2015 00:00	20.61	20.61	20.25	20.28	4053	EUR	
10/06/2015 00:00	20.2	20.2	19.8	19.88	7232	EUR	
11/06/2015 00:00	19.89	20	19.83	19.86	3890	EUR	
12/06/2015 00:00	20	20.3	19.82	20.3	3912	EUR	
15/06/2015 00:00	20.6	20.6	20.03	20.13	5777	EUR	
16/06/2015 00:00	20.12	20.45	19.86	19.86	7283	EUR	
17/06/2015 00:00	20.1	20.3	19.88	20.13	2895	EUR	
18/06/2015 00:00	20.15	20.25	20.13	20.13	2661	EUR	
19/06/2015 00:00	20.13	20.25	20.1	20.16	3220	EUR	
22/06/2015 00:00	20.12	20.3	20.12	20.14	3354	EUR	
23/06/2015 00:00	20.15	20.25	20.04	20.04	3888	EUR	
24/06/2015 00:00	20	20.14	20	20.04	785	EUR	
25/06/2015 00:00	20.08	20.08	19.8	20	4266	EUR	
26/06/2015 00:00	20.05	20.07	19.9	20.03	688	EUR	
29/06/2015 00:00	19.4	19.59	19.1	19.25	12587	EUR	
30/06/2015 00:00	19.4	19.54	19.26	19.5	1810	EUR	
01/07/2015 00:00	19.55	20	19.47	20	1876	EUR	
02/07/2015 00:00	19.8	20	19.8	19.94	2171	EUR	
03/07/2015 00:00	19.9	19.9	19.6	19.69	1441	EUR	
06/07/2015 00:00	19.4	19.67	19.4	19.47	2778	EUR	
07/07/2015 00:00	19.44	19.63	19.44	19.49	745	EUR	
08/07/2015 00:00	19.4	19.75	19.4	19.5	2975	EUR	
09/07/2015 00:00	19.51	19.79	19.51	19.75	1597	EUR	
10/07/2015 00:00	19.8	20.17	19.8	20.1	3576	EUR	
13/07/2015 00:00	20.18	20.47	20.02	20.35	5386	EUR	
14/07/2015 00:00	20.45	20.45	20.22	20.22	1299	EUR	
15/07/2015 00:00	20.41	20.41	20.2	20.41	3647	EUR	
16/07/2015 00:00	20.45	20.52	20.35	20.43	6759	EUR	
17/07/2015 00:00	20.5	20.54	20.36	20.53	6412	EUR	
20/07/2015 00:00	20.55	20.7	20.4	20.69	7727	EUR	
21/07/2015 00:00	20.7	20.7	20.3	20.4	5570	EUR	
22/07/2015 00:00	20.35	20.61	20.3	20.3	4064	EUR	
23/07/2015 00:00	20.6	20.75	20.51	20.75	6658	EUR	
24/07/2015 00:00	20.8	21.59	20.69	21.53	16056	EUR	
27/07/2015 00:00	21.58	21.6	21.1	21.6	6423	EUR	
28/07/2015 00:00	21.58	21.63	21.48	21.57	2672	EUR	
29/07/2015 00:00	21.63	21.67	21.5	21.65	4545	EUR	
30/07/2015 00:00	21.65	21.65	21.31	21.58	1787	EUR	
31/07/2015 00:00	21.64	21.65	21.5	21.6	1226	EUR	
03/08/2015 00:00	21.6	21.75	21.5	21.65	1408	EUR	
04/08/2015 00:00	21.7	21.71	21.65	21.69	2967	EUR	
05/08/2015 00:00	21.69	21.75	21.68	21.7	4460	EUR	
06/08/2015 00:00	21.69	21.75	21.5	21.5	2870	EUR	
07/08/2015 00:00	21.49	21.59	21.38	21.55	1102	EUR	
