date	ouv	haut	bas	clot	vol	devise	
17/01/2017 00:00	33.99	33.99	33.09	33.25	4889861	EUR	
18/01/2017 00:00	33	33.19	32.03	32.71	3581403	EUR	
19/01/2017 00:00	32.56	32.85	32.19	32.2	2995189	EUR	
20/01/2017 00:00	31.9	32.265	31.72	32.05	2008444	EUR	
23/01/2017 00:00	31.31	31.615	31.025	31.23	2339880	EUR	
24/01/2017 00:00	31.325	31.59	30.94	31.55	2371634	EUR	
25/01/2017 00:00	31.85	32.635	31.85	32.525	1970193	EUR	
26/01/2017 00:00	32.51	33.11	32.435	33.11	1729619	EUR	
27/01/2017 00:00	33.1	33.4	33	33.255	1308562	EUR	
30/01/2017 00:00	32.8	32.99	31.36	31.36	1532497	EUR	
31/01/2017 00:00	30.89	31.07	30.36	30.36	1779419	EUR	
01/02/2017 00:00	30.92	31.41	30.8	31.35	1598176	EUR	
02/02/2017 00:00	31.42	31.42	30.3	30.3	2050426	EUR	
03/02/2017 00:00	30.45	30.91	30.17	30.81	1244784	EUR	
06/02/2017 00:00	30.8	30.835	30.12	30.12	1239474	EUR	
07/02/2017 00:00	30	30.04	29.18	29.18	1957443	EUR	
08/02/2017 00:00	29.3	29.49	28.605	29.01	2008260	EUR	
09/02/2017 00:00	29	29.515	28.86	29.29	1209205	EUR	
10/02/2017 00:00	29.25	29.735	28.875	29.55	1610637	EUR	
13/02/2017 00:00	29.65	30.26	29.65	30	1283909	EUR	
14/02/2017 00:00	30.18	30.595	29.77	30.08	1386860	EUR	
15/02/2017 00:00	30.27	30.995	30.27	30.85	1575544	EUR	
16/02/2017 00:00	31.04	31.04	30.28	30.635	1795595	EUR	
17/02/2017 00:00	30.4	30.565	29.97	30.19	1208557	EUR	
20/02/2017 00:00	30.08	30.86	30.08	30.835	791501	EUR	
21/02/2017 00:00	30.9	31.075	30.295	30.9	874958	EUR	
22/02/2017 00:00	30.86	31.125	30.705	31.125	850020	EUR	
23/02/2017 00:00	31.095	31.53	30.805	30.95	1174328	EUR	
24/02/2017 00:00	30.84	30.875	29.91	30.38	1576077	EUR	
27/02/2017 00:00	30.6	30.915	29.625	30.65	1991765	EUR	
28/02/2017 00:00	31.02	31.095	30.325	30.445	1974981	EUR	
01/03/2017 00:00	30.51	31.31	30.51	31.3	1423037	EUR	
02/03/2017 00:00	31.5	32.105	31.495	31.58	1434108	EUR	
03/03/2017 00:00	31.48	31.58	31.245	31.245	1084780	EUR	
06/03/2017 00:00	30.51	30.62	30.25	30.26	1397348	EUR	
07/03/2017 00:00	30.3	30.39	29.93	29.99	1152400	EUR	
08/03/2017 00:00	29.9	30.26	29.515	30.01	1372967	EUR	
09/03/2017 00:00	30	30	29.175	29.34	2193082	EUR	
10/03/2017 00:00	29.545	29.895	29.315	29.47	1575527	EUR	
13/03/2017 00:00	29.78	30.025	29.64	29.71	1275971	EUR	
14/03/2017 00:00	29.7	29.805	29.12	29.25	1431685	EUR	
15/03/2017 00:00	29.6	29.93	29.54	29.74	1781921	EUR	
16/03/2017 00:00	29.955	30.125	29.35	29.6	1617318	EUR	
17/03/2017 00:00	29.27	29.735	29	29	8583527	EUR	
20/03/2017 00:00	29.26	29.3	28.945	29.095	1565386	EUR	
21/03/2017 00:00	29.29	29.42	29.015	29.25	1307197	EUR	
22/03/2017 00:00	29.205	29.565	29.02	29.5	1629426	EUR	
23/03/2017 00:00	29.6	29.63	29.18	29.235	1882324	EUR	
24/03/2017 00:00	29.275	29.36	29	29.05	1086698	EUR	
27/03/2017 00:00	28.99	28.99	28.65	28.9	1218388	EUR	
28/03/2017 00:00	28.975	29.26	28.77	29.06	1678951	EUR	
29/03/2017 00:00	29.44	30.4	29.44	30.39	1817329	EUR	
30/03/2017 00:00	30.55	30.96	30.405	30.56	1044910	EUR	
31/03/2017 00:00	30.245	30.775	30.1	30.59	957274	EUR	
03/04/2017 00:00	30.72	30.895	30.23	30.26	970267	EUR	
04/04/2017 00:00	30.3	30.73	30.11	30.685	867177	EUR	
05/04/2017 00:00	30.59	31.665	30.54	31.305	1818059	EUR	
06/04/2017 00:00	30.63	31.965	30.605	31.805	2059850	EUR	
07/04/2017 00:00	31.75	32.175	31.6	31.835	1060381	EUR	
10/04/2017 00:00	31.72	31.885	31.22	31.7	850531	EUR	
11/04/2017 00:00	31.48	31.85	31.275	31.445	827598	EUR	
12/04/2017 00:00	31.56	31.89	31.54	31.635	738281	EUR	
13/04/2017 00:00	31.435	31.44	30.93	31.015	1092677	EUR	
18/04/2017 00:00	31	31.03	30.22	30.305	976551	EUR	
19/04/2017 00:00	30.3	30.395	30.16	30.27	832298	EUR	
20/04/2017 00:00	29.95	30.3	29.785	30.11	1295409	EUR	
21/04/2017 00:00	30.155	30.24	29.475	29.475	1645518	EUR	
24/04/2017 00:00	30.295	30.895	29.655	29.75	1959164	EUR	
25/04/2017 00:00	29.36	29.755	29.21	29.35	1694089	EUR	
26/04/2017 00:00	29.38	29.885	29.285	29.78	1921843	EUR	
27/04/2017 00:00	29.3	29.475	26.37	28.045	5752469	EUR	
28/04/2017 00:00	27.75	27.92	27.28	27.6	2733639	EUR	
02/05/2017 00:00	27.79	28.54	27.505	28.47	2406849	EUR	
03/05/2017 00:00	28.24	28.595	28.095	28.595	1527946	EUR	
04/05/2017 00:00	28.81	28.85	28.16	28.32	2151415	EUR	
05/05/2017 00:00	28.155	29.05	27.935	29.05	1778003	EUR	
08/05/2017 00:00	29.18	29.25	28.64	28.925	1170095	EUR	
09/05/2017 00:00	28.985	29.215	28.77	28.9	957651	EUR	
10/05/2017 00:00	28.98	29.82	28.88	29.695	1550366	EUR	
11/05/2017 00:00	29.53	29.91	28.95	29.2	1662473	EUR	
12/05/2017 00:00	29.22	29.275	28.47	28.505	1855568	EUR	
15/05/2017 00:00	28.6	29.075	28.515	29.015	2033152	EUR	
16/05/2017 00:00	28.74	28.89	28.355	28.5	2117136	EUR	
17/05/2017 00:00	28.32	28.505	27.855	28.22	1905193	EUR	
18/05/2017 00:00	28.075	28.3	27.65	28.195	1869874	EUR	
19/05/2017 00:00	28.335	28.63	28.265	28.49	1322839	EUR	
22/05/2017 00:00	28.655	28.985	28.54	28.6	985409	EUR	
23/05/2017 00:00	28.68	28.865	28.38	28.435	753844	EUR	
24/05/2017 00:00	28.37	28.535	28.225	28.3	1237330	EUR	
25/05/2017 00:00	26.8	28.145	26.625	26.8	2819718	EUR	
26/05/2017 00:00	26.39	26.6	25.425	26	4405345	EUR	
29/05/2017 00:00	26.1	26.13	25.8	25.985	1232394	EUR	
30/05/2017 00:00	25.955	25.97	25.73	25.73	1885167	EUR	
31/05/2017 00:00	25.795	25.97	25.29	25.29	2310047	EUR	
01/06/2017 00:00	25.62	26.05	25.45	25.69	2146346	EUR	
02/06/2017 00:00	26.16	26.185	25.5	25.87	2659358	EUR	
05/06/2017 00:00	25.75	25.92	25.495	25.695	964772	EUR	
06/06/2017 00:00	25.85	25.85	25.46	25.55	1210546	EUR	
07/06/2017 00:00	25.59	25.635	25.025	25.075	1830152	EUR	
08/06/2017 00:00	25.02	25.32	24.825	25.16	1675199	EUR	
09/06/2017 00:00	24.985	25.215	24.74	25.18	1641882	EUR	
12/06/2017 00:00	25.44	25.785	25.135	25.5	1870360	EUR	
13/06/2017 00:00	25.65	25.72	25.37	25.55	1731415	EUR	
14/06/2017 00:00	25.65	25.87	24.955	24.955	2024841	EUR	
15/06/2017 00:00	25.26	25.28	24.39	24.69	2986993	EUR	
16/06/2017 00:00	24.82	24.99	24.36	24.4	3336321	EUR	
19/06/2017 00:00	24.455	24.595	24.155	24.395	1738228	EUR	
20/06/2017 00:00	24.375	24.505	23.72	23.935	2203136	EUR	
21/06/2017 00:00	23.765	24.275	23.64	23.745	1995978	EUR	
22/06/2017 00:00	23.655	24.255	23.405	24.11	2508435	EUR	
23/06/2017 00:00	24.105	24.18	23.935	23.955	1382650	EUR	
26/06/2017 00:00	23.985	24.63	23.905	24.04	1543562	EUR	
27/06/2017 00:00	23.98	24.265	23.825	24.115	1919508	EUR	
28/06/2017 00:00	23.74	24.165	23.61	24.13	2134424	EUR	
29/06/2017 00:00	24	24.215	23.68	23.73	2091891	EUR	
30/06/2017 00:00	23.77	23.95	23.435	23.745	1982851	EUR	
03/07/2017 00:00	23.935	24.695	23.84	24.625	2070718	EUR	
04/07/2017 00:00	24.565	24.8	24.49	24.69	835553	EUR	
05/07/2017 00:00	24.605	24.725	23.91	23.98	2151668	EUR	
06/07/2017 00:00	24.245	24.42	23.79	23.925	1747798	EUR	
07/07/2017 00:00	23.89	23.89	23.14	23.28	1745506	EUR	
10/07/2017 00:00	23.32	23.72	23.11	23.69	1309604	EUR	
11/07/2017 00:00	23.805	24.46	23.685	24.235	1998274	EUR	
12/07/2017 00:00	24.15	24.66	23.945	24.22	2079535	EUR	
13/07/2017 00:00	23.98	24.01	23.51	23.745	2343159	EUR	
14/07/2017 00:00	23.95	24.75	23.87	24.4	2493797	EUR	
17/07/2017 00:00	24.4	24.63	24.195	24.395	1006615	EUR	
18/07/2017 00:00	24.35	24.505	24.07	24.085	1197424	EUR	
19/07/2017 00:00	24.115	24.49	23.875	24.44	1161522	EUR	
20/07/2017 00:00	24.8	25.1	24.32	24.375	1688075	EUR	
21/07/2017 00:00	24.5	24.635	23.935	24.07	1395250	EUR	
24/07/2017 00:00	24.015	24.15	23.735	24.04	1387330	EUR	
25/07/2017 00:00	23.55	23.72	21.67	23.6	7629748	EUR	
26/07/2017 00:00	23.84	24.145	23.66	24.09	1720705	EUR	
27/07/2017 00:00	24.5	24.795	23.665	23.805	1937602	EUR	
28/07/2017 00:00	24.5	24.84	24.01	24.725	2057860	EUR	
31/07/2017 00:00	24.7	24.725	24.065	24.135	1238672	EUR	
01/08/2017 00:00	24.27	24.365	23.745	23.755	1291822	EUR	
02/08/2017 00:00	23.975	23.975	23.345	23.545	1729111	EUR	
03/08/2017 00:00	23.475	23.495	23.01	23.32	1159287	EUR	
04/08/2017 00:00	23.18	23.535	22.975	23.34	1437491	EUR	
07/08/2017 00:00	23.41	23.545	23.19	23.225	738633	EUR	
08/08/2017 00:00	23.125	23.295	22.855	23.15	1297923	EUR	
09/08/2017 00:00	22.935	23.31	22.85	22.97	1107648	EUR	
10/08/2017 00:00	23.06	23.18	22.885	23.015	751782	EUR	
11/08/2017 00:00	22.82	22.83	22.26	22.425	1442342	EUR	
14/08/2017 00:00	22.42	22.695	22.285	22.49	973008	EUR	
15/08/2017 00:00	22.45	22.555	22.115	22.135	1176913	EUR	
16/08/2017 00:00	22.25	22.58	22.225	22.27	1182902	EUR	
17/08/2017 00:00	22.25	22.345	22.035	22.035	1035818	EUR	
18/08/2017 00:00	22	22	21.655	21.87	963191	EUR	
21/08/2017 00:00	21.82	21.845	21.55	21.55	1427499	EUR	
22/08/2017 00:00	21.615	21.905	21.615	21.64	808483	EUR	
23/08/2017 00:00	21.57	21.775	21.48	21.77	672202	EUR	
24/08/2017 00:00	21.865	21.895	21.42	21.42	792695	EUR	
25/08/2017 00:00	21.25	21.78	21.235	21.62	850960	EUR	
28/08/2017 00:00	21.545	21.685	21.29	21.36	558636	EUR	
29/08/2017 00:00	21.2	21.245	20.955	21.02	1218942	EUR	
30/08/2017 00:00	21.34	21.555	21.12	21.275	1235207	EUR	
31/08/2017 00:00	21.35	21.655	21.24	21.54	765949	EUR	
01/09/2017 00:00	21.7	22.11	21.68	22.065	1252584	EUR	
04/09/2017 00:00	21.875	22	21.68	21.95	1078608	EUR	
05/09/2017 00:00	21.875	22.425	21.875	22.3	1751569	EUR	
06/09/2017 00:00	22.14	22.475	22.135	22.46	1322015	EUR	
07/09/2017 00:00	22.05	22.225	21.715	21.99	1679937	EUR	
08/09/2017 00:00	21.965	22.015	21.47	21.54	1217826	EUR	
11/09/2017 00:00	21.29	21.63	21.29	21.555	1260676	EUR	
12/09/2017 00:00	21.56	21.79	21.465	21.71	1129316	EUR	
13/09/2017 00:00	21.74	21.975	21.565	21.92	1829794	EUR	
14/09/2017 00:00	22.06	22.695	22.015	22.635	2467863	EUR	
15/09/2017 00:00	22.4	22.67	22.195	22.4	2063413	EUR	
18/09/2017 00:00	22.565	22.855	22.44	22.575	954862	EUR	
19/09/2017 00:00	22.75	22.975	22.57	22.915	1083697	EUR	
20/09/2017 00:00	23	23.18	22.83	22.87	1397258	EUR	
21/09/2017 00:00	23.16	23.3	22.745	22.765	1410109	EUR	
22/09/2017 00:00	22.685	22.735	22.505	22.575	1006864	EUR	
25/09/2017 00:00	22.505	22.78	22.255	22.69	1483825	EUR	
26/09/2017 00:00	22.97	23.195	22.62	22.87	1783264	EUR	
27/09/2017 00:00	22.8	23	22.79	22.955	1015095	EUR	
28/09/2017 00:00	23.35	24.17	23.245	23.8	2117094	EUR	
29/09/2017 00:00	23.635	23.77	23.2	23.415	1556529	EUR	
02/10/2017 00:00	23.75	24	23.35	23.55	1718612	EUR	
03/10/2017 00:00	23.635	23.85	23.49	23.825	1322245	EUR	
04/10/2017 00:00	23.74	23.845	23.34	23.75	1125929	EUR	
05/10/2017 00:00	23.545	23.675	23.45	23.6	1217761	EUR	
06/10/2017 00:00	23.6	23.78	23.185	23.27	1669829	EUR	
09/10/2017 00:00	23.34	23.585	23.28	23.48	743480	EUR	
10/10/2017 00:00	23.47	23.645	23.355	23.4	840898	EUR	
11/10/2017 00:00	23.12	23.275	22.655	22.72	2033556	EUR	
12/10/2017 00:00	22.83	22.975	22.5	22.51	1062750	EUR	
13/10/2017 00:00	22.7	22.725	22.535	22.555	823860	EUR	
16/10/2017 00:00	22.63	22.875	22.58	22.62	793111	EUR	
17/10/2017 00:00	22.55	22.58	22.13	22.13	1680505	EUR	
18/10/2017 00:00	22.13	22.28	21.605	21.62	1978752	EUR	
19/10/2017 00:00	21.575	21.62	21.295	21.36	1578975	EUR	
20/10/2017 00:00	21.33	21.53	20.8	20.92	3192966	EUR	
23/10/2017 00:00	21.4	21.435	21.11	21.28	2206491	EUR	
24/10/2017 00:00	21.24	21.585	21.24	21.57	1482286	EUR	
25/10/2017 00:00	21.5	21.52	21.09	21.16	1431997	EUR	
26/10/2017 00:00	21.895	22.56	21.455	22.365	4523968	EUR	
27/10/2017 00:00	22.75	23.45	22.505	23.26	3818762	EUR	
30/10/2017 00:00	22.88	23.285	22.63	23.105	1979146	EUR	
31/10/2017 00:00	22.99	23.355	22.955	23.34	1068207	EUR	
01/11/2017 00:00	23.5	24.405	23.47	24.335	2575982	EUR	
02/11/2017 00:00	24	24.495	24	24.495	2417426	EUR	
03/11/2017 00:00	24.25	24.585	24.165	24.565	1692226	EUR	
06/11/2017 00:00	24.52	24.94	24.5	24.83	1615942	EUR	
07/11/2017 00:00	25.015	26.04	25.015	25.595	3066071	EUR	
08/11/2017 00:00	25.25	25.455	25.055	25.26	1579007	EUR	
09/11/2017 00:00	25.185	25.255	24.7	25.14	1516427	EUR	
10/11/2017 00:00	25.04	25.415	24.915	24.915	1470564	EUR	
13/11/2017 00:00	24.65	24.75	24.08	24.37	1630336	EUR	
14/11/2017 00:00	24.19	24.28	23.42	23.42	1824336	EUR	
15/11/2017 00:00	22.94	23.025	22.17	22.5	2746702	EUR	
16/11/2017 00:00	22.55	22.705	22.235	22.415	1393143	EUR	
17/11/2017 00:00	22.62	22.85	22.405	22.74	1702306	EUR	
20/11/2017 00:00	22.535	22.805	22.425	22.55	1399544	EUR	
21/11/2017 00:00	22.65	23.21	22.51	22.945	1532022	EUR	
22/11/2017 00:00	22.76	23.2	22.62	23	1520424	EUR	
23/11/2017 00:00	22.87	23.165	22.66	23.07	856678	EUR	
