date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.78	2.78	2.78	2.78	210	EUR	
19/05/2015 00:00	2.99	2.99	2.99	2.99	2000	EUR	
20/05/2015 00:00	2.99	2.99	2.99	2.99	4171	EUR	
21/05/2015 00:00	2.92	2.92	2.92	2.92	450	EUR	
22/05/2015 00:00	2.92	2.92	2.92	2.92	1616	EUR	
25/05/2015 00:00	2.92	2.92	2.92	2.92	0	EUR	
27/05/2015 00:00	2.94	2.94	2.94	2.94	150	EUR	
28/05/2015 00:00	2.8	2.8	2.8	2.8	2877	EUR	
29/05/2015 00:00	3	3	3	3	650	EUR	
01/06/2015 00:00	3	3	3	3	950	EUR	
02/06/2015 00:00	3	3	3	3	50	EUR	
03/06/2015 00:00	2.8	2.8	2.8	2.8	5080	EUR	
04/06/2015 00:00	2.77	2.77	2.77	2.77	0	EUR	
08/06/2015 00:00	2.76	2.76	2.76	2.76	6150	EUR	
09/06/2015 00:00	2.8	2.8	2.8	2.8	650	EUR	
10/06/2015 00:00	2.8	2.8	2.8	2.8	0	EUR	
15/06/2015 00:00	2.99	2.99	2.99	2.99	0	EUR	
18/06/2015 00:00	2.99	2.99	2.99	2.99	0	EUR	
22/06/2015 00:00	2.96	2.96	2.96	2.96	299	EUR	
23/06/2015 00:00	2.96	2.96	2.96	2.96	0	EUR	
25/06/2015 00:00	2.77	2.77	2.77	2.77	100	EUR	
26/06/2015 00:00	2.77	2.77	2.77	2.77	598	EUR	
01/07/2015 00:00	3	3	3	3	0	EUR	
06/07/2015 00:00	2.98	2.98	2.98	2.98	0	EUR	
13/07/2015 00:00	2.7	2.7	2.7	2.7	1	EUR	
14/07/2015 00:00	2.8	2.8	2.8	2.8	1000	EUR	
15/07/2015 00:00	2.71	2.71	2.71	2.71	300	EUR	
16/07/2015 00:00	2.7	2.7	2.7	2.7	0	EUR	
20/07/2015 00:00	2.97	2.97	2.97	2.97	357	EUR	
21/07/2015 00:00	3	3	3	3	0	EUR	
31/07/2015 00:00	2.98	2.98	2.98	2.98	200	EUR	
03/08/2015 00:00	2.94	2.94	2.94	2.94	0	EUR	
07/08/2015 00:00	2.92	2.92	2.92	2.92	830	EUR	
10/08/2015 00:00	2.93	2.93	2.93	2.93	0	EUR	
12/08/2015 00:00	2.84	2.84	2.84	2.84	300	EUR	
13/08/2015 00:00	2.94	2.94	2.94	2.94	200	EUR	
14/08/2015 00:00	2.9	2.9	2.9	2.9	200	EUR	
17/08/2015 00:00	2.94	2.94	2.94	2.94	132	EUR	
18/08/2015 00:00	2.9	2.9	2.9	2.9	600	EUR	
19/08/2015 00:00	2.9	2.9	2.9	2.9	518	EUR	
20/08/2015 00:00	2.97	2.97	2.97	2.97	217	EUR	
21/08/2015 00:00	2.98	2.98	2.98	2.98	1657	EUR	
24/08/2015 00:00	2.85	2.85	2.85	2.85	800	EUR	
25/08/2015 00:00	2.8	2.8	2.8	2.8	200	EUR	
