date	ouv	haut	bas	clot	vol	devise	
20/05/2015 00:00	45.73	45.73	45.73	45.73	0	EUR	
29/05/2015 00:00	42	42	42	42	15	EUR	
03/06/2015 00:00	42.07	42.07	42.07	42.07	0	EUR	
15/06/2015 00:00	42.07	42.07	42.07	42.07	0	EUR	
18/06/2015 00:00	43.5	43.5	43.5	43.5	0	EUR	
22/06/2015 00:00	43.5	43.5	43.5	43.5	0	EUR	
24/06/2015 00:00	40	40	40	40	25	EUR	
25/06/2015 00:00	42	42	42	42	0	EUR	
30/06/2015 00:00	44	44	44	44	0	EUR	
06/07/2015 00:00	44	44	44	44	0	EUR	
22/07/2015 00:00	44	44	44	44	50	EUR	
23/07/2015 00:00	45	45	45	45	45	EUR	
24/07/2015 00:00	48.28	48.28	48.28	48.28	140	EUR	
28/07/2015 00:00	47.5	47.5	47.5	47.5	37	EUR	
29/07/2015 00:00	46	46	46	46	0	EUR	
06/08/2015 00:00	46	46	46	46	0	EUR	
25/08/2015 00:00	46	46	46	46	0	EUR	
10/09/2015 00:00	46	46	46	46	0	EUR	
16/09/2015 00:00	46	46	46	46	0	EUR	
13/10/2015 00:00	42.03	42.03	42.03	42.03	0	EUR	
16/10/2015 00:00	45	45	45	45	50	EUR	
23/10/2015 00:00	42.87	42.87	42.87	42.87	52	EUR	
27/10/2015 00:00	41.8	41.8	41.8	41.8	0	EUR	
03/11/2015 00:00	41.8	41.8	41.8	41.8	0	EUR	
06/11/2015 00:00	40	40	40	40	727	EUR	
09/11/2015 00:00	39.5	39.5	39.5	39.5	55	EUR	
10/11/2015 00:00	39.51	39.51	39.51	39.51	0	EUR	
24/11/2015 00:00	40	40	40	40	0	EUR	
02/12/2015 00:00	40.89	40.89	40.89	40.89	0	EUR	
09/12/2015 00:00	40	40	40	40	0	EUR	
11/12/2015 00:00	39	39	39	39	6	EUR	
14/12/2015 00:00	38	38	38	38	0	EUR	
21/12/2015 00:00	39	39	35.2	35.2	133	EUR	
22/12/2015 00:00	36.02	36.02	36.02	36.02	0	EUR	
29/12/2015 00:00	37.99	37.99	37.99	37.99	0	EUR	
11/01/2016 00:00	41.72	41.72	41.72	41.72	18	EUR	
12/01/2016 00:00	40.4	40.4	40.4	40.4	46	EUR	
13/01/2016 00:00	40.5	40.5	40.5	40.5	0	EUR	
22/01/2016 00:00	40.2	40.2	40.2	40.2	20	EUR	
29/01/2016 00:00	40.5	40.5	40.5	40.5	6	EUR	
04/02/2016 00:00	41.92	41.92	41.92	41.92	0	EUR	
15/02/2016 00:00	35.01	35.01	35.01	35.01	0	EUR	
17/02/2016 00:00	38.51	38.51	38.51	38.51	0	EUR	
23/02/2016 00:00	41.41	41.41	41.41	41.41	0	EUR	
06/05/2016 00:00	39.6	39.6	39.6	39.6	100	EUR	
09/05/2016 00:00	39.6	39.6	39.6	39.6	0	EUR	
17/05/2016 00:00	38	38	38	38	320	EUR	
18/05/2016 00:00	36	36	36	36	0	EUR	
27/05/2016 00:00	36	36	36	36	175	EUR	
30/05/2016 00:00	35.89	35.89	35.89	35.89	50	EUR	
31/05/2016 00:00	36	36	36	36	0	EUR	
08/06/2016 00:00	39.26	39.26	39.26	39.26	0	EUR	
17/06/2016 00:00	35.34	35.34	35.34	35.34	10	EUR	
20/06/2016 00:00	38.85	38.85	38.85	38.85	10	EUR	
21/06/2016 00:00	41.48	41.48	41.48	41.48	0	EUR	
23/06/2016 00:00	37.5	38	37.5	38	713	EUR	
24/06/2016 00:00	38	38	38	38	820	EUR	
13/07/2016 00:00	40.94	40.94	40.94	40.94	0	EUR	
21/07/2016 00:00	38	38	38	38	0	EUR	
01/08/2016 00:00	38	38	38	38	0	EUR	
04/08/2016 00:00	34.22	34.22	34.22	34.22	0	EUR	
