date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	45.949	47.414	45.949	47.414	2483	EUR	
19/05/2015 00:00	46.423	47.406	46.423	47.406	270	EUR	
20/05/2015 00:00	47.397	47.397	46.38	47.156	324	EUR	
21/05/2015 00:00	46.57	47.397	46.466	47.397	1100	EUR	
22/05/2015 00:00	46.552	47.363	46.552	46.552	1265	EUR	
25/05/2015 00:00	46.544	47.388	46.544	46.63	320	EUR	
26/05/2015 00:00	46.647	47.32	46.121	46.121	439	EUR	
27/05/2015 00:00	46.121	46.535	46.078	46.095	368	EUR	
28/05/2015 00:00	46.078	46.078	45.949	45.949	612	EUR	
29/05/2015 00:00	46.121	46.518	45.69	45.82	921	EUR	
01/06/2015 00:00	46.44	46.44	46.207	46.207	303	EUR	
02/06/2015 00:00	46.311	46.363	45.475	46.035	301	EUR	
03/06/2015 00:00	46.035	46.104	45.69	45.69	448	EUR	
04/06/2015 00:00	45.69	45.69	44.828	45.259	1406	EUR	
05/06/2015 00:00	45.259	45.656	44.828	44.828	374	EUR	
08/06/2015 00:00	46.095	46.095	43.725	44.156	3204	EUR	
09/06/2015 00:00	43.535	44.785	43.535	44.001	277	EUR	
10/06/2015 00:00	43.544	45.259	43.544	44.319	774	EUR	
11/06/2015 00:00	44.251	45.19	44.225	44.225	1214	EUR	
12/06/2015 00:00	44.397	44.656	44.009	44.009	367	EUR	
15/06/2015 00:00	44.009	44.009	43.621	43.621	4479	EUR	
16/06/2015 00:00	43.751	43.794	43.535	43.535	3235	EUR	
17/06/2015 00:00	43.604	43.604	43.526	43.526	3436	EUR	
18/06/2015 00:00	43.526	43.526	43.449	43.449	1249	EUR	
19/06/2015 00:00	43.449	43.449	43.319	43.319	2026	EUR	
22/06/2015 00:00	43.319	43.432	43.319	43.319	3570	EUR	
23/06/2015 00:00	43.319	43.319	43.233	43.233	3006	EUR	
24/06/2015 00:00	43.242	43.242	43.104	43.138	4486	EUR	
25/06/2015 00:00	43.138	43.363	43.061	43.337	5141	EUR	
26/06/2015 00:00	40.785	41.345	40.742	40.949	8956	EUR	
29/06/2015 00:00	40.604	41.371	40.483	40.863	1533	EUR	
30/06/2015 00:00	40.871	40.871	40.656	40.733	2609	EUR	
01/07/2015 00:00	40.742	41.216	40.742	41.216	1026	EUR	
02/07/2015 00:00	41.216	41.69	41.216	41.638	1555	EUR	
03/07/2015 00:00	42.242	42.621	42.225	42.242	3373	EUR	
06/07/2015 00:00	42.242	42.5	41.647	42.242	1911	EUR	
07/07/2015 00:00	42.242	42.242	42	42.069	1043	EUR	
08/07/2015 00:00	42.069	43.966	42.009	43.087	2106	EUR	
09/07/2015 00:00	43.319	43.319	43.095	43.164	1692	EUR	
10/07/2015 00:00	43.164	43.259	43.164	43.259	515	EUR	
13/07/2015 00:00	43.259	43.492	43.259	43.492	696	EUR	
14/07/2015 00:00	43.501	43.535	43.492	43.535	395	EUR	
15/07/2015 00:00	43.535	43.647	43.535	43.647	189	EUR	
16/07/2015 00:00	43.647	43.854	43.552	43.854	783	EUR	
17/07/2015 00:00	43.863	43.932	43.854	43.932	460	EUR	
20/07/2015 00:00	43.966	44.397	43.966	44.207	3422	EUR	
21/07/2015 00:00	44.207	44.276	43.966	43.966	1571	EUR	
22/07/2015 00:00	44.009	44.216	44.009	44.216	189	EUR	
23/07/2015 00:00	44.216	44.354	44.138	44.328	789	EUR	
24/07/2015 00:00	44.363	44.397	44.311	44.345	892	EUR	
27/07/2015 00:00	44.345	44.354	44.121	44.121	1550	EUR	
28/07/2015 00:00	44.121	44.121	43.975	43.992	754	EUR	
29/07/2015 00:00	43.992	44.009	43.966	43.966	1128	EUR	
30/07/2015 00:00	43.975	43.992	43.871	43.992	1649	EUR	
31/07/2015 00:00	43.983	43.992	43.94	43.949	761	EUR	
03/08/2015 00:00	43.949	43.957	43.88	43.923	656	EUR	
04/08/2015 00:00	43.923	43.966	43.923	43.966	1531	EUR	
05/08/2015 00:00	43.966	43.966	43.837	43.837	1449	EUR	
06/08/2015 00:00	43.837	43.863	43.837	43.863	347	EUR	
07/08/2015 00:00	43.863	43.88	43.863	43.88	584	EUR	
10/08/2015 00:00	43.88	43.88	43.794	43.794	1171	EUR	
11/08/2015 00:00	43.794	43.794	43.776	43.785	526	EUR	
12/08/2015 00:00	43.785	43.785	43.501	43.501	448	EUR	
13/08/2015 00:00	43.501	43.501	43.492	43.501	488	EUR	
14/08/2015 00:00	43.501	43.509	43.363	43.363	1263	EUR	
17/08/2015 00:00	43.363	43.363	43.294	43.319	426	EUR	
18/08/2015 00:00	43.319	43.328	43.319	43.328	231	EUR	
19/08/2015 00:00	43.328	43.337	43.147	43.147	1507	EUR	
20/08/2015 00:00	43.147	43.147	42.587	42.587	837	EUR	
21/08/2015 00:00	42.587	42.587	42.38	42.38	690	EUR	
24/08/2015 00:00	42.38	42.38	41.138	41.156	3802	EUR	
25/08/2015 00:00	41.156	41.242	40.992	41.035	4439	EUR	
26/08/2015 00:00	41.044	41.078	40.992	41.035	1241	EUR	
27/08/2015 00:00	41.035	41.328	41.035	41.207	1932	EUR	
28/08/2015 00:00	41.207	41.311	41.207	41.311	306	EUR	
31/08/2015 00:00	41.319	41.38	41	41	2163	EUR	
01/09/2015 00:00	41.009	41.156	41	41.026	1303	EUR	
02/09/2015 00:00	41.026	41.026	41	41.026	606	EUR	
03/09/2015 00:00	41.026	41.035	40.906	40.949	885	EUR	
04/09/2015 00:00	40.949	40.957	40.906	40.906	517	EUR	
07/09/2015 00:00	40.914	40.914	40.819	40.863	746	EUR	
08/09/2015 00:00	40.863	40.888	40.863	40.888	296	EUR	
09/09/2015 00:00	40.888	40.906	40.302	40.319	2528	EUR	
10/09/2015 00:00	40.319	40.345	40.319	40.319	665	EUR	
11/09/2015 00:00	40.319	40.328	40.216	40.216	1146	EUR	
14/09/2015 00:00	40.207	40.242	40.19	40.19	1069	EUR	
15/09/2015 00:00	40.19	40.259	40.173	40.173	2394	EUR	
16/09/2015 00:00	40.173	40.173	40.13	40.13	373	EUR	
17/09/2015 00:00	40.13	40.216	40.13	40.147	1509	EUR	
18/09/2015 00:00	40.156	40.173	40.147	40.147	301	EUR	
21/09/2015 00:00	40.147	40.173	40.147	40.173	199	EUR	
22/09/2015 00:00	40.182	40.207	40.173	40.173	494	EUR	
23/09/2015 00:00	40.294	40.294	40.138	40.173	825	EUR	
24/09/2015 00:00	40.164	40.19	40.164	40.173	915	EUR	
25/09/2015 00:00	40.207	40.345	40.087	40.087	1085	EUR	
28/09/2015 00:00	40.095	40.173	40.044	40.044	939	EUR	
29/09/2015 00:00	40.078	40.345	40.078	40.121	1301	EUR	
30/09/2015 00:00	40.121	40.432	40.121	40.432	1504	EUR	
01/10/2015 00:00	40.423	40.518	40.345	40.518	1051	EUR	
02/10/2015 00:00	40.518	40.863	40.216	40.216	937	EUR	
05/10/2015 00:00	40.216	40.526	40.216	40.259	1103	EUR	
06/10/2015 00:00	40.259	40.38	40.259	40.302	706	EUR	
07/10/2015 00:00	40.302	40.526	40.294	40.388	1308	EUR	
08/10/2015 00:00	40.388	40.535	40.337	40.337	3644	EUR	
09/10/2015 00:00	40.337	40.337	40.25	40.302	4098	EUR	
12/10/2015 00:00	40.302	40.406	40.302	40.406	681	EUR	
13/10/2015 00:00	40.406	40.475	40.406	40.475	8559	EUR	
14/10/2015 00:00	40.475	40.509	40.475	40.509	441	EUR	
15/10/2015 00:00	40.509	41.164	40.509	41.164	883	EUR	
16/10/2015 00:00	41.164	41.25	41.164	41.25	264	EUR	
19/10/2015 00:00	41.25	41.276	41.199	41.207	2356	EUR	
20/10/2015 00:00	41.225	41.259	41.207	41.259	430	EUR	
21/10/2015 00:00	41.259	41.337	41.259	41.337	161	EUR	
22/10/2015 00:00	41.337	41.38	41.294	41.294	825	EUR	
23/10/2015 00:00	41.294	41.423	41.294	41.337	956	EUR	
26/10/2015 00:00	41.345	41.535	41.294	41.337	4482	EUR	
27/10/2015 00:00	41.337	41.345	41.242	41.25	857	EUR	
28/10/2015 00:00	41.25	41.268	40.906	40.949	2246	EUR	
29/10/2015 00:00	41.285	41.285	40.69	40.69	2407	EUR	
30/10/2015 00:00	40.733	40.733	40.302	40.311	3868	EUR	
02/11/2015 00:00	40.311	40.518	40.311	40.518	581	EUR	
03/11/2015 00:00	40.518	40.544	40.509	40.518	434	EUR	
04/11/2015 00:00	40.518	40.561	40.518	40.561	226	EUR	
