date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	4.865	4.895	4.856	4.856	22943	EUR	
19/05/2015 00:00	4.895	4.904	4.846	4.846	26441	EUR	
20/05/2015 00:00	4.865	4.865	4.778	4.807	38858	EUR	
21/05/2015 00:00	4.826	4.826	4.787	4.797	10034	EUR	
22/05/2015 00:00	4.807	4.904	4.797	4.846	82193	EUR	
25/05/2015 00:00	4.826	4.865	4.797	4.846	17448	EUR	
26/05/2015 00:00	4.846	4.846	4.797	4.826	18185	EUR	
27/05/2015 00:00	4.826	4.846	4.807	4.836	11962	EUR	
28/05/2015 00:00	4.817	4.875	4.817	4.817	57074	EUR	
29/05/2015 00:00	4.826	4.826	4.631	4.631	250572	EUR	
01/06/2015 00:00	4.875	4.992	4.758	4.885	211579	EUR	
02/06/2015 00:00	4.953	4.953	4.778	4.826	87146	EUR	
03/06/2015 00:00	4.826	5.109	4.778	5.07	142539	EUR	
04/06/2015 00:00	5.216	5.265	5.002	5.041	204120	EUR	
05/06/2015 00:00	5.041	5.08	4.826	4.875	81074	EUR	
08/06/2015 00:00	4.973	5.158	4.895	4.934	111761	EUR	
09/06/2015 00:00	4.982	5.002	4.885	4.934	59205	EUR	
10/06/2015 00:00	4.982	4.982	4.875	4.875	54683	EUR	
11/06/2015 00:00	4.914	4.943	4.807	4.826	66225	EUR	
12/06/2015 00:00	4.836	4.856	4.68	4.719	67642	EUR	
15/06/2015 00:00	4.69	4.787	4.534	4.573	69051	EUR	
16/06/2015 00:00	4.505	4.768	4.485	4.631	65418	EUR	
17/06/2015 00:00	4.622	4.67	4.573	4.573	30585	EUR	
18/06/2015 00:00	4.534	5.002	4.534	4.826	147808	EUR	
19/06/2015 00:00	4.817	4.846	4.661	4.758	55876	EUR	
22/06/2015 00:00	4.778	4.778	4.573	4.7	43885	EUR	
23/06/2015 00:00	4.7	5.051	4.7	4.875	118347	EUR	
24/06/2015 00:00	4.846	4.943	4.719	4.729	73304	EUR	
25/06/2015 00:00	4.748	4.826	4.69	4.729	48325	EUR	
26/06/2015 00:00	4.768	4.826	4.729	4.748	39386	EUR	
29/06/2015 00:00	4.651	4.661	4.339	4.553	146027	EUR	
30/06/2015 00:00	4.475	4.534	3.832	3.89	645159	EUR	
01/07/2015 00:00	3.871	3.871	3.569	3.656	477505	EUR	
02/07/2015 00:00	3.617	3.744	3.51	3.705	240586	EUR	
03/07/2015 00:00	3.754	3.754	3.578	3.588	72669	EUR	
06/07/2015 00:00	3.569	3.569	3.432	3.5	93711	EUR	
07/07/2015 00:00	3.442	3.783	3.442	3.481	108263	EUR	
08/07/2015 00:00	3.461	3.627	3.461	3.481	48774	EUR	
09/07/2015 00:00	3.452	3.549	3.383	3.432	108531	EUR	
10/07/2015 00:00	3.481	3.481	3.374	3.374	78116	EUR	
13/07/2015 00:00	3.344	3.393	3.062	3.081	332890	EUR	
14/07/2015 00:00	3.091	3.169	3.042	3.101	145602	EUR	
15/07/2015 00:00	3.159	3.179	3.101	3.12	89846	EUR	
16/07/2015 00:00	3.101	3.13	2.993	3.013	202873	EUR	
17/07/2015 00:00	3.013	3.101	2.974	3.013	127127	EUR	
20/07/2015 00:00	3.023	3.11	3.013	3.042	68457	EUR	
21/07/2015 00:00	3.091	3.169	2.993	2.993	136712	EUR	
22/07/2015 00:00	3.003	3.062	2.964	3.023	74725	EUR	
23/07/2015 00:00	3.013	3.13	2.984	3.042	97946	EUR	
24/07/2015 00:00	3.052	3.052	2.954	2.964	110794	EUR	
27/07/2015 00:00	2.993	2.993	2.867	2.876	118506	EUR	
28/07/2015 00:00	2.876	2.974	2.798	2.808	131334	EUR	
29/07/2015 00:00	2.789	2.828	2.691	2.779	109657	EUR	
30/07/2015 00:00	2.759	2.808	2.74	2.74	38610	EUR	
31/07/2015 00:00	2.769	2.808	2.691	2.798	53035	EUR	
03/08/2015 00:00	2.828	2.837	2.72	2.73	48759	EUR	
04/08/2015 00:00	2.73	2.73	2.681	2.701	37489	EUR	
05/08/2015 00:00	2.672	3.179	2.584	3.149	535144	EUR	
06/08/2015 00:00	3.071	4.183	3.052	3.773	2171916	EUR	
07/08/2015 00:00	3.842	4.037	3.383	3.393	963211	EUR	
10/08/2015 00:00	3.403	3.598	3.354	3.344	184522	EUR	
11/08/2015 00:00	3.315	3.315	3.101	3.159	225073	EUR	
12/08/2015 00:00	3.11	3.159	3.042	3.062	119987	EUR	
13/08/2015 00:00	3.101	3.442	3.052	3.257	375179	EUR	
14/08/2015 00:00	3.315	3.442	3.218	3.227	182204	EUR	
17/08/2015 00:00	3.266	3.335	3.227	3.227	41578	EUR	
18/08/2015 00:00	3.266	3.266	3.169	3.188	44654	EUR	
19/08/2015 00:00	3.218	3.218	3.023	3.023	84441	EUR	
20/08/2015 00:00	3.422	3.881	3.315	3.617	1382490	EUR	
21/08/2015 00:00	3.461	4.183	3.452	3.91	1508637	EUR	
24/08/2015 00:00	3.91	3.988	3.51	3.705	498421	EUR	
25/08/2015 00:00	3.686	3.968	3.686	3.803	355114	EUR	
26/08/2015 00:00	3.861	3.881	3.686	3.725	198251	EUR	
27/08/2015 00:00	3.92	4.631	3.803	4.602	958593	EUR	
28/08/2015 00:00	4.534	5.197	4.456	4.953	1669578	EUR	
31/08/2015 00:00	4.924	5.216	4.826	4.895	491924	EUR	
01/09/2015 00:00	4.826	5.002	4.641	4.797	355687	EUR	
02/09/2015 00:00	4.797	5.099	4.729	4.739	346512	EUR	
03/09/2015 00:00	4.807	4.924	4.68	4.739	208010	EUR	
04/09/2015 00:00	4.817	4.924	4.68	4.709	175995	EUR	
07/09/2015 00:00	4.719	4.895	4.719	4.807	107183	EUR	
08/09/2015 00:00	4.826	4.836	4.641	4.729	102977	EUR	
09/09/2015 00:00	4.904	5.021	3.237	3.588	2658083	EUR	
10/09/2015 00:00	3.452	3.695	3.276	3.364	414071	EUR	
11/09/2015 00:00	3.413	3.413	2.935	3.013	860357	EUR	
14/09/2015 00:00	2.925	3.013	2.769	2.779	588861	EUR	
15/09/2015 00:00	2.779	3.53	2.759	3.276	1355247	EUR	
16/09/2015 00:00	3.305	3.335	3.003	3.091	536810	EUR	
17/09/2015 00:00	3.091	3.276	2.984	3.188	289317	EUR	
18/09/2015 00:00	3.188	3.198	3.042	3.062	171595	EUR	
21/09/2015 00:00	3.052	3.11	2.915	2.915	200798	EUR	
22/09/2015 00:00	2.945	2.945	2.808	2.828	193048	EUR	
23/09/2015 00:00	2.876	2.935	2.808	2.857	88977	EUR	
24/09/2015 00:00	2.867	2.867	2.73	2.779	109769	EUR	
25/09/2015 00:00	2.789	2.818	2.681	2.701	115565	EUR	
28/09/2015 00:00	2.74	2.808	2.662	2.73	92583	EUR	
29/09/2015 00:00	2.672	2.73	2.594	2.662	108405	EUR	
30/09/2015 00:00	2.662	2.691	2.584	2.652	142560	EUR	
01/10/2015 00:00	2.672	2.672	2.584	2.594	65237	EUR	
02/10/2015 00:00	2.594	2.623	2.545	2.574	87868	EUR	
05/10/2015 00:00	2.584	2.74	2.555	2.73	135327	EUR	
06/10/2015 00:00	2.73	2.798	2.652	2.711	102065	EUR	
07/10/2015 00:00	2.72	2.73	2.652	2.691	121311	EUR	
08/10/2015 00:00	2.711	2.711	2.672	2.711	66147	EUR	
09/10/2015 00:00	2.759	3.11	2.759	2.906	658833	EUR	
12/10/2015 00:00	2.915	2.993	2.867	2.867	87235	EUR	
13/10/2015 00:00	2.857	3.296	2.789	3.071	692329	EUR	
14/10/2015 00:00	3.042	3.198	2.964	2.984	307573	EUR	
15/10/2015 00:00	3.003	3.169	2.954	2.993	180156	EUR	
16/10/2015 00:00	3.032	3.042	2.954	2.984	105571	EUR	
19/10/2015 00:00	2.974	3.023	2.954	2.984	54427	EUR	
20/10/2015 00:00	2.954	2.993	2.837	2.857	105328	EUR	
21/10/2015 00:00	2.867	3.023	2.857	2.857	168919	EUR	
22/10/2015 00:00	2.896	2.896	2.808	2.837	60652	EUR	
23/10/2015 00:00	2.837	2.857	2.779	2.779	94368	EUR	
26/10/2015 00:00	2.789	2.828	2.759	2.789	49530	EUR	
27/10/2015 00:00	2.789	2.789	2.73	2.74	59029	EUR	
28/10/2015 00:00	2.759	2.808	2.759	2.769	44089	EUR	
29/10/2015 00:00	2.808	2.896	2.789	2.876	106419	EUR	
30/10/2015 00:00	2.906	3.052	2.867	2.984	307052	EUR	
02/11/2015 00:00	3.042	3.062	2.954	2.984	141586	EUR	
03/11/2015 00:00	2.964	2.974	2.886	2.954	82382	EUR	
04/11/2015 00:00	2.945	3.013	2.906	2.945	97846	EUR	
05/11/2015 00:00	3.052	3.208	3.003	3.052	431556	EUR	
