date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	4.84	4.94	4.84	4.84	5320	EUR	
19/05/2015 00:00	4.84	4.9	4.8	4.84	6837	EUR	
20/05/2015 00:00	4.81	4.83	4.78	4.78	2567	EUR	
21/05/2015 00:00	4.79	4.88	4.75	4.88	9487	EUR	
22/05/2015 00:00	4.86	4.86	4.79	4.85	686	EUR	
25/05/2015 00:00	4.85	4.88	4.82	4.83	1826	EUR	
26/05/2015 00:00	4.85	4.86	4.81	4.81	9690	EUR	
27/05/2015 00:00	4.82	4.83	4.78	4.81	1905	EUR	
28/05/2015 00:00	4.8	4.83	4.8	4.83	1254	EUR	
29/05/2015 00:00	4.93	4.93	4.88	4.88	5816	EUR	
01/06/2015 00:00	4.89	4.95	4.81	4.82	12843	EUR	
02/06/2015 00:00	4.82	4.85	4.81	4.81	4330	EUR	
03/06/2015 00:00	4.82	4.82	4.76	4.78	7751	EUR	
04/06/2015 00:00	4.78	4.78	4.65	4.76	12235	EUR	
05/06/2015 00:00	4.69	4.7	4.68	4.68	3352	EUR	
08/06/2015 00:00	4.81	4.81	4.68	4.68	7431	EUR	
09/06/2015 00:00	4.69	4.75	4.69	4.75	869	EUR	
10/06/2015 00:00	4.68	4.71	4.65	4.71	3521	EUR	
11/06/2015 00:00	4.75	4.81	4.75	4.76	17689	EUR	
12/06/2015 00:00	4.76	4.85	4.73	4.85	2121	EUR	
15/06/2015 00:00	4.81	4.81	4.77	4.77	5752	EUR	
16/06/2015 00:00	4.77	4.81	4.72	4.72	6672	EUR	
17/06/2015 00:00	4.72	4.78	4.71	4.73	1185	EUR	
18/06/2015 00:00	4.76	4.76	4.63	4.71	10443	EUR	
19/06/2015 00:00	4.69	4.73	4.65	4.72	6135	EUR	
22/06/2015 00:00	4.7	4.75	4.64	4.74	10906	EUR	
23/06/2015 00:00	4.74	4.74	4.62	4.69	9051	EUR	
24/06/2015 00:00	4.69	4.77	4.62	4.75	7928	EUR	
25/06/2015 00:00	4.62	4.85	4.62	4.78	19186	EUR	
26/06/2015 00:00	4.76	4.84	4.76	4.84	1642	EUR	
29/06/2015 00:00	4.72	4.75	4.36	4.75	22098	EUR	
30/06/2015 00:00	4.72	4.75	4.68	4.72	2751	EUR	
01/07/2015 00:00	4.75	4.75	4.66	4.7	3195	EUR	
02/07/2015 00:00	4.69	4.7	4.66	4.7	684	EUR	
03/07/2015 00:00	4.69	4.69	4.61	4.63	5254	EUR	
06/07/2015 00:00	4.69	4.69	4.57	4.64	8333	EUR	
07/07/2015 00:00	4.64	4.68	4.64	4.64	745	EUR	
08/07/2015 00:00	4.65	4.65	4.61	4.61	847	EUR	
09/07/2015 00:00	4.63	4.67	4.6	4.67	1296	EUR	
10/07/2015 00:00	4.67	4.7	4.61	4.69	5540	EUR	
13/07/2015 00:00	4.69	4.72	4.69	4.69	341	EUR	
14/07/2015 00:00	4.76	4.76	4.7	4.71	4261	EUR	
15/07/2015 00:00	4.75	4.85	4.69	4.84	5914	EUR	
16/07/2015 00:00	4.85	4.85	4.82	4.84	4770	EUR	
17/07/2015 00:00	4.79	5.09	4.79	5.09	35034	EUR	
20/07/2015 00:00	5.08	5.13	4.93	5.04	11958	EUR	
21/07/2015 00:00	5.05	5.05	5.02	5.04	1741	EUR	
22/07/2015 00:00	5.04	5.04	4.94	4.97	4830	EUR	
23/07/2015 00:00	4.98	5.11	4.98	5.11	6672	EUR	
24/07/2015 00:00	5.13	5.15	5.05	5.15	1273	EUR	
27/07/2015 00:00	5.09	5.09	4.98	4.99	4395	EUR	
28/07/2015 00:00	5	5	4.95	4.96	3254	EUR	
29/07/2015 00:00	4.98	5.1	4.97	5.1	5762	EUR	
30/07/2015 00:00	4.66	4.7	4.45	4.61	66734	EUR	
31/07/2015 00:00	4.56	4.59	4.51	4.59	21380	EUR	
03/08/2015 00:00	4.54	4.59	4.49	4.5	10879	EUR	
04/08/2015 00:00	4.5	4.53	4.41	4.41	11371	EUR	
05/08/2015 00:00	4.43	4.47	4.25	4.33	7953	EUR	
06/08/2015 00:00	4.38	4.41	4.32	4.32	11811	EUR	
07/08/2015 00:00	4.34	4.34	4.3	4.32	11436	EUR	
10/08/2015 00:00	4.4	4.42	4.34	4.36	6787	EUR	
11/08/2015 00:00	4.35	4.4	4.3	4.31	7847	EUR	
12/08/2015 00:00	4.31	4.34	4.05	4.18	11870	EUR	
13/08/2015 00:00	4.21	4.34	4.1	4.19	12991	EUR	
14/08/2015 00:00	4.19	4.19	4.15	4.19	5457	EUR	
17/08/2015 00:00	4.2	4.3	4.2	4.3	13116	EUR	
18/08/2015 00:00	4.24	4.3	4.24	4.28	3655	EUR	
19/08/2015 00:00	4.24	4.3	4.24	4.3	4220	EUR	
20/08/2015 00:00	4.3	4.3	4.25	4.29	5985	EUR	
21/08/2015 00:00	4.25	4.25	4.05	4.14	13076	EUR	
24/08/2015 00:00	4.15	4.15	3.88	4.03	12825	EUR	
25/08/2015 00:00	3.95	4.15	3.95	4.15	15134	EUR	
26/08/2015 00:00	4.2	4.2	4.1	4.19	2357	EUR	
27/08/2015 00:00	4.19	4.19	3.97	4.06	12754	EUR	
28/08/2015 00:00	4.12	4.17	4.07	4.13	4317	EUR	
31/08/2015 00:00	4.15	4.15	4.11	4.13	11634	EUR	
01/09/2015 00:00	4.12	4.13	4.05	4.08	6010	EUR	
02/09/2015 00:00	4.11	4.19	4.08	4.19	31843	EUR	
03/09/2015 00:00	4.12	4.18	4.12	4.17	7396	EUR	
04/09/2015 00:00	4.11	4.15	4.1	4.11	5141	EUR	
07/09/2015 00:00	4.11	4.32	4.11	4.15	20480	EUR	
08/09/2015 00:00	4.15	4.2	4.13	4.15	16002	EUR	
09/09/2015 00:00	4.15	4.19	4.15	4.16	7787	EUR	
10/09/2015 00:00	3.96	4.11	3.96	4	2584	EUR	
11/09/2015 00:00	3.98	4	3.96	4	1907	EUR	
14/09/2015 00:00	3.96	3.99	3.75	3.8	20712	EUR	
15/09/2015 00:00	3.82	3.92	3.82	3.91	2821	EUR	
16/09/2015 00:00	3.95	3.95	3.77	3.88	4625	EUR	
17/09/2015 00:00	3.84	3.84	3.75	3.8	15098	EUR	
18/09/2015 00:00	3.78	3.83	3.74	3.83	3174	EUR	
21/09/2015 00:00	3.83	3.84	3.78	3.84	2132	EUR	
22/09/2015 00:00	3.85	3.85	3.74	3.79	5613	EUR	
23/09/2015 00:00	3.8	3.8	3.62	3.62	10871	EUR	
24/09/2015 00:00	3.6	3.7	3.55	3.59	11846	EUR	
25/09/2015 00:00	3.71	3.71	3.55	3.7	5335	EUR	
28/09/2015 00:00	3.8	3.8	3.42	3.51	7123	EUR	
29/09/2015 00:00	3.51	3.52	3.43	3.52	1421	EUR	
30/09/2015 00:00	3.49	3.81	3.46	3.81	8615	EUR	
01/10/2015 00:00	3.69	3.69	3.69	3.69	351	EUR	
02/10/2015 00:00	3.69	3.72	3.69	3.7	952	EUR	
05/10/2015 00:00	3.78	3.78	3.72	3.72	1130	EUR	
06/10/2015 00:00	3.74	3.82	3.73	3.82	4391	EUR	
07/10/2015 00:00	3.82	3.9	3.75	3.76	15459	EUR	
08/10/2015 00:00	3.77	4.11	3.77	4.05	46891	EUR	
09/10/2015 00:00	4.04	4.04	3.97	4	1901	EUR	
12/10/2015 00:00	4.05	4.05	3.99	4.04	3534	EUR	
13/10/2015 00:00	4.03	4.05	4	4.05	8781	EUR	
14/10/2015 00:00	3.99	4.01	3.99	4.01	371	EUR	
15/10/2015 00:00	4.05	4.05	4	4.04	1636	EUR	
16/10/2015 00:00	4.05	4.05	4.04	4.04	187	EUR	
19/10/2015 00:00	4.03	4.03	4	4.02	1810	EUR	
20/10/2015 00:00	3.97	3.97	3.97	3.97	1901	EUR	
21/10/2015 00:00	3.97	3.97	3.97	3.97	1	EUR	
22/10/2015 00:00	3.93	3.96	3.93	3.96	1575	EUR	
23/10/2015 00:00	3.97	3.99	3.97	3.99	778	EUR	
26/10/2015 00:00	3.99	3.99	3.98	3.99	331	EUR	
