date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	1.29	1.3	1.29	1.3	11100	EUR	
19/05/2015 00:00	1.32	1.32	1.32	1.32	2650	EUR	
20/05/2015 00:00	1.34	1.34	1.305	1.31	10060	EUR	
21/05/2015 00:00	1.354	1.354	1.285	1.285	10980	EUR	
22/05/2015 00:00	1.355	1.36	1.355	1.36	7070	EUR	
25/05/2015 00:00	1.3	1.365	1.3	1.365	4470	EUR	
26/05/2015 00:00	1.321	1.421	1.321	1.42	38380	EUR	
27/05/2015 00:00	1.42	1.42	1.352	1.419	6040	EUR	
28/05/2015 00:00	1.43	1.453	1.381	1.381	23280	EUR	
29/05/2015 00:00	1.434	1.435	1.434	1.435	4630	EUR	
01/06/2015 00:00	1.367	1.435	1.367	1.435	5110	EUR	
02/06/2015 00:00	1.445	1.47	1.445	1.46	26000	EUR	
03/06/2015 00:00	1.475	1.519	1.475	1.51	36540	EUR	
04/06/2015 00:00	1.529	1.633	1.5	1.525	68520	EUR	
05/06/2015 00:00	1.554	1.595	1.545	1.595	22420	EUR	
08/06/2015 00:00	1.595	1.62	1.595	1.595	32700	EUR	
09/06/2015 00:00	1.596	1.596	1.456	1.521	20750	EUR	
10/06/2015 00:00	1.521	1.587	1.521	1.556	10210	EUR	
11/06/2015 00:00	1.556	1.584	1.555	1.565	24730	EUR	
12/06/2015 00:00	1.565	1.57	1.565	1.57	16190	EUR	
15/06/2015 00:00	1.57	1.58	1.55	1.555	28060	EUR	
16/06/2015 00:00	1.555	1.56	1.551	1.56	9940	EUR	
17/06/2015 00:00	1.56	1.627	1.56	1.627	20730	EUR	
18/06/2015 00:00	1.627	1.635	1.626	1.635	41980	EUR	
19/06/2015 00:00	1.638	1.7	1.635	1.666	28830	EUR	
22/06/2015 00:00	1.68	1.75	1.68	1.703	19460	EUR	
23/06/2015 00:00	1.703	1.71	1.703	1.703	11160	EUR	
24/06/2015 00:00	1.703	1.703	1.7	1.702	19270	EUR	
25/06/2015 00:00	1.702	1.751	1.702	1.75	29220	EUR	
26/06/2015 00:00	1.75	1.752	1.75	1.751	13920	EUR	
29/06/2015 00:00	1.716	1.72	1.643	1.685	33930	EUR	
30/06/2015 00:00	1.698	1.795	1.698	1.795	29460	EUR	
01/07/2015 00:00	1.798	1.822	1.795	1.795	13390	EUR	
02/07/2015 00:00	1.795	1.796	1.785	1.785	3760	EUR	
03/07/2015 00:00	1.785	1.785	1.738	1.76	12910	EUR	
06/07/2015 00:00	1.76	1.76	1.64	1.705	24080	EUR	
07/07/2015 00:00	1.705	1.705	1.645	1.645	6360	EUR	
08/07/2015 00:00	1.645	1.66	1.626	1.635	17310	EUR	
09/07/2015 00:00	1.635	1.71	1.635	1.71	9800	EUR	
10/07/2015 00:00	1.72	1.8	1.72	1.798	29480	EUR	
13/07/2015 00:00	1.81	1.97	1.81	1.97	28200	EUR	
14/07/2015 00:00	1.97	2.13	1.95	2.05	29390	EUR	
15/07/2015 00:00	2.087	2.089	1.93	1.95	23320	EUR	
16/07/2015 00:00	1.95	2.02	1.95	2.01	13530	EUR	
17/07/2015 00:00	2.02	2.02	1.955	1.955	23580	EUR	
20/07/2015 00:00	1.96	2.008	1.96	2.008	15840	EUR	
21/07/2015 00:00	2.008	2.069	2.005	2.028	28630	EUR	
22/07/2015 00:00	2.028	2.15	2.022	2.022	48780	EUR	
23/07/2015 00:00	2.041	2.174	2.041	2.1	7060	EUR	
24/07/2015 00:00	2.11	2.11	1.951	1.952	35540	EUR	
27/07/2015 00:00	2.02	2.02	1.926	2.003	15610	EUR	
28/07/2015 00:00	1.95	2.003	1.95	2.003	3570	EUR	
29/07/2015 00:00	1.961	1.985	1.949	1.949	9840	EUR	
30/07/2015 00:00	1.925	1.989	1.845	1.989	8590	EUR	
31/07/2015 00:00	1.95	1.95	1.851	1.9	10610	EUR	
03/08/2015 00:00	1.924	1.925	1.924	1.925	4090	EUR	
04/08/2015 00:00	1.852	1.852	1.829	1.851	3490	EUR	
05/08/2015 00:00	1.9	1.9	1.832	1.856	3640	EUR	
06/08/2015 00:00	1.833	1.836	1.72	1.836	16520	EUR	
07/08/2015 00:00	1.831	1.831	1.757	1.758	8770	EUR	
10/08/2015 00:00	1.78	1.78	1.77	1.77	590	EUR	
11/08/2015 00:00	1.761	1.761	1.753	1.753	780	EUR	
12/08/2015 00:00	1.76	1.85	1.76	1.837	6000	EUR	
13/08/2015 00:00	1.774	1.775	1.774	1.775	550	EUR	
14/08/2015 00:00	1.771	1.844	1.771	1.844	1060	EUR	
17/08/2015 00:00	1.82	1.837	1.82	1.837	8250	EUR	
18/08/2015 00:00	1.8	1.8	1.763	1.763	270	EUR	
19/08/2015 00:00	1.772	1.784	1.772	1.779	1550	EUR	
20/08/2015 00:00	1.839	1.839	1.737	1.823	50810	EUR	
21/08/2015 00:00	1.741	1.826	1.737	1.826	9910	EUR	
24/08/2015 00:00	1.736	1.736	1.65	1.732	34100	EUR	
25/08/2015 00:00	1.727	1.799	1.653	1.7	8610	EUR	
26/08/2015 00:00	1.705	1.705	1.7	1.7	10350	EUR	
27/08/2015 00:00	1.724	1.724	1.7	1.724	13000	EUR	
28/08/2015 00:00	1.724	1.74	1.724	1.74	16050	EUR	
31/08/2015 00:00	1.827	1.827	1.755	1.755	1030	EUR	
01/09/2015 00:00	1.832	1.832	1.755	1.755	5120	EUR	
02/09/2015 00:00	1.755	1.765	1.755	1.755	4970	EUR	
03/09/2015 00:00	1.795	1.795	1.795	1.795	2020	EUR	
04/09/2015 00:00	1.795	1.795	1.698	1.711	3250	EUR	
07/09/2015 00:00	1.713	1.713	1.713	1.713	20	EUR	
08/09/2015 00:00	1.712	1.794	1.712	1.794	750	EUR	
09/09/2015 00:00	1.794	1.794	1.722	1.722	780	EUR	
10/09/2015 00:00	1.75	1.75	1.75	1.75	900	EUR	
11/09/2015 00:00	1.75	1.8	1.75	1.75	4750	EUR	
14/09/2015 00:00	1.75	1.75	1.75	1.75	1500	EUR	
15/09/2015 00:00	1.75	1.8	1.729	1.8	7270	EUR	
16/09/2015 00:00	1.8	1.8	1.8	1.8	0	EUR	
18/09/2015 00:00	1.725	1.799	1.725	1.799	770	EUR	
21/09/2015 00:00	1.799	1.799	1.799	1.799	0	EUR	
23/09/2015 00:00	1.72	1.72	1.712	1.714	2800	EUR	
24/09/2015 00:00	1.715	1.784	1.715	1.784	4140	EUR	
25/09/2015 00:00	1.716	1.781	1.712	1.781	2070	EUR	
28/09/2015 00:00	1.712	1.715	1.712	1.715	3200	EUR	
29/09/2015 00:00	1.712	1.712	1.711	1.714	1330	EUR	
30/09/2015 00:00	1.716	1.716	1.696	1.696	9810	EUR	
01/10/2015 00:00	1.73	1.73	1.671	1.695	2470	EUR	
02/10/2015 00:00	1.695	1.85	1.682	1.85	30320	EUR	
05/10/2015 00:00	1.711	1.751	1.699	1.7	34600	EUR	
