date	ouv	haut	bas	clot	vol	devise	
19/05/2015 00:00	5.12	5.12	5.12	5.12	2000	EUR	
20/05/2015 00:00	5.4	5.4	5.4	5.4	2244	EUR	
21/05/2015 00:00	5.54	5.54	5.54	5.54	910	EUR	
22/05/2015 00:00	5.4	5.4	5.4	5.4	5550	EUR	
25/05/2015 00:00	5.4	5.4	5.4	5.4	0	EUR	
28/05/2015 00:00	6.5	6.5	6.5	6.5	0	EUR	
02/06/2015 00:00	6	6	6	6	0	EUR	
04/06/2015 00:00	6.75	6.75	6.75	6.75	0	EUR	
10/06/2015 00:00	7	7	7	7	0	EUR	
17/06/2015 00:00	7	7	7	7	0	EUR	
03/07/2015 00:00	6	6	6	6	2000	EUR	
06/07/2015 00:00	6	6	6	6	2000	EUR	
07/07/2015 00:00	5.7	5.7	5.7	5.7	0	EUR	
21/07/2015 00:00	5.35	5.35	5.35	5.35	20	EUR	
22/07/2015 00:00	5.5	5.5	5.5	5.5	432	EUR	
23/07/2015 00:00	5.5	5.5	5.5	5.5	0	EUR	
27/07/2015 00:00	5.55	5.55	5.55	5.55	0	EUR	
11/08/2015 00:00	5.06	5.06	5.06	5.06	0	EUR	
17/08/2015 00:00	5.6	5.6	5.6	5.6	0	EUR	
07/09/2015 00:00	5.5	5.5	5.5	5.5	3000	EUR	
08/09/2015 00:00	5.5	5.5	5.5	5.5	1400	EUR	
09/09/2015 00:00	5.5	5.5	5.5	5.5	2636	EUR	
10/09/2015 00:00	5.5	5.5	5.5	5.5	0	EUR	
23/09/2015 00:00	5.55	5.55	5.55	5.55	0	EUR	
09/10/2015 00:00	5.6	5.6	5.6	5.6	4000	EUR	
02/11/2015 00:00	5.5	5.5	5.5	5.5	0	EUR	
05/11/2015 00:00	5.6	5.6	5.6	5.6	0	EUR	
09/11/2015 00:00	5.7	5.7	5.7	5.7	0	EUR	
16/11/2015 00:00	5.7	5.7	5.7	5.7	401	EUR	
17/11/2015 00:00	5.7	5.7	5.7	5.7	0	EUR	
23/11/2015 00:00	5.7	5.7	5.7	5.7	0	EUR	
25/11/2015 00:00	5.5	5.5	5.5	5.5	100	EUR	
26/11/2015 00:00	5.7	5.7	5.7	5.7	1000	EUR	
27/11/2015 00:00	5.7	5.7	5.7	5.7	10	EUR	
30/11/2015 00:00	5.7	5.7	5.7	5.7	130	EUR	
01/12/2015 00:00	5.7	5.7	5.7	5.7	5350	EUR	
02/12/2015 00:00	5.7	5.7	5.7	5.7	0	EUR	
05/01/2016 00:00	5.7	5.7	5.7	5.7	0	EUR	
25/01/2016 00:00	5.2	5.2	5.2	5.2	0	EUR	
27/01/2016 00:00	5.2	5.2	5.2	5.2	200	EUR	
28/01/2016 00:00	5.2	5.2	5.2	5.2	950	EUR	
29/01/2016 00:00	5.3	5.3	5.3	5.3	1923	EUR	
01/02/2016 00:00	5.29	5.29	5.29	5.29	0	EUR	
05/02/2016 00:00	5.28	5.28	5.28	5.28	300	EUR	
15/03/2016 00:00	5.2	5.2	5.2	5.2	0	EUR	
21/03/2016 00:00	5.25	5.25	5.25	5.25	1700	EUR	
22/03/2016 00:00	5.3	5.3	5.3	5.3	1500	EUR	
23/03/2016 00:00	5.4	5.4	5.4	5.4	1000	EUR	
24/03/2016 00:00	5.4	5.4	5.4	5.4	300	EUR	
30/03/2016 00:00	5.5	5.5	5.5	5.5	0	EUR	
04/04/2016 00:00	5.5	5.5	5.5	5.5	0	EUR	
18/04/2016 00:00	5.3	5.3	5.3	5.3	0	EUR	
13/06/2016 00:00	5.3	5.3	5.3	5.3	1373	EUR	
14/06/2016 00:00	5.3	5.3	5.3	5.3	0	EUR	
28/06/2016 00:00	5.16	5.16	5.16	5.16	0	EUR	
05/07/2016 00:00	5.3	5.3	5.3	5.3	0	EUR	
31/08/2016 00:00	5.55	5.55	5.55	5.55	0	EUR	
06/09/2016 00:00	5.6	5.6	5.6	5.6	1586	EUR	
07/09/2016 00:00	5.65	5.65	5.65	5.65	0	EUR	
09/09/2016 00:00	5.55	5.55	5.55	5.55	1745	EUR	
14/09/2016 00:00	5.65	5.65	5.65	5.65	0	EUR	
20/09/2016 00:00	5.55	5.55	5.55	5.55	43	EUR	
21/09/2016 00:00	5.55	5.55	5.55	5.55	0	EUR	
29/09/2016 00:00	5.55	5.55	5.55	5.55	0	EUR	
10/10/2016 00:00	5.7	5.7	5.7	5.7	100	EUR	
11/10/2016 00:00	5.7	5.7	5.7	5.7	0	EUR	
17/10/2016 00:00	5.57	5.57	5.57	5.57	0	EUR	
19/10/2016 00:00	5.57	5.57	5.57	5.57	393	EUR	
20/10/2016 00:00	5.57	5.57	5.57	5.57	0	EUR	
28/11/2016 00:00	5.6	5.6	5.6	5.6	160	EUR	
29/11/2016 00:00	5.6	5.6	5.6	5.6	0	EUR	
07/12/2016 00:00	5.57	5.57	5.57	5.57	0	EUR	
09/12/2016 00:00	5.57	5.57	5.57	5.57	202	EUR	
12/12/2016 00:00	5.57	5.57	5.57	5.57	0	EUR	
03/02/2017 00:00	5.49	5.49	5.49	5.49	190	EUR	
06/02/2017 00:00	5.41	5.41	5.41	5.41	0	EUR	
08/02/2017 00:00	5.36	5.36	5.36	5.36	220	EUR	
09/02/2017 00:00	5.34	5.34	5.34	5.34	350	EUR	
10/02/2017 00:00	5.3	5.3	5.3	5.3	460	EUR	
13/02/2017 00:00	5.25	5.25	5.25	5.25	850	EUR	
14/02/2017 00:00	5.4	5.4	5.4	5.4	1147	EUR	
15/02/2017 00:00	5.5	5.5	5.5	5.5	1150	EUR	
16/02/2017 00:00	5.34	5.34	5.34	5.34	0	EUR	
21/02/2017 00:00	5.25	5.25	5.25	5.25	0	EUR	
23/02/2017 00:00	5.34	5.34	5.34	5.34	75	EUR	
24/02/2017 00:00	5.23	5.23	5.23	5.23	100	EUR	
27/02/2017 00:00	5.23	5.23	5.23	5.23	100	EUR	
28/02/2017 00:00	5.23	5.23	5.23	5.23	0	EUR	
02/03/2017 00:00	5.15	5.15	5.15	5.15	50	EUR	
03/03/2017 00:00	5.15	5.15	5.15	5.15	150	EUR	
06/03/2017 00:00	5.1	5.1	5.1	5.1	250	EUR	
07/03/2017 00:00	5.05	5.05	5.05	5.05	0	EUR	
10/03/2017 00:00	4.89	4.89	4.89	4.89	290	EUR	
13/03/2017 00:00	4.8	4.8	4.8	4.8	0	EUR	
16/03/2017 00:00	4.75	4.75	4.75	4.75	500	EUR	
17/03/2017 00:00	4.8	4.8	4.8	4.8	250	EUR	
29/03/2017 00:00	4.75	4.75	4.75	4.75	0	EUR	
31/03/2017 00:00	4.28	4.28	4.28	4.28	2000	EUR	
05/04/2017 00:00	4.5	4.5	4.5	4.5	3000	EUR	
06/04/2017 00:00	4.05	4.05	4.05	4.05	249	EUR	
07/04/2017 00:00	3.65	3.65	3.65	3.65	3000	EUR	
10/04/2017 00:00	4.01	4.01	4.01	4.01	300	EUR	
11/04/2017 00:00	4.39	4.39	4.39	4.39	0	EUR	
13/04/2017 00:00	4.8	4.8	4.8	4.8	300	EUR	
18/04/2017 00:00	5.08	5.08	5.08	5.08	0	EUR	
21/04/2017 00:00	5.57	5.57	5.57	5.57	75	EUR	
26/04/2017 00:00	5.52	5.52	5.52	5.52	0	EUR	
09/05/2017 00:00	4.99	4.99	4.99	4.99	170	EUR	
10/05/2017 00:00	4.9	4.9	4.9	4.9	0	EUR	
16/05/2017 00:00	4.69	4.69	4.69	4.69	0	EUR	
19/05/2017 00:00	4.69	4.69	4.69	4.69	240	EUR	
25/05/2017 00:00	4.5	4.5	4.5	4.5	0	EUR	
08/06/2017 00:00	4.5	4.5	4.5	4.5	0	EUR	
13/06/2017 00:00	4.3	4.3	4.3	4.3	500	EUR	
14/06/2017 00:00	4.3	4.3	4.3	4.3	0	EUR	
20/06/2017 00:00	4.25	4.25	4.25	4.25	100	EUR	
21/06/2017 00:00	3.95	3.95	3.95	3.95	0	EUR	
23/06/2017 00:00	4.29	4.29	4.29	4.29	241	EUR	
26/06/2017 00:00	4.25	4.25	4.25	4.25	110	EUR	
27/06/2017 00:00	4	4	4	4	170	EUR	
28/06/2017 00:00	4	4	3.95	3.95	268	EUR	
29/06/2017 00:00	3.95	3.95	3.95	3.95	0	EUR	
03/07/2017 00:00	4.1	4.1	4.1	4.1	0	EUR	
07/07/2017 00:00	4.3	4.3	4.3	4.3	240	EUR	
10/07/2017 00:00	4.3	4.3	4.3	4.3	0	EUR	
20/07/2017 00:00	4.09	4.09	4.09	4.09	0	EUR	
24/07/2017 00:00	4.09	4.09	4.09	4.09	0	EUR	
26/07/2017 00:00	3.8	3.8	3.8	3.8	97	EUR	
27/07/2017 00:00	3.8	3.8	3.8	3.8	0	EUR	
31/07/2017 00:00	3.85	3.85	3.85	3.85	0	EUR	
17/08/2017 00:00	3.8	3.8	3.8	3.8	0	EUR	
21/08/2017 00:00	3.88	3.88	3.88	3.88	100	EUR	
22/08/2017 00:00	3.8	3.8	3.8	3.8	2	EUR	
23/08/2017 00:00	4	4	4	4	0	EUR	
28/08/2017 00:00	3.8	3.8	3.8	3.8	0	EUR	
01/09/2017 00:00	3.8	3.8	3.8	3.8	120	EUR	
28/09/2017 00:00	3.71	3.71	3.71	3.71	0	EUR	
02/10/2017 00:00	3.75	3.75	3.75	3.75	0	EUR	
11/10/2017 00:00	3.7	3.7	3.7	3.7	0	EUR	
17/10/2017 00:00	3.05	3.05	3.05	3.05	5	EUR	
