date	ouv	haut	bas	clot	vol	devise	
27/01/2017 00:00	5.93	5.93	5.93	5.93	1	EUR	
07/06/2018 00:00	5.3	5.4	5.25	5.25	2529	EUR	
08/06/2018 00:00	5.25	5.25	5.25	5.25	16	EUR	
11/06/2018 00:00	5.25	5.25	5.25	5.25	1	EUR	
12/06/2018 00:00	5.25	5.45	5.25	5.45	2113	EUR	
13/06/2018 00:00	5.5	5.75	5.5	5.7	3485	EUR	
14/06/2018 00:00	5.75	5.8	5.7	5.8	1173	EUR	
15/06/2018 00:00	5.85	6.1	5.85	6.1	2293	EUR	
18/06/2018 00:00	6.1	6.1	5.9	5.9	1453	EUR	
19/06/2018 00:00	5.9	5.9	5.8	5.8	1072	EUR	
20/06/2018 00:00	5.8	5.8	5.6	5.65	5202	EUR	
21/06/2018 00:00	5.6	5.6	5.55	5.55	1444	EUR	
22/06/2018 00:00	5.55	5.55	5.55	5.55	767	EUR	
25/06/2018 00:00	5.55	5.65	5.55	5.65	1208	EUR	
26/06/2018 00:00	5.65	5.75	5.65	5.75	1002	EUR	
27/06/2018 00:00	5.8	5.8	5.75	5.75	301	EUR	
28/06/2018 00:00	5.75	5.75	5.75	5.75	1	EUR	
29/06/2018 00:00	5.75	5.75	5.75	5.75	1	EUR	
02/07/2018 00:00	5.75	5.75	5.75	5.75	1	EUR	
03/07/2018 00:00	5.75	5.75	5.75	5.75	1	EUR	
04/07/2018 00:00	5.75	5.75	5.75	5.75	1	EUR	
05/07/2018 00:00	5.75	5.75	5.75	5.75	201	EUR	
06/07/2018 00:00	5.75	5.75	5.75	5.75	90	EUR	
09/07/2018 00:00	5.75	5.75	5.75	5.75	112	EUR	
10/07/2018 00:00	5.75	5.75	5.75	5.75	215	EUR	
11/07/2018 00:00	5.75	5.75	5.7	5.7	1096	EUR	
12/07/2018 00:00	5.7	5.7	5.6	5.6	1557	EUR	
13/07/2018 00:00	5.6	5.6	5.55	5.55	501	EUR	
16/07/2018 00:00	5.55	5.55	5.45	5.45	1412	EUR	
17/07/2018 00:00	5.45	5.45	5.35	5.35	1844	EUR	
18/07/2018 00:00	5.35	5.35	5.2	5.2	470	EUR	
19/07/2018 00:00	5.2	5.2	5.2	5.2	1	EUR	
20/07/2018 00:00	5.2	5.2	5.2	5.2	1	EUR	
23/07/2018 00:00	5.25	5.4	5.2	5.4	4374	EUR	
24/07/2018 00:00	5.4	5.4	5.4	5.4	21	EUR	
25/07/2018 00:00	5.4	5.4	5.4	5.4	1	EUR	
26/07/2018 00:00	5.4	5.4	5.4	5.4	1	EUR	
27/07/2018 00:00	5.4	5.5	5.4	5.5	1390	EUR	
30/07/2018 00:00	5.5	5.6	5.5	5.6	1232	EUR	
31/07/2018 00:00	5.6	5.7	5.6	5.7	519	EUR	
01/08/2018 00:00	5.7	5.85	5.7	5.85	1128	EUR	
02/08/2018 00:00	5.85	6.25	5.85	6.25	3127	EUR	
03/08/2018 00:00	6.25	6.25	6.2	6.2	371	EUR	
06/08/2018 00:00	6.15	6.15	6.15	6.15	895	EUR	
07/08/2018 00:00	6.15	6.15	6.05	6.05	833	EUR	
08/08/2018 00:00	6.05	6.05	5.85	5.85	1718	EUR	
09/08/2018 00:00	5.85	5.85	5.6	5.6	718	EUR	
10/08/2018 00:00	5.6	5.6	5.5	5.5	1172	EUR	
13/08/2018 00:00	5.5	5.6	5.5	5.5	1412	EUR	
14/08/2018 00:00	5.5	5.6	5.5	5.6	511	EUR	
15/08/2018 00:00	5.6	5.6	5.55	5.55	531	EUR	
16/08/2018 00:00	5.6	5.8	5.6	5.8	2189	EUR	
17/08/2018 00:00	5.8	5.95	5.8	5.95	81	EUR	
20/08/2018 00:00	5.95	6.15	5.85	5.85	4476	EUR	
21/08/2018 00:00	5.85	5.85	5.85	5.85	1	EUR	
22/08/2018 00:00	5.85	5.85	5.75	5.75	1445	EUR	
23/08/2018 00:00	5.75	5.75	5.65	5.65	791	EUR	
24/08/2018 00:00	5.65	5.65	5.65	5.65	101	EUR	
27/08/2018 00:00	5.65	5.65	5.6	5.6	751	EUR	
28/08/2018 00:00	5.6	5.6	5.5	5.5	1263	EUR	
29/08/2018 00:00	5.5	5.5	5.5	5.5	2202	EUR	
30/08/2018 00:00	5.55	5.55	5.55	5.55	166	EUR	
31/08/2018 00:00	5.55	5.55	5.45	5.45	2401	EUR	
03/09/2018 00:00	5.55	5.55	5.45	5.45	1797	EUR	
04/09/2018 00:00	5.45	5.5	5.45	5.45	271	EUR	
05/09/2018 00:00	5.45	5.45	5.35	5.35	1266	EUR	
06/09/2018 00:00	5.35	5.55	5.35	5.55	1805	EUR	
07/09/2018 00:00	5.55	5.65	5.55	5.55	1414	EUR	
10/09/2018 00:00	5.55	5.55	5.45	5.45	1092	EUR	
11/09/2018 00:00	5.45	5.45	5.4	5.4	113	EUR	
12/09/2018 00:00	5.4	5.4	5.4	5.4	341	EUR	
13/09/2018 00:00	5.4	5.4	5.3	5.3	1121	EUR	
14/09/2018 00:00	5.3	5.3	5.1	5.1	880	EUR	
17/09/2018 00:00	5.15	5.2	5.15	5.2	51	EUR	
18/09/2018 00:00	5.15	5.15	4.78	4.94	3008	EUR	
19/09/2018 00:00	4.94	4.94	4.94	4.94	1	EUR	
20/09/2018 00:00	4.94	4.96	4.94	4.96	112	EUR	
21/09/2018 00:00	4.96	5.2	4.96	5.15	5838	EUR	
24/09/2018 00:00	5.15	5.45	5.15	5.45	2436	EUR	
25/09/2018 00:00	5.45	5.8	5.45	5.6	937	EUR	
26/09/2018 00:00	5.6	6	5.6	5.75	1961	EUR	
27/09/2018 00:00	5.75	6.05	5.75	5.9	527	EUR	
28/09/2018 00:00	5.95	6.1	5.9	6.05	787	EUR	
01/10/2018 00:00	6.05	6.05	5.9	5.9	1081	EUR	
02/10/2018 00:00	5.9	5.9	5.75	5.75	1006	EUR	
03/10/2018 00:00	5.75	5.75	5.75	5.75	1	EUR	
04/10/2018 00:00	5.75	5.75	5.75	5.75	1	EUR	
05/10/2018 00:00	5.75	5.75	5.65	5.65	1459	EUR	
08/10/2018 00:00	5.65	5.65	5.65	5.65	211	EUR	
09/10/2018 00:00	5.65	5.65	5.65	5.65	216	EUR	
10/10/2018 00:00	5.65	5.65	5.55	5.55	1829	EUR	
11/10/2018 00:00	5.45	5.55	5.45	5.55	11	EUR	
12/10/2018 00:00	5.55	5.55	5.55	5.55	121	EUR	
15/10/2018 00:00	5.55	5.55	5.55	5.55	116	EUR	
16/10/2018 00:00	5.55	5.65	5.55	5.65	4357	EUR	
17/10/2018 00:00	5.65	5.9	5.65	5.9	1933	EUR	
18/10/2018 00:00	5.9	6	5.9	6	1295	EUR	
19/10/2018 00:00	6	6	5.8	5.8	4181	EUR	
22/10/2018 00:00	5.8	5.8	5.6	5.6	2019	EUR	
23/10/2018 00:00	5.6	5.6	5.6	5.6	90	EUR	
24/10/2018 00:00	5.6	5.6	5.6	5.6	201	EUR	
25/10/2018 00:00	5.6	5.6	5.5	5.5	181	EUR	
26/10/2018 00:00	5.5	5.5	5.5	5.5	1	EUR	
29/10/2018 00:00	5.55	5.55	5.5	5.5	222	EUR	
30/10/2018 00:00	5.5	5.5	5.5	5.5	141	EUR	
31/10/2018 00:00	5.5	5.5	5.5	5.5	1	EUR	
01/11/2018 00:00	5.5	5.5	5.5	5.5	312	EUR	
02/11/2018 00:00	5.5	5.5	5.45	5.45	330	EUR	
05/11/2018 00:00	5.45	5.45	5.45	5.45	81	EUR	
06/11/2018 00:00	5.45	5.45	5.45	5.45	151	EUR	
07/11/2018 00:00	5.5	5.5	5.5	5.5	206	EUR	
08/11/2018 00:00	5.5	5.5	5.5	5.5	144	EUR	
09/11/2018 00:00	5.5	5.5	5.4	5.4	1858	EUR	
12/11/2018 00:00	5.35	5.35	5.35	5.35	101	EUR	
13/11/2018 00:00	5.35	5.35	5.35	5.35	151	EUR	
14/11/2018 00:00	5.35	5.35	5.35	5.35	1	EUR	
15/11/2018 00:00	5.35	5.35	5.35	5.35	51	EUR	
16/11/2018 00:00	5.35	5.35	5.25	5.25	1898	EUR	
19/11/2018 00:00	5.25	5.25	5.25	5.25	123	EUR	
20/11/2018 00:00	5.25	5.25	5.25	5.25	75	EUR	
21/11/2018 00:00	5.25	5.25	5.25	5.25	31	EUR	
22/11/2018 00:00	5.25	5.25	5.25	5.25	77	EUR	
23/11/2018 00:00	5.25	5.3	5.25	5.3	1570	EUR	
26/11/2018 00:00	5.3	5.3	5.15	5.15	1983	EUR	
27/11/2018 00:00	5.15	5.15	5.15	5.15	91	EUR	
28/11/2018 00:00	5.15	5.2	5.15	5.2	118	EUR	
29/11/2018 00:00	5.2	5.2	5.2	5.2	128	EUR	
30/11/2018 00:00	5.2	5.2	5	5	421	EUR	
03/12/2018 00:00	5	5	4.9	4.9	378	EUR	
04/12/2018 00:00	4.9	4.9	4.9	4.9	1642	EUR	
05/12/2018 00:00	4.9	4.9	4.9	4.9	81	EUR	
06/12/2018 00:00	4.92	4.92	4.7	4.7	431	EUR	
07/12/2018 00:00	4.7	4.8	4.7	4.8	161	EUR	
