date	ouv	haut	bas	clot	vol	devise	
25/05/2015 00:00	51	51.15	50.6	51.08	106561	EUR	
26/05/2015 00:00	51.6	51.95	50.68	51.28	970438	EUR	
27/05/2015 00:00	51.33	52.23	51.32	52.02	760367	EUR	
28/05/2015 00:00	51.1	51.37	49.52	49.97	1270948	EUR	
29/05/2015 00:00	50.05	50.37	48.45	48.45	1885477	EUR	
01/06/2015 00:00	48.92	49.28	48.35	49.13	993652	EUR	
02/06/2015 00:00	49.37	49.37	48.02	48.48	1426274	EUR	
03/06/2015 00:00	48.67	49.77	48.25	48.83	1040026	EUR	
04/06/2015 00:00	48.5	48.98	47.62	48.45	1204317	EUR	
05/06/2015 00:00	48.12	48.42	47.55	47.97	1068542	EUR	
08/06/2015 00:00	48	48.23	46.67	46.67	944445	EUR	
09/06/2015 00:00	46.5	47.78	46.08	47.65	1421603	EUR	
10/06/2015 00:00	47.57	49.05	47.13	48.83	1387568	EUR	
11/06/2015 00:00	48.68	50.18	48.68	49.57	1366943	EUR	
12/06/2015 00:00	49.33	50.03	48.9	49.53	1491405	EUR	
15/06/2015 00:00	48.9	48.98	47.42	47.63	1079330	EUR	
16/06/2015 00:00	47.33	48.97	46.8	48.77	1265476	EUR	
17/06/2015 00:00	48.88	48.88	46.07	46.13	2049293	EUR	
18/06/2015 00:00	46.03	46.08	44.18	45.15	3121348	EUR	
19/06/2015 00:00	45.23	47.03	45.02	47.03	3237677	EUR	
22/06/2015 00:00	47.07	48.63	47.05	48.05	1878400	EUR	
23/06/2015 00:00	48.67	49	48.23	48.65	1095260	EUR	
24/06/2015 00:00	48.5	48.6	47.18	48.15	1423634	EUR	
25/06/2015 00:00	47.87	48.73	47.57	48.38	1472187	EUR	
26/06/2015 00:00	48.2	49.73	47.83	49.18	1058933	EUR	
29/06/2015 00:00	47	47.9	46.25	47.23	1483059	EUR	
30/06/2015 00:00	47	47.9	46.57	47.12	1483701	EUR	
01/07/2015 00:00	47.8	49.42	47.4	48.68	1519578	EUR	
02/07/2015 00:00	49.05	49.13	47.22	47.43	1018117	EUR	
03/07/2015 00:00	47.42	48.02	47.15	47.4	780449	EUR	
06/07/2015 00:00	46.45	47.18	46.27	46.52	863283	EUR	
07/07/2015 00:00	46.55	46.68	44.7	44.78	1643368	EUR	
08/07/2015 00:00	44.68	44.68	42.68	42.72	2515507	EUR	
09/07/2015 00:00	43.12	44.33	42.95	43.72	2096607	EUR	
10/07/2015 00:00	44.7	44.8	43.78	44	1485666	EUR	
13/07/2015 00:00	44.52	45.02	43.93	44.15	1795059	EUR	
14/07/2015 00:00	44.2	44.25	42.78	43.43	1634056	EUR	
15/07/2015 00:00	43.58	43.83	42.97	43.7	1345987	EUR	
16/07/2015 00:00	44.33	44.42	43.9	43.98	1412189	EUR	
17/07/2015 00:00	44.27	44.57	44.07	44.17	1315357	EUR	
20/07/2015 00:00	44.43	45.8	44.08	45.35	1590328	EUR	
21/07/2015 00:00	45.55	45.93	44.67	44.75	934404	EUR	
22/07/2015 00:00	44	44	42.33	43.45	2176309	EUR	
23/07/2015 00:00	43.78	44.18	42.35	42.77	1599508	EUR	
24/07/2015 00:00	42.88	43.45	42.07	42.18	1440455	EUR	
27/07/2015 00:00	41.33	41.8	39.72	39.9	3453353	EUR	
28/07/2015 00:00	40.17	40.45	39.25	40.07	2705559	EUR	
29/07/2015 00:00	40.35	40.45	39.67	40.02	2152096	EUR	
30/07/2015 00:00	40.22	40.42	39.62	40.18	1106999	EUR	
31/07/2015 00:00	40.37	40.62	39.87	40.5	1481394	EUR	
03/08/2015 00:00	40.65	40.65	39.8	40.53	1094498	EUR	
04/08/2015 00:00	40.62	41.05	40.08	40.92	1696208	EUR	
05/08/2015 00:00	41.12	42.47	41.02	42.27	1826778	EUR	
06/08/2015 00:00	42.35	42.72	42.03	42.17	1290349	EUR	
07/08/2015 00:00	42.08	42.68	41.67	42.48	1456515	EUR	
10/08/2015 00:00	42.57	42.78	41.87	42.32	1130822	EUR	
11/08/2015 00:00	41.78	41.82	40.08	40.23	1622809	EUR	
12/08/2015 00:00	39.33	39.52	37.82	38.38	2662419	EUR	
13/08/2015 00:00	39.13	39.4	38.85	39.08	1414679	EUR	
14/08/2015 00:00	39.07	39.48	38.62	38.92	982180	EUR	
17/08/2015 00:00	39.28	39.5	38.42	39.03	826301	EUR	
18/08/2015 00:00	38.83	39.18	38.25	38.25	1008016	EUR	
19/08/2015 00:00	38.05	38.17	37.28	37.32	1489134	EUR	
20/08/2015 00:00	37.17	37.3	36.23	36.45	1451688	EUR	
21/08/2015 00:00	35.73	37.4	35.67	35.97	2387322	EUR	
24/08/2015 00:00	35	35.68	33.5	35	3980194	EUR	
25/08/2015 00:00	35.6	37.4	35.13	37.13	2497855	EUR	
26/08/2015 00:00	36.82	37.8	36.05	36.98	2627363	EUR	
27/08/2015 00:00	38.08	38.65	37.78	38.4	1700429	EUR	
28/08/2015 00:00	38.42	38.53	37.57	37.88	1504974	EUR	
31/08/2015 00:00	37.75	37.8	36.63	37.33	1367279	EUR	
01/09/2015 00:00	36.97	37.05	35.55	35.97	1513656	EUR	
02/09/2015 00:00	36.03	36.43	35.08	35.28	1531506	EUR	
03/09/2015 00:00	35.78	37.75	35.75	37.5	3001401	EUR	
04/09/2015 00:00	37.12	37.42	36.32	36.45	1557805	EUR	
07/09/2015 00:00	36.83	37	36.42	36.85	828047	EUR	
08/09/2015 00:00	37.28	38.9	37.1	38.5	1731392	EUR	
09/09/2015 00:00	39.57	40.5	39.53	39.8	2043566	EUR	
10/09/2015 00:00	38.97	39.55	38.62	39	2020535	EUR	
11/09/2015 00:00	39	39.1	38.12	38.68	1430147	EUR	
14/09/2015 00:00	38.78	39.13	38.27	38.57	1018636	EUR	
15/09/2015 00:00	38.7	39.33	38.6	39.22	1313653	EUR	
16/09/2015 00:00	39.73	40	39.1	39.78	1513647	EUR	
17/09/2015 00:00	39.92	40.57	39.68	40.17	1219317	EUR	
18/09/2015 00:00	39.72	39.83	38.38	39.05	2139927	EUR	
21/09/2015 00:00	38.43	39.4	37.57	39.15	2408049	EUR	
22/09/2015 00:00	39.4	39.75	36.67	37.33	3007248	EUR	
23/09/2015 00:00	37.1	38.58	35.63	37.97	2280836	EUR	
24/09/2015 00:00	38.15	38.75	36.58	37.33	3409573	EUR	
25/09/2015 00:00	38.37	39.72	38.25	39.33	2212609	EUR	
28/09/2015 00:00	39.17	39.17	37.5	38.33	2081919	EUR	
29/09/2015 00:00	37.75	39.17	37.45	38.08	1557766	EUR	
30/09/2015 00:00	39.68	40.6	39.1	40.25	2379096	EUR	
01/10/2015 00:00	40.77	42.22	40.53	40.92	2703132	EUR	
02/10/2015 00:00	41.95	42.13	40.22	41.55	2103594	EUR	
05/10/2015 00:00	42.17	42.2	41.35	41.68	1668233	EUR	
06/10/2015 00:00	41.72	42.28	41.28	41.8	1822530	EUR	
07/10/2015 00:00	41.82	43.15	41.75	42.37	1810881	EUR	
08/10/2015 00:00	42.45	43.4	42.43	42.88	1333498	EUR	
09/10/2015 00:00	43.33	44.47	43.3	44.2	1762674	EUR	
12/10/2015 00:00	44.33	44.55	43.7	43.78	1025116	EUR	
13/10/2015 00:00	43.4	43.47	41.68	42.58	2223892	EUR	
14/10/2015 00:00	42.18	42.93	41.67	42.15	1200750	EUR	
15/10/2015 00:00	42.67	43.32	42.37	43.27	1192575	EUR	
16/10/2015 00:00	43.53	44.13	43.22	43.43	2128716	EUR	
19/10/2015 00:00	43.33	44	43.07	43.67	972901	EUR	
20/10/2015 00:00	43.67	44.27	43.3	43.82	1010377	EUR	
21/10/2015 00:00	44.05	45.32	43.45	45.05	1232331	EUR	
22/10/2015 00:00	44	45.53	43.6	45.32	2600396	EUR	
23/10/2015 00:00	45.83	47.8	45.65	47.47	2278139	EUR	
26/10/2015 00:00	47.33	47.33	45.8	45.98	1901962	EUR	
27/10/2015 00:00	46.07	46.33	45.52	45.77	1430852	EUR	
28/10/2015 00:00	46	46.28	45.67	46.15	814400	EUR	
29/10/2015 00:00	46.75	46.9	45.37	45.62	1350860	EUR	
30/10/2015 00:00	45.83	47.13	45.77	46.9	1266877	EUR	
02/11/2015 00:00	46.37	47.67	46.35	47.48	873831	EUR	
03/11/2015 00:00	47.4	47.47	46.5	47.25	993295	EUR	
04/11/2015 00:00	46.9	46.98	45.8	46.58	1728587	EUR	
05/11/2015 00:00	46.73	46.9	46.17	46.87	1340398	EUR	
06/11/2015 00:00	46.67	47.83	46.23	47.58	1070039	EUR	
09/11/2015 00:00	47.45	47.57	46.25	46.27	980122	EUR	
10/11/2015 00:00	46.42	46.73	45.7	46.73	1281976	EUR	
11/11/2015 00:00	46.75	47.25	46.5	46.82	993361	EUR	
12/11/2015 00:00	46.8	46.9	45.85	46.28	823241	EUR	
13/11/2015 00:00	46.02	46.77	45.5	46.05	961252	EUR	
16/11/2015 00:00	45.5	46.9	45.42	46.82	930102	EUR	
17/11/2015 00:00	47.23	48.15	47.18	47.92	1190589	EUR	
18/11/2015 00:00	47.77	48.27	47.12	48.02	849461	EUR	
19/11/2015 00:00	48.33	48.37	47.65	48	824171	EUR	
20/11/2015 00:00	48.08	48.17	47.47	47.97	877005	EUR	
23/11/2015 00:00	47.67	47.95	47.3	47.83	455924	EUR	
24/11/2015 00:00	47.62	47.85	46.68	46.97	643518	EUR	
25/11/2015 00:00	47.13	48.35	46.82	48.15	1048309	EUR	
26/11/2015 00:00	48.05	49.47	48.05	48.75	930777	EUR	
27/11/2015 00:00	48.57	48.98	47.88	48.33	737155	EUR	
30/11/2015 00:00	48.42	48.95	48.22	48.85	1105160	EUR	
01/12/2015 00:00	49.07	49.32	48.17	48.3	863217	EUR	
02/12/2015 00:00	47.6	47.63	46.75	47.03	1790733	EUR	
03/12/2015 00:00	47.13	47.37	45.25	45.75	2151718	EUR	
04/12/2015 00:00	45.73	46.27	45.12	46.17	1865923	EUR	
07/12/2015 00:00	46.65	47.45	46.4	47.17	903075	EUR	
08/12/2015 00:00	47.17	47.33	45.65	46.15	806309	EUR	
09/12/2015 00:00	46.4	46.72	45.8	46.12	891729	EUR	
10/12/2015 00:00	45.83	46.32	45.52	45.92	591792	EUR	
11/12/2015 00:00	45.63	45.72	44.15	44.7	906192	EUR	
14/12/2015 00:00	44.98	44.98	43.42	43.53	1375535	EUR	
15/12/2015 00:00	43.93	45.63	43.87	45.42	1236903	EUR	
16/12/2015 00:00	45.53	46.1	45.05	45.9	1088516	EUR	
17/12/2015 00:00	46.7	47.2	46.37	46.48	805568	EUR	
18/12/2015 00:00	46.28	46.58	45.8	46.3	948384	EUR	
21/12/2015 00:00	46.33	47.95	46.28	46.8	1008238	EUR	
22/12/2015 00:00	47.33	47.47	46.35	46.5	672790	EUR	
23/12/2015 00:00	47.07	48	47.07	47.98	655039	EUR	
24/12/2015 00:00	48	48.22	47.82	47.82	112570	EUR	
28/12/2015 00:00	47.82	47.92	47.2	47.2	381970	EUR	
29/12/2015 00:00	47.45	47.98	47.35	47.92	448762	EUR	
30/12/2015 00:00	47.7	48.18	47.5	47.83	365374	EUR	
31/12/2015 00:00	48	48	47.27	47.52	155000	EUR	
04/01/2016 00:00	47.03	47.05	45.5	45.78	924261	EUR	
05/01/2016 00:00	46.47	46.9	45.52	46.17	857508	EUR	
06/01/2016 00:00	45.47	45.68	44.03	44.63	818195	EUR	
07/01/2016 00:00	43.58	43.87	42.72	43.4	1083281	EUR	
08/01/2016 00:00	43.42	44.35	42.82	42.82	815264	EUR	
11/01/2016 00:00	42.7	43.77	42.62	42.88	627396	EUR	
12/01/2016 00:00	42.9	44.7	42.82	44.03	928866	EUR	
13/01/2016 00:00	44.47	44.93	42.72	42.72	1362230	EUR	
14/01/2016 00:00	42.45	42.5	39.82	41	2340236	EUR	
15/01/2016 00:00	40.95	41.2	38.85	39.32	1646014	EUR	
18/01/2016 00:00	39.3	40	38.47	39.38	1091558	EUR	
19/01/2016 00:00	40	41.15	39.77	40.67	1447895	EUR	
20/01/2016 00:00	39.82	39.88	38.97	39.2	1283230	EUR	
21/01/2016 00:00	39.33	39.9	38.78	39.78	1634194	EUR	
22/01/2016 00:00	40.77	41.15	40.28	40.9	1196484	EUR	
25/01/2016 00:00	41.08	41.3	40.42	40.75	1070273	EUR	
26/01/2016 00:00	40.12	41.65	40.03	41.37	928230	EUR	
27/01/2016 00:00	41.5	41.75	40.87	41.35	825473	EUR	
28/01/2016 00:00	41.3	42.1	40.13	40.3	953629	EUR	
29/01/2016 00:00	40.87	41.2	39.37	39.82	1526802	EUR	
01/02/2016 00:00	40	40.5	39.78	40.33	1262422	EUR	
02/02/2016 00:00	39.92	39.92	38.08	38.33	1811847	EUR	
03/02/2016 00:00	38.32	39.02	37.25	38.17	2213506	EUR	
04/02/2016 00:00	38.82	38.82	35.42	36.82	2014106	EUR	
05/02/2016 00:00	37.07	38.22	37.07	37.47	1815936	EUR	
08/02/2016 00:00	37.67	37.88	35.88	36.17	1180326	EUR	
09/02/2016 00:00	36.02	36.38	34.7	35.67	1795308	EUR	
10/02/2016 00:00	36	37.38	35.58	36.75	1321681	EUR	
11/02/2016 00:00	36.17	36.17	33.88	35.3	2252840	EUR	
12/02/2016 00:00	35.55	35.9	34.42	34.87	1871323	EUR	
15/02/2016 00:00	35.93	37.28	35.88	36.85	1358825	EUR	
16/02/2016 00:00	37.08	37.68	36.4	37.62	1824093	EUR	
17/02/2016 00:00	38	39.63	37.8	38.97	1725725	EUR	
18/02/2016 00:00	39	40.05	38.32	39.58	1865290	EUR	
19/02/2016 00:00	41.33	41.58	40.35	41.37	2312531	EUR	
22/02/2016 00:00	42	42.42	41.22	41.37	1582906	EUR	
23/02/2016 00:00	41	41.87	40.82	41.32	1065140	EUR	
24/02/2016 00:00	41.33	41.47	39.58	40.22	1233165	EUR	
25/02/2016 00:00	40.82	41.1	40.28	40.45	949500	EUR	
26/02/2016 00:00	40.97	41.68	40.77	41.25	963595	EUR	
29/02/2016 00:00	40.88	42.6	40.67	42.6	1235466	EUR	
01/03/2016 00:00	42.37	43.55	42.28	43.48	918228	EUR	
02/03/2016 00:00	43.93	44.72	43.45	43.83	1341868	EUR	
03/03/2016 00:00	44.07	45.02	43.52	44.8	1182216	EUR	
04/03/2016 00:00	45.07	45.27	44.33	44.83	924852	EUR	
07/03/2016 00:00	44.67	45.08	44.32	45.08	777605	EUR	
08/03/2016 00:00	44.6	44.97	43.82	44.1	1156761	EUR	
09/03/2016 00:00	44.25	44.73	43.93	44.2	899535	EUR	
10/03/2016 00:00	44.53	45.08	42.43	42.52	1371776	EUR	
11/03/2016 00:00	43.33	44.8	43.12	44.8	1101629	EUR	
14/03/2016 00:00	44.73	45.38	44.22	44.62	1178262	EUR	
15/03/2016 00:00	44.28	44.65	43.98	44.52	815756	EUR	
16/03/2016 00:00	44.73	45.48	44.62	45.45	920847	EUR	
17/03/2016 00:00	45.5	45.62	43.75	44.75	914151	EUR	
18/03/2016 00:00	44.75	45.17	44.47	44.77	1164771	EUR	
21/03/2016 00:00	44.67	45.13	44.32	44.52	575466	EUR	
22/03/2016 00:00	44.33	44.95	43.62	44.95	661741	EUR	
23/03/2016 00:00	45	45.3	44.42	44.72	719071	EUR	
24/03/2016 00:00	44.67	44.67	42.92	43.23	830918	EUR	
29/03/2016 00:00	43.3	43.42	42.4	43.35	945696	EUR	
30/03/2016 00:00	43.57	45.57	43.57	45.5	1355471	EUR	
31/03/2016 00:00	45.5	46.08	45.08	45.6	998716	EUR	
01/04/2016 00:00	45.13	45.47	44.13	44.65	942099	EUR	
04/04/2016 00:00	44.5	44.85	43.72	44.07	954529	EUR	
05/04/2016 00:00	43.5	43.6	41.67	41.95	1736507	EUR	
06/04/2016 00:00	42.1	42.38	41.58	42.03	906234	EUR	
07/04/2016 00:00	42.3	42.55	41.5	41.77	736816	EUR	
08/04/2016 00:00	41.9	42.53	41.83	42.32	618414	EUR	
11/04/2016 00:00	42.18	42.8	41.68	42.35	585885	EUR	
12/04/2016 00:00	42.6	43.02	41.98	42.98	723133	EUR	
13/04/2016 00:00	43.58	44.28	43.52	44.25	824390	EUR	
14/04/2016 00:00	44.35	44.48	43.8	44.48	702307	EUR	
15/04/2016 00:00	43.28	43.8	42.78	42.82	1301098	EUR	
18/04/2016 00:00	41.75	43.88	41.72	43.68	916929	EUR	
19/04/2016 00:00	43.67	44.97	43.43	44.97	1125410	EUR	
20/04/2016 00:00	44.78	45.45	44.48	44.77	769472	EUR	
21/04/2016 00:00	44.97	45.28	44.22	44.48	603360	EUR	
22/04/2016 00:00	44.12	44.65	43.57	44.45	772505	EUR	
25/04/2016 00:00	44.43	45.12	43.92	45.07	735931	EUR	
26/04/2016 00:00	45.13	45.42	44.52	44.72	674572	EUR	
27/04/2016 00:00	45.4	46.73	45.37	46.45	1186746	EUR	
28/04/2016 00:00	46.5	47.23	45.98	47.23	1239834	EUR	
29/04/2016 00:00	46.7	47.1	46.15	46.15	839009	EUR	
02/05/2016 00:00	46.32	47.05	46.22	46.82	493931	EUR	
03/05/2016 00:00	46.85	46.95	45.83	46.05	887067	EUR	
04/05/2016 00:00	46.33	46.33	45.58	46.08	857157	EUR	
05/05/2016 00:00	46.02	46.17	45.3	45.58	576024	EUR	
06/05/2016 00:00	45.45	46.05	45.02	45.62	946884	EUR	
09/05/2016 00:00	46	46.37	45.3	45.43	563553	EUR	
10/05/2016 00:00	45.8	46.83	45.77	46.55	750896	EUR	
11/05/2016 00:00	46.55	46.65	46.03	46.28	546191	EUR	
12/05/2016 00:00	46.15	46.65	45.73	46.18	788678	EUR	
13/05/2016 00:00	45.97	46.83	45.5	46.77	744445	EUR	
16/05/2016 00:00	46.58	46.58	45.25	45.47	772391	EUR	
17/05/2016 00:00	45.65	45.68	43.9	44.33	1630057	EUR	
18/05/2016 00:00	44.12	44.13	43.53	43.83	967288	EUR	
19/05/2016 00:00	43.73	43.87	43.1	43.37	1188861	EUR	
20/05/2016 00:00	43.78	44.03	43.3	43.97	1318819	EUR	
23/05/2016 00:00	44.05	44.3	43.17	43.57	623016	EUR	
24/05/2016 00:00	43.32	44.9	43.03	44.83	824063	EUR	
25/05/2016 00:00	45.2	45.8	44.93	45.25	776051	EUR	
26/05/2016 00:00	45.32	46.17	45.28	46.1	686686	EUR	
27/05/2016 00:00	46.12	46.33	45.7	45.87	582213	EUR	
30/05/2016 00:00	45.28	45.6	45.05	45.17	411217	EUR	
31/05/2016 00:00	45.2	45.43	44.6	45.22	889641	EUR	
