date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	6.85	6.85	6	6	417	EUR	
19/05/2015 00:00	6.12	6.12	6.1	6.1	376	EUR	
20/05/2015 00:00	5.9	5.9	5.9	5.9	0	EUR	
22/05/2015 00:00	6.24	6.25	6.1	6.1	524	EUR	
26/05/2015 00:00	5.9	5.9	5.9	5.9	80	EUR	
27/05/2015 00:00	6.08	6.08	6.08	6.08	0	EUR	
22/06/2015 00:00	6.11	6.11	6.1	6.1	57	EUR	
23/06/2015 00:00	5.85	5.85	5.85	5.85	0	EUR	
25/06/2015 00:00	5.6	5.6	5.6	5.6	0	EUR	
29/06/2015 00:00	5.83	5.83	5.83	5.83	0	EUR	
02/07/2015 00:00	5.32	5.37	5.32	5.37	151	EUR	
03/07/2015 00:00	5.35	5.36	5.35	5.36	400	EUR	
06/07/2015 00:00	5.21	5.21	5.01	5.01	1115	EUR	
07/07/2015 00:00	5	5	4.91	4.92	350	EUR	
08/07/2015 00:00	4.95	4.95	4.95	4.95	0	EUR	
10/07/2015 00:00	4.88	5.12	4.87	5.12	1017	EUR	
13/07/2015 00:00	5.04	5.05	5.04	5.05	3100	EUR	
14/07/2015 00:00	5.2	5.2	5.2	5.2	0	EUR	
16/07/2015 00:00	5.5	5.5	5.5	5.5	125	EUR	
17/07/2015 00:00	5.6	5.6	5.6	5.6	1001	EUR	
21/07/2015 00:00	5.5	5.5	5.5	5.5	0	EUR	
24/07/2015 00:00	4.85	4.85	4.8	4.8	236	EUR	
27/07/2015 00:00	4.54	4.54	4.54	4.54	0	EUR	
29/07/2015 00:00	4.95	4.95	4.95	4.95	1	EUR	
30/07/2015 00:00	5.5	5.5	5.15	5.15	121	EUR	
31/07/2015 00:00	4.9	4.9	4.9	4.9	20	EUR	
05/08/2015 00:00	4.97	4.97	4.97	4.97	0	EUR	
10/08/2015 00:00	4.9	4.9	4.9	4.9	5000	EUR	
11/08/2015 00:00	4.9	4.9	4.9	4.9	0	EUR	
17/08/2015 00:00	4.61	4.61	4.61	4.61	0	EUR	
19/08/2015 00:00	4.61	4.61	4.51	4.51	1262	EUR	
20/08/2015 00:00	4.31	4.31	4.29	4.29	1279	EUR	
21/08/2015 00:00	4.65	4.65	4.39	4.39	2	EUR	
24/08/2015 00:00	4.3	4.3	4	4	796	EUR	
25/08/2015 00:00	4.18	4.28	3.9	4.28	6905	EUR	
27/08/2015 00:00	4.21	4.21	4.21	4.21	0	EUR	
31/08/2015 00:00	4.25	4.25	4.25	4.25	390	EUR	
01/09/2015 00:00	4.25	4.25	4.25	4.25	0	EUR	
09/09/2015 00:00	4.74	4.74	4.74	4.74	0	EUR	
16/09/2015 00:00	4.45	4.45	4.45	4.45	0	EUR	
22/09/2015 00:00	4.19	4.19	4.19	4.19	0	EUR	
24/09/2015 00:00	3.98	3.98	3.98	3.98	400	EUR	
25/09/2015 00:00	4.6	4.6	4.6	4.6	1	EUR	
28/09/2015 00:00	4	4	3.95	3.95	65	EUR	
29/09/2015 00:00	3.95	3.95	3.95	3.95	0	EUR	
05/10/2015 00:00	4.48	4.48	4.48	4.48	0	EUR	
07/10/2015 00:00	4.75	5.05	4.75	5.05	251	EUR	
08/10/2015 00:00	4.63	4.63	4.63	4.63	150	EUR	
09/10/2015 00:00	5.04	5.04	4.87	4.91	202	EUR	
12/10/2015 00:00	4.85	4.85	4.85	4.85	250	EUR	
13/10/2015 00:00	4.75	4.75	4.75	4.75	0	EUR	
15/10/2015 00:00	3.85	4.5	3.85	4.2	583	EUR	
16/10/2015 00:00	4.81	4.81	4.23	4.23	126	EUR	
20/10/2015 00:00	4.03	4.03	4.03	4.03	250	EUR	
21/10/2015 00:00	4.04	4.04	4.04	4.04	0	EUR	
27/10/2015 00:00	4.06	4.06	4	4	385	EUR	
28/10/2015 00:00	3.95	3.95	3.95	3.95	126	EUR	
29/10/2015 00:00	3.83	3.83	3.83	3.83	0	EUR	
03/11/2015 00:00	4.39	4.39	3.98	4.27	10736	EUR	
04/11/2015 00:00	4.54	4.54	4.54	4.54	0	EUR	
06/11/2015 00:00	4.54	4.54	3.84	3.84	6442	EUR	
09/11/2015 00:00	3.8	3.8	3.8	3.8	1000	EUR	
10/11/2015 00:00	3.8	3.8	3.8	3.8	0	EUR	
12/11/2015 00:00	3.7	3.7	3.7	3.7	0	EUR	
17/11/2015 00:00	3.86	3.87	3.86	3.87	400	EUR	
18/11/2015 00:00	3.64	3.64	3.64	3.64	150	EUR	
19/11/2015 00:00	3.73	3.73	3.73	3.73	0	EUR	
23/11/2015 00:00	3.85	3.85	3.85	3.85	6000	EUR	
24/11/2015 00:00	3.55	3.55	3.5	3.5	500	EUR	
25/11/2015 00:00	3.85	3.85	3.5	3.66	522	EUR	
26/11/2015 00:00	3.62	3.62	3.62	3.62	1	EUR	
27/11/2015 00:00	3.56	3.56	3.45	3.45	914	EUR	
30/11/2015 00:00	3.4	3.49	3.19	3.49	880	EUR	
01/12/2015 00:00	3.29	3.45	3.14	3.14	667	EUR	
02/12/2015 00:00	3.1	3.1	3.1	3.1	0	EUR	
04/12/2015 00:00	3.1	3.1	3.04	3.08	2447	EUR	
07/12/2015 00:00	3	3	3	3	150	EUR	
08/12/2015 00:00	3.01	3.01	2.95	2.95	1134	EUR	
09/12/2015 00:00	2.95	2.95	2.95	2.95	40	EUR	
10/12/2015 00:00	3	3	3	3	150	EUR	
11/12/2015 00:00	2.75	3.2	2.75	3.2	101	EUR	
14/12/2015 00:00	3.14	3.14	3.14	3.14	0	EUR	
22/12/2015 00:00	2.95	2.95	2.95	2.95	500	EUR	
23/12/2015 00:00	2.97	2.97	2.97	2.97	0	EUR	
28/12/2015 00:00	2.81	3.1	2.81	2.9	1043	EUR	
29/12/2015 00:00	3	3	2.9	2.9	270	EUR	
30/12/2015 00:00	2.82	2.82	2.82	2.82	0	EUR	
05/01/2016 00:00	2.95	2.95	2.95	2.95	810	EUR	
06/01/2016 00:00	2.81	2.81	2.8	2.8	989	EUR	
07/01/2016 00:00	2.71	2.71	2.71	2.71	200	EUR	
08/01/2016 00:00	2.64	2.64	2.58	2.58	289	EUR	
11/01/2016 00:00	2.45	2.45	2.39	2.39	1741	EUR	
12/01/2016 00:00	2.39	2.39	2.39	2.39	1000	EUR	
13/01/2016 00:00	2.32	2.32	2.32	2.32	0	EUR	
15/01/2016 00:00	2.15	2.15	2.15	2.15	250	EUR	
18/01/2016 00:00	2.01	2.01	2.01	2.01	0	EUR	
20/01/2016 00:00	2	2	2	2	0	EUR	
25/01/2016 00:00	2.05	2.05	2.05	2.05	0	EUR	
01/02/2016 00:00	2.26	2.26	2.26	2.26	100	EUR	
02/02/2016 00:00	2.46	2.46	2.46	2.46	200	EUR	
03/02/2016 00:00	2.25	2.25	2.05	2.19	3281	EUR	
04/02/2016 00:00	2	2.5	1.99	2.5	1558	EUR	
05/02/2016 00:00	2.5	2.65	2.5	2.65	403	EUR	
11/02/2016 00:00	2.34	2.34	2.34	2.34	0	EUR	
17/02/2016 00:00	2.6	2.6	2.6	2.6	0	EUR	
19/02/2016 00:00	2.85	2.85	2.85	2.85	1	EUR	
22/02/2016 00:00	2.94	2.94	2.94	2.94	0	EUR	
26/02/2016 00:00	2.66	2.66	2.64	2.64	4025	EUR	
01/03/2016 00:00	2.9	2.9	2.9	2.9	350	EUR	
02/03/2016 00:00	3.1	3.1	3.1	3.1	100	EUR	
03/03/2016 00:00	3.12	3.54	3.12	3.54	991	EUR	
04/03/2016 00:00	3.55	4.35	3.55	4.35	3486	EUR	
07/03/2016 00:00	4.54	4.54	4.54	4.54	0	EUR	
09/03/2016 00:00	3.51	3.51	3.5	3.5	6565	EUR	
10/03/2016 00:00	3.92	3.92	3.43	3.43	2	EUR	
11/03/2016 00:00	3.77	3.77	3.6	3.6	2	EUR	
17/03/2016 00:00	3.77	3.77	3.77	3.77	0	EUR	
21/03/2016 00:00	3.77	3.77	3.77	3.77	161	EUR	
22/03/2016 00:00	3.77	3.77	3.77	3.77	0	EUR	
24/03/2016 00:00	3.6	3.6	3.5	3.59	2088	EUR	
30/03/2016 00:00	3.95	3.95	3.95	3.95	0	EUR	
11/04/2016 00:00	3.95	3.95	3.95	3.95	178	EUR	
12/04/2016 00:00	4.49	4.5	4.09	4.33	44	EUR	
13/04/2016 00:00	4.89	4.89	4.89	4.89	0	EUR	
18/04/2016 00:00	4.7	4.98	4.68	4.98	256	EUR	
19/04/2016 00:00	4.85	5.06	4.85	5.06	436	EUR	
20/04/2016 00:00	5.1	5.25	5.1	5.25	571	EUR	
21/04/2016 00:00	5.45	5.45	5.45	5.45	0	EUR	
26/04/2016 00:00	4.54	4.66	4.53	4.66	3150	EUR	
27/04/2016 00:00	4.59	5	4.59	5	615	EUR	
28/04/2016 00:00	5	5.3	5	5.25	660	EUR	
29/04/2016 00:00	5.13	5.26	5.13	5.26	510	EUR	
03/05/2016 00:00	4.9	4.9	4.45	4.5	7005	EUR	
04/05/2016 00:00	4.92	4.92	4.92	4.92	0	EUR	
09/05/2016 00:00	4	4	4	4	0	EUR	
11/05/2016 00:00	4.1	4.1	4.1	4.1	0	EUR	
16/05/2016 00:00	3.81	4.15	3.81	3.98	302	EUR	
17/05/2016 00:00	3.72	3.96	3.72	3.96	135	EUR	
18/05/2016 00:00	3.62	4.12	3.62	3.82	803	EUR	
19/05/2016 00:00	3.54	3.54	3.54	3.54	0	EUR	
23/05/2016 00:00	3.65	3.65	3.57	3.57	240	EUR	
24/05/2016 00:00	3.9	3.9	3.9	3.9	1	EUR	
25/05/2016 00:00	3.86	3.86	3.86	3.86	0	EUR	
06/06/2016 00:00	4.45	4.45	4.45	4.45	0	EUR	
09/06/2016 00:00	4.28	4.28	4.28	4.28	0	EUR	
15/06/2016 00:00	4.1	4.1	4.1	4.1	0	EUR	
20/06/2016 00:00	3.7	4.22	3.7	4.22	3241	EUR	
21/06/2016 00:00	3.96	3.96	3.95	3.95	1950	EUR	
22/06/2016 00:00	4.27	4.27	4.27	4.27	0	EUR	
29/06/2016 00:00	4.28	4.28	4.28	4.28	0	EUR	
01/07/2016 00:00	4.3	4.68	4.3	4.68	861	EUR	
05/07/2016 00:00	4.43	4.43	4.43	4.43	0	EUR	
12/07/2016 00:00	4.78	4.93	4.78	4.84	288	EUR	
13/07/2016 00:00	4.74	4.99	4.74	4.99	2501	EUR	
14/07/2016 00:00	4.99	5.36	4.99	5.08	1003	EUR	
15/07/2016 00:00	4.89	4.91	4.89	4.91	2	EUR	
19/07/2016 00:00	4.77	4.77	4.77	4.77	0	EUR	
27/07/2016 00:00	5.14	5.14	5.14	5.14	21	EUR	
28/07/2016 00:00	5.3	5.3	5.3	5.3	0	EUR	
01/08/2016 00:00	5.18	5.18	5.18	5.18	0	EUR	
05/08/2016 00:00	5.3	5.3	5.3	5.3	300	EUR	
10/08/2016 00:00	5.3	5.3	5.3	5.3	0	EUR	
15/08/2016 00:00	5.16	5.16	5.16	5.16	0	EUR	
17/08/2016 00:00	5.3	5.3	5.3	5.3	0	EUR	
24/08/2016 00:00	5.01	5.01	5.01	5.01	0	EUR	
02/09/2016 00:00	4.97	4.98	4.97	4.98	500	EUR	
14/09/2016 00:00	4.63	4.63	4.63	4.63	0	EUR	
16/09/2016 00:00	4.4	4.4	4.27	4.37	1666	EUR	
20/09/2016 00:00	4.9	4.9	4.6	4.6	3	EUR	
21/09/2016 00:00	4.82	4.85	4.59	4.85	1201	EUR	
22/09/2016 00:00	5.04	5.04	5.04	5.04	0	EUR	
