date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	35.73	35.82	35.6	35.8	2560	EUR	
19/05/2015 00:00	35.8	35.82	35.6	35.8	925	EUR	
20/05/2015 00:00	35.7	35.85	35.7	35.85	969	EUR	
21/05/2015 00:00	35.8	35.9	35.8	35.86	1031	EUR	
22/05/2015 00:00	35.81	36	35.47	35.86	3323	EUR	
25/05/2015 00:00	35.99	35.99	35.55	35.8	1158	EUR	
26/05/2015 00:00	35.8	35.83	35.6	35.7	2233	EUR	
27/05/2015 00:00	35.7	35.92	35.61	35.92	1877	EUR	
28/05/2015 00:00	35.92	36.12	35.8	36.12	1589	EUR	
29/05/2015 00:00	36.12	36.17	35.91	36.15	1078	EUR	
01/06/2015 00:00	36.15	36.2	35.3	36.15	2621	EUR	
02/06/2015 00:00	35.8	36.1	35.6	36.1	1453	EUR	
03/06/2015 00:00	36.1	36.4	35.9	36.4	1577	EUR	
04/06/2015 00:00	36.4	36.4	36.01	36.19	2621	EUR	
05/06/2015 00:00	36.19	36.3	36	36.29	2137	EUR	
08/06/2015 00:00	36.25	36.35	36	36.35	3412	EUR	
09/06/2015 00:00	36.35	36.4	36.3	36.35	1724	EUR	
10/06/2015 00:00	36.41	37	36.25	37	4812	EUR	
11/06/2015 00:00	37	37.1	36.71	37	1551	EUR	
12/06/2015 00:00	37	37	36.31	36.9	1712	EUR	
15/06/2015 00:00	37	37	36.5	36.7	1769	EUR	
16/06/2015 00:00	36.7	36.71	36.5	36.7	1168	EUR	
17/06/2015 00:00	36.71	37.11	36.71	37.11	3616	EUR	
18/06/2015 00:00	36.85	37.15	36.85	37.15	1500	EUR	
19/06/2015 00:00	37.15	39.6	37.14	38.43	10267	EUR	
22/06/2015 00:00	39	39.1	38.1	38.51	4092	EUR	
23/06/2015 00:00	38.44	39.24	38.21	39.2	10686	EUR	
24/06/2015 00:00	39.18	39.18	38.61	38.63	2864	EUR	
25/06/2015 00:00	38.63	38.74	38.01	38.15	1956	EUR	
26/06/2015 00:00	38.15	38.15	36.83	37.7	2989	EUR	
29/06/2015 00:00	36.36	37.09	36.25	37	2525	EUR	
30/06/2015 00:00	37	37.7	36.7	37.2	2862	EUR	
01/07/2015 00:00	37.2	38.69	37.19	38.58	2611	EUR	
02/07/2015 00:00	38.3	38.53	38.01	38.3	1028	EUR	
03/07/2015 00:00	38.3	38.3	37.85	38.1	1900	EUR	
06/07/2015 00:00	37.65	37.9	37.5	37.72	1363	EUR	
07/07/2015 00:00	37.72	38	37.7	37.72	1101	EUR	
08/07/2015 00:00	37.72	37.9	37.72	37.72	789	EUR	
09/07/2015 00:00	37.72	38.01	37.71	38.01	1006	EUR	
10/07/2015 00:00	38	38.29	37.85	38.16	2006	EUR	
13/07/2015 00:00	38.16	38.7	38.15	38.7	2861	EUR	
14/07/2015 00:00	38.7	38.75	38.5	38.68	1823	EUR	
15/07/2015 00:00	38.68	38.75	38.51	38.68	1305	EUR	
16/07/2015 00:00	38.69	38.74	38.41	38.74	1866	EUR	
17/07/2015 00:00	38.75	38.87	38.52	38.75	1896	EUR	
20/07/2015 00:00	38.3	38.7	38.27	38.43	1855	EUR	
21/07/2015 00:00	38.43	38.43	38	38.11	1634	EUR	
22/07/2015 00:00	38.1	38.1	37.5	37.67	1589	EUR	
23/07/2015 00:00	38	38	37.12	37.38	1497	EUR	
24/07/2015 00:00	37.38	37.38	37.1	37.38	1858	EUR	
27/07/2015 00:00	37.38	37.38	36.75	36.75	3419	EUR	
28/07/2015 00:00	36.75	36.75	36.43	36.6	2447	EUR	
29/07/2015 00:00	36.6	36.8	36.4	36.61	2571	EUR	
30/07/2015 00:00	36.61	38.3	36.6	38.01	2405	EUR	
31/07/2015 00:00	38.1	38.2	37.43	38.15	3293	EUR	
03/08/2015 00:00	38.16	38.16	37.6	38	1200	EUR	
