date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	1.39	1.39	1.39	1.39	1	EUR	
19/05/2015 00:00	1.4	1.4	1.4	1.4	980	EUR	
20/05/2015 00:00	1.4	1.4	1.4	1.4	1	EUR	
21/05/2015 00:00	1.4	1.54	1.4	1.54	6210	EUR	
22/05/2015 00:00	1.52	1.52	1.45	1.46	822	EUR	
25/05/2015 00:00	1.46	1.48	1.45	1.48	2933	EUR	
26/05/2015 00:00	1.48	1.48	1.48	1.48	1	EUR	
27/05/2015 00:00	1.48	1.48	1.48	1.48	1	EUR	
28/05/2015 00:00	1.48	1.56	1.48	1.52	3984	EUR	
29/05/2015 00:00	1.53	1.53	1.53	1.53	1	EUR	
01/06/2015 00:00	1.53	1.58	1.53	1.58	599	EUR	
02/06/2015 00:00	1.57	1.58	1.55	1.55	571	EUR	
03/06/2015 00:00	1.55	1.55	1.53	1.53	1941	EUR	
04/06/2015 00:00	1.54	1.54	1.53	1.53	146	EUR	
05/06/2015 00:00	1.53	1.53	1.53	1.53	1	EUR	
08/06/2015 00:00	1.53	1.53	1.53	1.53	1	EUR	
09/06/2015 00:00	1.53	1.53	1.53	1.53	1	EUR	
10/06/2015 00:00	1.53	1.53	1.53	1.53	1	EUR	
11/06/2015 00:00	1.53	1.53	1.53	1.53	1	EUR	
12/06/2015 00:00	1.53	1.53	1.5	1.5	1596	EUR	
15/06/2015 00:00	1.5	1.5	1.48	1.48	599	EUR	
16/06/2015 00:00	1.49	1.49	1.49	1.49	1	EUR	
17/06/2015 00:00	1.48	1.48	1.48	1.48	1	EUR	
18/06/2015 00:00	1.49	1.49	1.49	1.49	1	EUR	
19/06/2015 00:00	1.48	1.48	1.48	1.48	1	EUR	
22/06/2015 00:00	1.49	1.49	1.49	1.49	1	EUR	
23/06/2015 00:00	1.48	1.54	1.48	1.54	25942	EUR	
24/06/2015 00:00	1.53	1.54	1.53	1.54	1001	EUR	
25/06/2015 00:00	1.53	1.58	1.53	1.57	4001	EUR	
26/06/2015 00:00	1.57	1.57	1.57	1.57	1	EUR	
29/06/2015 00:00	1.52	1.52	1.52	1.52	1001	EUR	
30/06/2015 00:00	1.53	1.53	1.51	1.51	242	EUR	
01/07/2015 00:00	1.52	1.52	1.52	1.52	1	EUR	
02/07/2015 00:00	1.52	1.52	1.52	1.52	1	EUR	
03/07/2015 00:00	1.52	1.6	1.52	1.6	2301	EUR	
06/07/2015 00:00	1.54	1.57	1.54	1.57	672	EUR	
07/07/2015 00:00	1.54	1.56	1.54	1.56	260	EUR	
08/07/2015 00:00	1.55	1.55	1.52	1.55	411	EUR	
09/07/2015 00:00	1.54	1.54	1.53	1.53	122	EUR	
10/07/2015 00:00	1.54	1.55	1.51	1.55	608	EUR	
13/07/2015 00:00	1.54	1.58	1.54	1.58	4140	EUR	
14/07/2015 00:00	1.58	1.58	1.58	1.58	1	EUR	
15/07/2015 00:00	1.58	1.58	1.58	1.58	1	EUR	
16/07/2015 00:00	1.54	1.54	1.53	1.53	181	EUR	
17/07/2015 00:00	1.54	1.54	1.54	1.54	1	EUR	
20/07/2015 00:00	1.43	1.55	1.43	1.55	4062	EUR	
21/07/2015 00:00	1.54	1.54	1.54	1.54	1	EUR	
22/07/2015 00:00	1.54	1.55	1.52	1.55	4042	EUR	
23/07/2015 00:00	1.55	1.56	1.47	1.56	1862	EUR	
24/07/2015 00:00	1.55	1.56	1.55	1.56	101	EUR	
27/07/2015 00:00	1.55	1.56	1.52	1.56	662	EUR	
28/07/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
29/07/2015 00:00	1.55	1.56	1.53	1.56	299	EUR	
30/07/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
31/07/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
03/08/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
04/08/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
05/08/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
06/08/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
07/08/2015 00:00	1.55	1.62	1.55	1.62	4507	EUR	
10/08/2015 00:00	1.63	1.63	1.63	1.63	736	EUR	
11/08/2015 00:00	1.63	1.64	1.63	1.64	1148	EUR	
12/08/2015 00:00	1.63	1.63	1.6	1.63	540	EUR	
13/08/2015 00:00	1.63	1.63	1.63	1.63	1	EUR	
14/08/2015 00:00	1.63	1.63	1.63	1.63	1	EUR	
17/08/2015 00:00	1.63	1.63	1.63	1.63	1	EUR	
18/08/2015 00:00	1.62	1.62	1.62	1.62	1	EUR	
19/08/2015 00:00	1.62	1.62	1.54	1.54	501	EUR	
20/08/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
21/08/2015 00:00	1.55	1.6	1.55	1.6	900	EUR	
24/08/2015 00:00	1.6	1.6	1.57	1.57	16	EUR	
25/08/2015 00:00	1.58	1.58	1.58	1.58	1	EUR	
26/08/2015 00:00	1.58	1.59	1.5	1.5	2231	EUR	
27/08/2015 00:00	1.5	1.51	1.5	1.5	251	EUR	
28/08/2015 00:00	1.48	1.48	1.45	1.45	2145	EUR	
31/08/2015 00:00	1.46	1.46	1.45	1.45	1355	EUR	
01/09/2015 00:00	1.45	1.48	1.45	1.48	201	EUR	
02/09/2015 00:00	1.48	1.5	1.48	1.5	201	EUR	
03/09/2015 00:00	1.5	1.5	1.5	1.5	1	EUR	
04/09/2015 00:00	1.5	1.52	1.5	1.52	101	EUR	
07/09/2015 00:00	1.52	1.52	1.45	1.45	822	EUR	
08/09/2015 00:00	1.45	1.45	1.45	1.45	1	EUR	
09/09/2015 00:00	1.4	1.6	1.4	1.5	13714	EUR	
10/09/2015 00:00	1.49	1.6	1.49	1.6	2001	EUR	
11/09/2015 00:00	1.58	1.59	1.58	1.59	4996	EUR	
14/09/2015 00:00	1.59	1.59	1.59	1.59	1	EUR	
15/09/2015 00:00	1.59	1.59	1.59	1.59	1	EUR	
16/09/2015 00:00	1.59	1.59	1.59	1.59	1	EUR	
17/09/2015 00:00	1.58	1.58	1.58	1.58	1	EUR	
18/09/2015 00:00	1.55	1.55	1.52	1.52	601	EUR	
21/09/2015 00:00	1.52	1.55	1.49	1.55	1236	EUR	
22/09/2015 00:00	1.55	1.55	1.55	1.55	1	EUR	
23/09/2015 00:00	1.55	1.59	1.43	1.5	12636	EUR	
24/09/2015 00:00	1.5	1.6	1.48	1.53	8569	EUR	
25/09/2015 00:00	1.52	1.59	1.52	1.59	2000	EUR	
28/09/2015 00:00	1.59	1.59	1.59	1.59	1	EUR	
29/09/2015 00:00	1.55	1.55	1.52	1.52	636	EUR	
30/09/2015 00:00	1.53	1.53	1.53	1.53	1	EUR	
01/10/2015 00:00	1.53	1.56	1.53	1.56	201	EUR	
02/10/2015 00:00	1.56	1.57	1.55	1.55	129	EUR	
05/10/2015 00:00	1.56	1.56	1.56	1.56	1	EUR	
06/10/2015 00:00	1.56	1.6	1.56	1.6	501	EUR	
07/10/2015 00:00	1.59	1.59	1.59	1.59	1	EUR	
08/10/2015 00:00	1.59	1.59	1.59	1.59	1	EUR	
09/10/2015 00:00	1.59	1.59	1.59	1.59	1	EUR	
12/10/2015 00:00	1.59	1.59	1.57	1.57	301	EUR	
13/10/2015 00:00	1.56	1.56	1.56	1.56	1	EUR	
14/10/2015 00:00	1.57	1.59	1.57	1.59	101	EUR	
15/10/2015 00:00	1.59	1.59	1.59	1.59	1	EUR	
16/10/2015 00:00	1.55	1.55	1.55	1.55	1234	EUR	
19/10/2015 00:00	1.54	1.54	1.54	1.54	1	EUR	
20/10/2015 00:00	1.53	1.53	1.48	1.49	2454	EUR	
21/10/2015 00:00	1.49	1.53	1.49	1.53	401	EUR	
22/10/2015 00:00	1.53	1.58	1.53	1.58	801	EUR	
23/10/2015 00:00	1.58	1.59	1.55	1.59	111	EUR	
26/10/2015 00:00	1.58	1.59	1.56	1.59	5	EUR	
27/10/2015 00:00	1.58	1.59	1.55	1.55	291	EUR	
28/10/2015 00:00	1.55	1.55	1.55	1.55	50	EUR	
29/10/2015 00:00	1.55	1.55	1.55	1.55	50	EUR	
30/10/2015 00:00	1.55	1.55	1.55	1.55	50	EUR	
02/11/2015 00:00	1.55	1.58	1.55	1.58	2	EUR	
03/11/2015 00:00	1.57	1.57	1.57	1.57	1	EUR	
04/11/2015 00:00	1.57	1.57	1.57	1.57	1	EUR	
05/11/2015 00:00	1.55	1.58	1.55	1.58	51	EUR	
06/11/2015 00:00	1.54	1.58	1.54	1.58	383	EUR	
09/11/2015 00:00	1.57	1.57	1.57	1.57	1	EUR	
10/11/2015 00:00	1.57	1.57	1.57	1.57	1	EUR	
11/11/2015 00:00	1.57	1.57	1.57	1.57	1	EUR	
12/11/2015 00:00	1.57	1.57	1.53	1.57	458	EUR	
13/11/2015 00:00	1.56	1.56	1.56	1.56	1	EUR	
16/11/2015 00:00	1.56	1.58	1.56	1.58	462	EUR	
