date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	3.01	3.08	3.01	3.07	2650	EUR	
19/05/2015 00:00	3.07	3.07	3.04	3.05	760	EUR	
20/05/2015 00:00	3.04	3.06	3.03	3.03	2178	EUR	
21/05/2015 00:00	3.01	3.04	3	3.04	5090	EUR	
22/05/2015 00:00	3.05	3.07	3.05	3.07	2679	EUR	
25/05/2015 00:00	3.07	3.1	3.06	3.1	9077	EUR	
26/05/2015 00:00	3.09	3.13	3.07	3.13	5569	EUR	
27/05/2015 00:00	3.13	3.13	3.1	3.1	2834	EUR	
28/05/2015 00:00	3.09	3.1	3.05	3.05	9169	EUR	
29/05/2015 00:00	3.06	3.06	3	3	3024	EUR	
01/06/2015 00:00	3.05	3.05	2.96	3.02	5919	EUR	
02/06/2015 00:00	3.02	3.02	2.94	2.94	8189	EUR	
03/06/2015 00:00	2.96	3.01	2.95	3.01	15804	EUR	
04/06/2015 00:00	3.01	3.03	3.01	3.03	1596	EUR	
05/06/2015 00:00	3.02	3.05	2.98	3.05	7520	EUR	
08/06/2015 00:00	3.08	3.11	3.04	3.11	16991	EUR	
09/06/2015 00:00	3.11	3.11	3.01	3.1	7356	EUR	
10/06/2015 00:00	3.11	3.11	3.04	3.07	7686	EUR	
11/06/2015 00:00	3.13	3.27	3.11	3.25	26991	EUR	
12/06/2015 00:00	3.25	3.25	3.17	3.25	4405	EUR	
15/06/2015 00:00	3.26	3.26	3.14	3.24	25637	EUR	
16/06/2015 00:00	3.17	3.17	3.11	3.11	17530	EUR	
17/06/2015 00:00	3.11	3.2	3.11	3.19	8517	EUR	
18/06/2015 00:00	2.94	3.02	2.91	2.95	15193	EUR	
19/06/2015 00:00	2.99	2.99	2.91	2.96	8577	EUR	
22/06/2015 00:00	2.96	2.98	2.94	2.95	4801	EUR	
23/06/2015 00:00	2.98	3.01	2.96	3.01	4265	EUR	
24/06/2015 00:00	3.01	3.05	2.96	3.02	5320	EUR	
25/06/2015 00:00	2.97	2.97	2.96	2.96	1000	EUR	
26/06/2015 00:00	3.01	3.01	3.01	3.01	684	EUR	
29/06/2015 00:00	2.85	2.9	2.36	2.9	38203	EUR	
30/06/2015 00:00	2.71	2.82	2.71	2.82	13858	EUR	
01/07/2015 00:00	2.86	3	2.86	2.96	13962	EUR	
02/07/2015 00:00	2.99	3	2.98	3	2988	EUR	
03/07/2015 00:00	2.95	3.01	2.95	2.99	3168	EUR	
06/07/2015 00:00	2.9	2.98	2.86	2.98	8954	EUR	
07/07/2015 00:00	2.91	2.91	2.91	2.91	430	EUR	
08/07/2015 00:00	2.9	2.92	2.9	2.9	9583	EUR	
09/07/2015 00:00	2.9	2.93	2.9	2.93	4184	EUR	
10/07/2015 00:00	2.94	2.97	2.94	2.97	4230	EUR	
13/07/2015 00:00	2.96	3.01	2.96	3.01	2186	EUR	
14/07/2015 00:00	3.01	3.01	3.01	3.01	28	EUR	
15/07/2015 00:00	3.1	3.1	3.02	3.03	8808	EUR	
16/07/2015 00:00	3.09	3.17	3.04	3.17	13121	EUR	
17/07/2015 00:00	3.17	3.17	3	3.15	5510	EUR	
20/07/2015 00:00	3.15	3.15	3	3.06	33390	EUR	
21/07/2015 00:00	3.06	3.11	3.06	3.1	10474	EUR	
22/07/2015 00:00	3.08	3.15	3.08	3.11	5859	EUR	
23/07/2015 00:00	3.08	3.09	3.08	3.08	2870	EUR	
24/07/2015 00:00	3.08	3.11	3.05	3.05	10449	EUR	
27/07/2015 00:00	3.09	3.09	3	3	9557	EUR	
28/07/2015 00:00	3	3	3	3	4982	EUR	
29/07/2015 00:00	3.03	3.03	2.99	3	3522	EUR	
30/07/2015 00:00	3.01	3.01	3	3	8932	EUR	
31/07/2015 00:00	3	3.06	3	3.06	63664	EUR	
03/08/2015 00:00	3.11	3.11	3.03	3.03	7283	EUR	
04/08/2015 00:00	3	3.03	3	3	6997	EUR	
05/08/2015 00:00	2.99	3.07	2.95	3.06	6521	EUR	
06/08/2015 00:00	3	3	3	3	549	EUR	
07/08/2015 00:00	3	3	3	3	2307	EUR	
10/08/2015 00:00	2.83	3.1	2.83	2.91	6842	EUR	
11/08/2015 00:00	2.86	3.03	2.86	3.03	4558	EUR	
12/08/2015 00:00	2.88	3.1	2.87	2.92	12310	EUR	
13/08/2015 00:00	2.97	3	2.97	3	2339	EUR	
14/08/2015 00:00	2.9	2.99	2.9	2.9	2001	EUR	
17/08/2015 00:00	3.03	3.03	2.88	2.96	4326	EUR	
18/08/2015 00:00	2.91	3	2.89	2.94	7971	EUR	
19/08/2015 00:00	3	3	2.91	2.92	10780	EUR	
20/08/2015 00:00	2.99	2.99	2.96	2.97	7320	EUR	
21/08/2015 00:00	2.89	3.03	2.89	2.93	11947	EUR	
24/08/2015 00:00	2.92	2.92	2.64	2.85	37887	EUR	
25/08/2015 00:00	2.7	2.94	2.7	2.85	15672	EUR	
26/08/2015 00:00	2.77	2.96	2.77	2.9	8889	EUR	
27/08/2015 00:00	2.87	2.97	2.69	2.97	10328	EUR	
28/08/2015 00:00	2.95	3	2.94	2.99	9053	EUR	
31/08/2015 00:00	3.02	3.11	3.02	3.06	22354	EUR	
