date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	22.285	22.4	21.94	22.255	4428976	EUR	
19/05/2015 00:00	22.205	22.58	22.205	22.515	4885757	EUR	
20/05/2015 00:00	22.455	23.055	22.45	22.97	4777492	EUR	
21/05/2015 00:00	22.825	23.055	22.825	22.915	2542300	EUR	
22/05/2015 00:00	23.15	23.425	23.02	23.175	7275305	EUR	
25/05/2015 00:00	22.98	23.105	22.78	23.06	711114	EUR	
26/05/2015 00:00	23.175	23.55	23.175	23.385	9215144	EUR	
27/05/2015 00:00	23.37	23.705	23.37	23.66	6508207	EUR	
28/05/2015 00:00	23.595	23.72	23.405	23.555	3455662	EUR	
29/05/2015 00:00	23.46	23.705	23.12	23.19	12238865	EUR	
01/06/2015 00:00	23.19	23.495	23.105	23.38	4619697	EUR	
02/06/2015 00:00	23.39	23.64	23.21	23.52	5758357	EUR	
03/06/2015 00:00	23.52	23.75	23.41	23.63	4258612	EUR	
04/06/2015 00:00	23.535	23.7	23.16	23.36	5343807	EUR	
05/06/2015 00:00	23.2	23.62	23.115	23.55	6097790	EUR	
08/06/2015 00:00	23.565	23.675	23.325	23.585	4344390	EUR	
09/06/2015 00:00	23.555	23.94	23.54	23.84	10364376	EUR	
10/06/2015 00:00	23.74	24	23.565	23.97	6779959	EUR	
11/06/2015 00:00	23.895	24.1	23.7	23.8	7768852	EUR	
12/06/2015 00:00	23.75	23.855	23.57	23.69	8176232	EUR	
15/06/2015 00:00	23.5	23.68	23.41	23.6	5295151	EUR	
16/06/2015 00:00	23.505	23.67	23.285	23.585	4278250	EUR	
17/06/2015 00:00	23.55	24.075	23.495	23.725	6476459	EUR	
18/06/2015 00:00	23.63	23.745	23.43	23.49	6475665	EUR	
19/06/2015 00:00	23.48	23.72	23.295	23.295	12226777	EUR	
22/06/2015 00:00	23.815	24.14	23.71	24.125	7467955	EUR	
23/06/2015 00:00	24.4	24.745	24.3	24.52	6875307	EUR	
24/06/2015 00:00	24.53	24.58	24.215	24.4	8089106	EUR	
25/06/2015 00:00	23.58	23.895	23.45	23.83	7555131	EUR	
26/06/2015 00:00	23.68	23.905	23.465	23.555	6563307	EUR	
29/06/2015 00:00	23.03	23.31	22.75	22.91	7535878	EUR	
30/06/2015 00:00	22.83	23.03	22.6	22.625	8707691	EUR	
01/07/2015 00:00	22.855	23.395	22.76	23.185	7984609	EUR	
02/07/2015 00:00	23.24	23.24	22.955	22.975	3284455	EUR	
03/07/2015 00:00	22.975	23.035	22.645	22.665	3631049	EUR	
06/07/2015 00:00	22.5	22.62	22.215	22.255	4844965	EUR	
07/07/2015 00:00	22.32	22.35	21.765	21.775	7212163	EUR	
08/07/2015 00:00	21.83	22.55	21.8	22.325	7965572	EUR	
09/07/2015 00:00	22.5	22.815	22.405	22.71	4770176	EUR	
10/07/2015 00:00	23.275	23.48	23.05	23.38	5912023	EUR	
13/07/2015 00:00	23.73	24.36	23.655	24.265	8348951	EUR	
14/07/2015 00:00	24.29	24.395	24.15	24.29	4850115	EUR	
15/07/2015 00:00	24.33	24.59	24.27	24.5	4485874	EUR	
16/07/2015 00:00	24.595	24.83	24.54	24.6	5553167	EUR	
17/07/2015 00:00	24.715	24.715	24.38	24.38	5389813	EUR	
20/07/2015 00:00	24.545	24.65	24.4	24.455	2374432	EUR	
21/07/2015 00:00	24.53	24.57	24.18	24.215	2636316	EUR	
22/07/2015 00:00	24.16	24.235	24.115	24.16	3586624	EUR	
23/07/2015 00:00	24.305	24.36	24.09	24.18	2168072	EUR	
24/07/2015 00:00	24.155	24.37	24.14	24.22	3989876	EUR	
27/07/2015 00:00	24.155	24.2	23.69	23.69	3666811	EUR	
28/07/2015 00:00	23.835	23.94	23.6	23.675	3787937	EUR	
29/07/2015 00:00	23.73	23.86	23.635	23.74	3842561	EUR	
30/07/2015 00:00	23.91	23.935	23.54	23.685	2139490	EUR	
31/07/2015 00:00	23.675	23.935	23.675	23.935	3377325	EUR	
03/08/2015 00:00	23.985	24.645	23.92	24.48	4795126	EUR	
04/08/2015 00:00	24.525	24.54	24.365	24.455	2949055	EUR	
05/08/2015 00:00	24.495	24.51	24.38	24.45	3583220	EUR	
06/08/2015 00:00	24.415	24.505	24.305	24.32	2464006	EUR	
07/08/2015 00:00	24.35	24.36	23.87	23.935	3955769	EUR	
10/08/2015 00:00	24.095	24.33	23.93	24.275	2783052	EUR	
11/08/2015 00:00	24.18	24.25	23.8	23.88	3460601	EUR	
12/08/2015 00:00	23.74	23.74	23.11	23.19	3946744	EUR	
13/08/2015 00:00	23.505	23.655	23.225	23.3	3935964	EUR	
14/08/2015 00:00	23.345	23.44	23.185	23.255	2090987	EUR	
17/08/2015 00:00	23.445	23.57	23.14	23.395	2905283	EUR	
18/08/2015 00:00	23.34	23.525	23.29	23.395	2653584	EUR	
19/08/2015 00:00	23.285	23.4	23.025	23.26	5718487	EUR	
20/08/2015 00:00	23.175	23.22	22.615	22.65	4164705	EUR	
21/08/2015 00:00	22.42	22.51	21.8	21.8	7570724	EUR	
24/08/2015 00:00	21.18	21.54	20.2	21.02	12778469	EUR	
25/08/2015 00:00	21.225	22.08	21.03	22.01	12943588	EUR	
26/08/2015 00:00	21.75	22.385	21.495	21.94	6332899	EUR	
27/08/2015 00:00	22.435	22.785	22.31	22.725	7682169	EUR	
28/08/2015 00:00	22.595	22.595	22.125	22.3	7015704	EUR	
31/08/2015 00:00	22	22.215	21.955	22.045	4058578	EUR	
01/09/2015 00:00	21.92	22.17	21.545	21.665	7886787	EUR	
02/09/2015 00:00	21.75	21.985	21.65	21.72	4012655	EUR	
03/09/2015 00:00	21.35	21.995	21.045	21.69	9770312	EUR	
04/09/2015 00:00	21.61	21.61	21.19	21.19	5891626	EUR	
07/09/2015 00:00	21.375	21.54	21.165	21.415	3264398	EUR	
08/09/2015 00:00	21.535	21.815	21.505	21.525	3384046	EUR	
09/09/2015 00:00	22	22.005	21.71	21.72	3817432	EUR	
10/09/2015 00:00	21.57	21.7	21.405	21.405	4979172	EUR	
11/09/2015 00:00	21.495	21.495	20.985	21.02	4426276	EUR	
14/09/2015 00:00	21.085	21.295	20.995	20.995	3734690	EUR	
15/09/2015 00:00	21.04	21.215	20.92	21.105	4764304	EUR	
16/09/2015 00:00	21.25	21.605	21.2	21.44	6134095	EUR	
17/09/2015 00:00	21.4	21.65	21.355	21.595	5131808	EUR	
18/09/2015 00:00	21.49	21.545	21.165	21.455	15372840	EUR	
21/09/2015 00:00	21.41	21.58	21.365	21.49	5348762	EUR	
22/09/2015 00:00	21.465	21.5	20.865	20.875	5897901	EUR	
23/09/2015 00:00	20.92	21.225	20.83	21.01	6271454	EUR	
24/09/2015 00:00	21.09	21.1	20.44	20.53	6176223	EUR	
25/09/2015 00:00	20.82	21.26	20.725	21.06	5464942	EUR	
28/09/2015 00:00	20.975	21.055	20.535	20.62	4632866	EUR	
29/09/2015 00:00	20.325	20.715	20.27	20.45	3182990	EUR	
30/09/2015 00:00	20.915	21.145	20.805	21.13	5638618	EUR	
01/10/2015 00:00	21.375	21.38	20.735	20.795	4900034	EUR	
02/10/2015 00:00	20.99	21.055	20.325	20.65	7879955	EUR	
