date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	35.9	36	35.8	35.99	1099	EUR	
19/05/2015 00:00	35.99	36	35.99	36	370	EUR	
20/05/2015 00:00	36	36.05	36	36	837	EUR	
21/05/2015 00:00	36	36.01	35.99	36	177	EUR	
22/05/2015 00:00	36	36.15	36	36.1	3068	EUR	
25/05/2015 00:00	36.1	36.26	36.1	36.22	1051	EUR	
26/05/2015 00:00	36.22	36.38	36.22	36.38	69	EUR	
27/05/2015 00:00	36.39	36.39	36.39	36.39	151	EUR	
28/05/2015 00:00	36.41	36.41	36.38	36.38	183	EUR	
29/05/2015 00:00	36.38	36.38	36.38	36.38	1	EUR	
01/06/2015 00:00	36.6	36.7	36.5	36.5	529	EUR	
02/06/2015 00:00	36.5	36.5	36.42	36.42	359	EUR	
03/06/2015 00:00	36.5	36.67	36.43	36.67	1291	EUR	
04/06/2015 00:00	36.67	36.76	36.67	36.76	258	EUR	
05/06/2015 00:00	36.76	37	36.76	37	2875	EUR	
08/06/2015 00:00	37	37	37	37	575	EUR	
09/06/2015 00:00	37	37	36.82	37	173	EUR	
10/06/2015 00:00	37	37	36.99	36.99	441	EUR	
11/06/2015 00:00	36.99	37	36.9	36.95	241	EUR	
12/06/2015 00:00	36.67	36.67	36.67	36.67	301	EUR	
15/06/2015 00:00	36.68	36.7	36.67	36.67	54	EUR	
16/06/2015 00:00	36.67	36.67	36.59	36.66	89	EUR	
17/06/2015 00:00	36.66	36.67	36.5	36.5	588	EUR	
18/06/2015 00:00	36.43	36.66	34.84	35.5	3017	EUR	
19/06/2015 00:00	35.5	35.6	34.83	34.83	697	EUR	
22/06/2015 00:00	33.93	34.25	33.93	33.98	965	EUR	
23/06/2015 00:00	33.98	35	33.98	35	1141	EUR	
24/06/2015 00:00	35	35.01	34.89	35.01	305	EUR	
25/06/2015 00:00	35.01	35.02	34.3	35.02	795	EUR	
26/06/2015 00:00	35.02	35.03	35.02	35.03	101	EUR	
29/06/2015 00:00	35.2	35.2	34.49	34.49	442	EUR	
30/06/2015 00:00	34.49	34.49	34.49	34.49	61	EUR	
01/07/2015 00:00	34.49	34.5	34	34.49	395	EUR	
02/07/2015 00:00	34.49	34.5	34.49	34.5	6	EUR	
03/07/2015 00:00	34.5	34.5	34.5	34.5	89	EUR	
06/07/2015 00:00	34.5	34.5	34.44	34.5	172	EUR	
07/07/2015 00:00	34.5	34.5	34.44	34.5	65	EUR	
08/07/2015 00:00	34.5	34.6	34.5	34.55	1448	EUR	
09/07/2015 00:00	34.56	35.2	34.56	35	3105	EUR	
10/07/2015 00:00	35.2	35.2	35.2	35.2	14557	EUR	
13/07/2015 00:00	35.21	35.3	35.2	35.3	240	EUR	
14/07/2015 00:00	35.3	35.35	35.3	35.3	74	EUR	
15/07/2015 00:00	35.3	35.5	35.22	35.3	274	EUR	
16/07/2015 00:00	35.31	35.31	35.3	35.3	121	EUR	
17/07/2015 00:00	35.3	35.5	35.3	35.5	446	EUR	
20/07/2015 00:00	35.5	35.55	35.5	35.5	727	EUR	
21/07/2015 00:00	35.5	35.55	35.5	35.5	165	EUR	
22/07/2015 00:00	35.51	35.51	35.46	35.5	112	EUR	
23/07/2015 00:00	35.51	35.9	35.5	35.51	1864	EUR	
24/07/2015 00:00	35.51	35.51	35.51	35.51	60	EUR	
27/07/2015 00:00	35.51	35.51	35.51	35.51	70	EUR	
28/07/2015 00:00	35.53	35.53	35.52	35.52	151	EUR	
29/07/2015 00:00	35.61	35.98	35.6	35.98	428	EUR	
30/07/2015 00:00	35.97	35.98	35.85	35.85	263	EUR	
31/07/2015 00:00	35.85	35.98	35.85	35.98	203	EUR	
03/08/2015 00:00	35.98	35.98	35.98	35.98	126	EUR	
04/08/2015 00:00	36	36	35.9	36	10058	EUR	
05/08/2015 00:00	36	36.11	36	36.11	150	EUR	
06/08/2015 00:00	36.1	36.2	36.1	36.2	60	EUR	
07/08/2015 00:00	36.2	36.2	36	36	30	EUR	
10/08/2015 00:00	36	36	35.99	36	54	EUR	
11/08/2015 00:00	36	36	36	36	1	EUR	
12/08/2015 00:00	36	36.02	36	36	187	EUR	
13/08/2015 00:00	36.01	36.02	36.01	36.02	85	EUR	
14/08/2015 00:00	36.02	36.03	36.02	36.03	57	EUR	
17/08/2015 00:00	36.03	36.03	36.02	36.03	71	EUR	
18/08/2015 00:00	36.03	36.04	36.03	36.04	56	EUR	
19/08/2015 00:00	36.04	36.04	36.04	36.04	1	EUR	
20/08/2015 00:00	36.04	36.06	36.04	36.05	166	EUR	
21/08/2015 00:00	36.05	36.05	36.03	36.04	187	EUR	
24/08/2015 00:00	36.04	36.04	35.9	35.9	483	EUR	
25/08/2015 00:00	35.9	35.9	35.9	35.9	1	EUR	
26/08/2015 00:00	35.9	35.9	35.8	35.9	300	EUR	
27/08/2015 00:00	35.91	35.91	35.91	35.91	1	EUR	
28/08/2015 00:00	35.91	35.92	35.91	35.92	41	EUR	
31/08/2015 00:00	35.94	35.94	35.94	35.94	141	EUR	
01/09/2015 00:00	35.94	35.94	35.94	35.94	111	EUR	
02/09/2015 00:00	36	36	35.95	35.95	584	EUR	
03/09/2015 00:00	35.95	35.96	35.95	35.96	71	EUR	
04/09/2015 00:00	35.96	35.96	35.96	35.96	1	EUR	
07/09/2015 00:00	35.96	35.96	35.96	35.96	1	EUR	
08/09/2015 00:00	36	36	36	36	173	EUR	
09/09/2015 00:00	36.01	36.06	36	36	6079	EUR	
10/09/2015 00:00	36	36	36	36	122	EUR	
11/09/2015 00:00	36	36.01	36	36.01	21	EUR	
14/09/2015 00:00	36.01	36.01	36	36	117	EUR	
15/09/2015 00:00	36.05	36.05	36.01	36.03	481	EUR	
16/09/2015 00:00	36.03	36.1	36.03	36.1	201	EUR	
17/09/2015 00:00	36.11	36.11	36.11	36.11	71	EUR	
18/09/2015 00:00	36.11	36.11	36.11	36.11	82	EUR	
21/09/2015 00:00	36.11	36.11	36.1	36.1	1147	EUR	
22/09/2015 00:00	36.1	36.1	36	36	1451	EUR	
23/09/2015 00:00	35.96	36	35.52	35.52	1824	EUR	
