date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	7.2	7.3	7.2	7.3	6	EUR	
19/05/2015 00:00	7.3	7.3	7.14	7.14	708	EUR	
20/05/2015 00:00	7.14	7.18	7.1	7.15	1526	EUR	
21/05/2015 00:00	7.14	7.14	7.14	7.14	1	EUR	
22/05/2015 00:00	7.14	7.14	7.03	7.03	31	EUR	
25/05/2015 00:00	7.03	7.03	7.01	7.01	45	EUR	
26/05/2015 00:00	7.01	7.07	6.43	7.07	2002	EUR	
27/05/2015 00:00	6.99	7	6.63	6.8	349	EUR	
28/05/2015 00:00	6.8	6.8	6.8	6.8	1	EUR	
29/05/2015 00:00	6.79	6.84	6.41	6.84	316	EUR	
01/06/2015 00:00	6.84	6.84	6.84	6.84	61	EUR	
02/06/2015 00:00	6.84	6.91	6.75	6.91	3011	EUR	
03/06/2015 00:00	6.91	6.98	6.81	6.98	212	EUR	
04/06/2015 00:00	6.98	6.98	6.8	6.8	684	EUR	
05/06/2015 00:00	6.8	6.8	6.67	6.67	5780	EUR	
08/06/2015 00:00	6.61	6.61	6	6.2	1492	EUR	
09/06/2015 00:00	6	6.2	6	6.19	3027	EUR	
10/06/2015 00:00	6.02	6.15	5.65	5.9	1020	EUR	
11/06/2015 00:00	6.06	6.21	6.06	6.21	334	EUR	
12/06/2015 00:00	6.21	6.21	6.21	6.21	1	EUR	
15/06/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
16/06/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
17/06/2015 00:00	6.04	6.2	6.02	6.2	193	EUR	
18/06/2015 00:00	6.17	6.18	6	6.18	161	EUR	
19/06/2015 00:00	6.18	6.18	6.18	6.18	1	EUR	
22/06/2015 00:00	6.18	6.41	6.1	6.3	896	EUR	
23/06/2015 00:00	6.35	6.53	6.25	6.53	874	EUR	
24/06/2015 00:00	6.49	7.05	6.49	7	3070	EUR	
25/06/2015 00:00	7	7.44	7	7.35	3341	EUR	
26/06/2015 00:00	7.34	8	7.34	8	2362	EUR	
29/06/2015 00:00	7.61	7.9	7.56	7.9	1439	EUR	
30/06/2015 00:00	7.49	7.9	7.28	7.9	3244	EUR	
01/07/2015 00:00	7.9	8.16	7.9	8.16	1939	EUR	
02/07/2015 00:00	8.01	8.01	8	8	395	EUR	
03/07/2015 00:00	8	8	7.95	8	212	EUR	
06/07/2015 00:00	8.01	8.5	7.8	8.5	1429	EUR	
07/07/2015 00:00	8.21	8.28	8.04	8.28	551	EUR	
08/07/2015 00:00	8.25	8.32	8.24	8.32	351	EUR	
09/07/2015 00:00	8.32	8.5	8.32	8.5	430	EUR	
10/07/2015 00:00	8.29	8.7	8.29	8.7	1451	EUR	
13/07/2015 00:00	8.75	8.85	8.72	8.85	1854	EUR	
14/07/2015 00:00	8.83	9.06	8.83	9.06	2977	EUR	
15/07/2015 00:00	8.95	9	8.89	9	221	EUR	
16/07/2015 00:00	9	9.06	8.8	9.06	876	EUR	
17/07/2015 00:00	9.1	9.1	8.88	9.1	2967	EUR	
20/07/2015 00:00	9.1	9.1	9	9.1	1921	EUR	
21/07/2015 00:00	9.1	9.2	9.1	9.2	605	EUR	
22/07/2015 00:00	9.18	9.18	9.18	9.18	1	EUR	
23/07/2015 00:00	9.18	9.2	8.98	9.2	1106	EUR	
24/07/2015 00:00	9.14	9.2	8.9	9.2	361	EUR	
27/07/2015 00:00	9.3	9.3	9.15	9.15	1487	EUR	
28/07/2015 00:00	9.15	9.15	8.88	9	864	EUR	
29/07/2015 00:00	9.01	9.25	8.9	9.25	595	EUR	
30/07/2015 00:00	9.3	9.3	9.1	9.1	827	EUR	
31/07/2015 00:00	9.09	9.09	8.9	9	557	EUR	
03/08/2015 00:00	9.01	9.01	8.6	8.62	1005	EUR	
04/08/2015 00:00	8.63	8.91	8.63	8.63	323	EUR	
05/08/2015 00:00	8.67	8.97	8.66	8.9	401	EUR	
06/08/2015 00:00	8.9	8.95	8.75	8.95	171	EUR	
07/08/2015 00:00	8.88	8.95	8.88	8.95	54	EUR	
10/08/2015 00:00	8.94	8.94	8.94	8.94	1	EUR	
11/08/2015 00:00	8.94	8.94	8.94	8.94	1	EUR	
12/08/2015 00:00	8.94	8.95	8.65	8.95	543	EUR	
13/08/2015 00:00	8.94	8.99	8.94	8.99	251	EUR	
14/08/2015 00:00	8.97	8.99	8.8	8.8	67	EUR	
17/08/2015 00:00	8.81	8.81	8.81	8.81	2	EUR	
18/08/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
19/08/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
20/08/2015 00:00	8.82	8.82	7.99	8	1652	EUR	
21/08/2015 00:00	8.01	8.01	7.76	7.76	461	EUR	
24/08/2015 00:00	7.72	7.72	7.33	7.34	171	EUR	
25/08/2015 00:00	7.33	7.34	7.33	7.34	717	EUR	
26/08/2015 00:00	7.34	7.5	7.34	7.41	81	EUR	
27/08/2015 00:00	7.41	7.65	7.41	7.65	101	EUR	
28/08/2015 00:00	7.65	7.85	7.65	7.85	61	EUR	
31/08/2015 00:00	7.85	8.29	7.85	8.29	177	EUR	
01/09/2015 00:00	8.02	8.15	8.02	8.15	29	EUR	
02/09/2015 00:00	8.14	8.27	7.99	8.26	751	EUR	
03/09/2015 00:00	8.18	8.45	7.5	8.25	681	EUR	
04/09/2015 00:00	8.24	8.25	8.24	8.25	41	EUR	
07/09/2015 00:00	8.25	8.26	8.12	8.26	49	EUR	
08/09/2015 00:00	8.25	8.33	8.1	8.33	2888	EUR	
09/09/2015 00:00	8.35	8.45	8.15	8.15	356	EUR	
10/09/2015 00:00	8.12	8.12	8.12	8.12	1	EUR	
11/09/2015 00:00	8.12	8.44	8.12	8.44	143	EUR	
14/09/2015 00:00	8.34	8.34	8.2	8.2	117	EUR	
15/09/2015 00:00	8.05	8.11	8.05	8.11	53	EUR	
16/09/2015 00:00	8.09	8.09	8.09	8.09	1	EUR	
17/09/2015 00:00	8.06	8.07	8.06	8.07	49	EUR	
18/09/2015 00:00	8.07	8.07	8.07	8.07	1	EUR	
21/09/2015 00:00	8.07	8.12	8.07	8.12	28	EUR	
22/09/2015 00:00	8.12	8.12	7.95	7.95	111	EUR	
23/09/2015 00:00	7.94	7.94	7.94	7.94	1	EUR	
24/09/2015 00:00	7.94	7.94	7.84	7.84	145	EUR	
25/09/2015 00:00	7.84	8.01	7.84	8.01	16	EUR	
28/09/2015 00:00	8	8	7.61	7.61	255	EUR	
29/09/2015 00:00	7.61	7.61	7.51	7.51	101	EUR	
30/09/2015 00:00	7.5	7.51	7.42	7.51	48	EUR	
01/10/2015 00:00	7.51	7.55	7	7.15	887	EUR	
02/10/2015 00:00	7.15	7.38	7.15	7.38	977	EUR	
05/10/2015 00:00	7.1	7.55	7.1	7.55	1217	EUR	
06/10/2015 00:00	7.57	8.11	7.57	8.11	910	EUR	
07/10/2015 00:00	8.06	8.48	8.06	8.34	353	EUR	
08/10/2015 00:00	8.33	8.59	7.55	8.59	2587	EUR	
09/10/2015 00:00	8.16	8.16	7.5	8.09	661	EUR	
12/10/2015 00:00	7.88	7.88	7.73	7.73	31	EUR	
13/10/2015 00:00	7.73	7.8	7.73	7.8	21	EUR	
14/10/2015 00:00	7.79	7.8	7.21	7.8	390	EUR	
15/10/2015 00:00	7.79	8.3	7.79	8	589	EUR	
16/10/2015 00:00	7.89	7.9	7.5	7.9	463	EUR	
19/10/2015 00:00	7.88	7.88	7.73	7.73	41	EUR	
20/10/2015 00:00	7.72	7.72	7.62	7.62	169	EUR	
21/10/2015 00:00	7.62	7.69	7.62	7.69	712	EUR	
22/10/2015 00:00	7.69	7.72	7.69	7.72	35	EUR	
23/10/2015 00:00	7.71	7.71	7.71	7.71	1	EUR	
26/10/2015 00:00	7.71	7.72	7.5	7.72	814	EUR	
27/10/2015 00:00	7.61	7.61	7.45	7.45	24	EUR	
28/10/2015 00:00	7.72	7.72	7.72	7.72	501	EUR	
29/10/2015 00:00	7.71	7.71	7.71	7.71	1	EUR	
30/10/2015 00:00	7.71	7.71	6.96	7.47	1604	EUR	
02/11/2015 00:00	7.44	7.45	7.4	7.45	301	EUR	
03/11/2015 00:00	7.45	7.45	7.41	7.45	641	EUR	
04/11/2015 00:00	7.43	7.49	7.42	7.49	501	EUR	
05/11/2015 00:00	7.48	7.49	7.37	7.37	490	EUR	
06/11/2015 00:00	7.37	7.48	7.3	7.48	100	EUR	
09/11/2015 00:00	7.45	7.49	7.45	7.49	157	EUR	
10/11/2015 00:00	7.49	7.49	7.49	7.49	1	EUR	
11/11/2015 00:00	7.49	7.65	7.49	7.65	107	EUR	
12/11/2015 00:00	7.64	7.64	7.64	7.64	1	EUR	
13/11/2015 00:00	7.64	7.64	7.64	7.64	1	EUR	
16/11/2015 00:00	7.64	7.7	7.5	7.5	406	EUR	
17/11/2015 00:00	7.5	7.72	7.47	7.72	93	EUR	
18/11/2015 00:00	7.71	7.81	7.5	7.74	546	EUR	
19/11/2015 00:00	7.69	7.79	7.69	7.79	60	EUR	
20/11/2015 00:00	7.79	8.42	7.7	8.42	1273	EUR	
23/11/2015 00:00	8.21	8.21	8.21	8.21	1	EUR	
24/11/2015 00:00	8.21	8.25	8.08	8.25	733	EUR	
25/11/2015 00:00	8.24	8.24	8.1	8.15	351	EUR	
26/11/2015 00:00	8.15	8.35	8.12	8.35	242	EUR	
27/11/2015 00:00	8.31	8.75	8.15	8.75	571	EUR	
30/11/2015 00:00	8.75	8.75	8.34	8.56	658	EUR	
01/12/2015 00:00	8.56	8.56	8.56	8.56	207	EUR	
02/12/2015 00:00	8.56	8.6	8.56	8.6	525	EUR	
