date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	19.6	19.975	19.405	19.5	65327	EUR	
19/05/2015 00:00	19.5	19.9	19.5	19.79	134929	EUR	
20/05/2015 00:00	19.58	19.835	19.555	19.835	21060	EUR	
21/05/2015 00:00	19.975	20.55	19.835	20.3	380515	EUR	
22/05/2015 00:00	20.41	20.59	19.725	19.84	600402	EUR	
25/05/2015 00:00	19.83	20.385	19.61	19.73	18265	EUR	
26/05/2015 00:00	19.7	19.72	19.45	19.5	39263	EUR	
27/05/2015 00:00	19.51	19.85	19.5	19.755	64306	EUR	
28/05/2015 00:00	19.74	19.93	19.635	19.87	43019	EUR	
29/05/2015 00:00	20	20	19.36	19.5	28033	EUR	
01/06/2015 00:00	19.4	19.585	19.4	19.4	14233	EUR	
02/06/2015 00:00	19.495	19.495	18.965	19.2	93411	EUR	
03/06/2015 00:00	19.235	19.4	19.165	19.35	40912	EUR	
04/06/2015 00:00	19.345	19.51	19	19.51	37241	EUR	
05/06/2015 00:00	19.4	19.595	19.25	19.38	32297	EUR	
08/06/2015 00:00	19.5	19.8	19.32	19.445	28581	EUR	
09/06/2015 00:00	19.45	19.55	19.255	19.35	114418	EUR	
10/06/2015 00:00	19.32	19.425	19.1	19.35	44478	EUR	
11/06/2015 00:00	19.485	19.945	19.32	19.56	36290	EUR	
12/06/2015 00:00	19.465	19.735	19.305	19.44	18019	EUR	
15/06/2015 00:00	19.25	19.355	18.925	19	83111	EUR	
16/06/2015 00:00	18.85	18.9	18.255	18.615	63633	EUR	
17/06/2015 00:00	18.555	18.895	18.32	18.835	90452	EUR	
18/06/2015 00:00	18.7	18.865	18.22	18.6	67152	EUR	
19/06/2015 00:00	18.525	18.55	18.155	18.155	47457	EUR	
22/06/2015 00:00	18.22	18.435	17.9	18.26	105506	EUR	
23/06/2015 00:00	18.5	19	18.5	19	34260	EUR	
24/06/2015 00:00	19	19.085	18.68	18.785	24072	EUR	
25/06/2015 00:00	18.655	18.805	18.2	18.565	33507	EUR	
26/06/2015 00:00	18.47	19	18.3	18.9	42805	EUR	
29/06/2015 00:00	18.9	18.995	18.2	18.85	38727	EUR	
30/06/2015 00:00	18.8	18.8	18.215	18.4	75861	EUR	
01/07/2015 00:00	18.4	19.95	18.29	18.75	137929	EUR	
02/07/2015 00:00	18.99	19.37	18.99	19.37	71416	EUR	
03/07/2015 00:00	19.42	19.795	18.915	19.135	15901	EUR	
06/07/2015 00:00	18.83	19.085	18.31	18.5	74404	EUR	
07/07/2015 00:00	18.57	18.64	18.155	18.5	41502	EUR	
08/07/2015 00:00	18.5	18.96	18.295	18.5	546607	EUR	
09/07/2015 00:00	18.71	19.8	18.505	19.35	38921	EUR	
10/07/2015 00:00	19.695	19.695	19.29	19.4	37822	EUR	
13/07/2015 00:00	19.71	19.71	19.25	19.45	49136	EUR	
14/07/2015 00:00	19.45	19.49	19.22	19.45	38445	EUR	
15/07/2015 00:00	19.56	20.1	19.395	20.045	31487	EUR	
16/07/2015 00:00	20.045	20.4	19.8	20.33	74879	EUR	
17/07/2015 00:00	20.4	20.79	20.165	20.7	76997	EUR	
20/07/2015 00:00	20.98	20.98	20.43	20.595	43964	EUR	
21/07/2015 00:00	20.55	20.56	20.05	20.05	95655	EUR	
22/07/2015 00:00	20.2	20.2	19.96	20	44134	EUR	
23/07/2015 00:00	20.24	20.345	19.75	20	41907	EUR	
24/07/2015 00:00	19.98	20.185	19.75	20.185	132608	EUR	
27/07/2015 00:00	20.3	20.3	19.55	19.725	295471	EUR	
28/07/2015 00:00	19.95	19.95	19.55	19.685	36499	EUR	
29/07/2015 00:00	20.305	20.305	19.81	20.25	148406	EUR	
30/07/2015 00:00	20.25	20.395	20.13	20.305	33049	EUR	
31/07/2015 00:00	20.27	20.845	20.2	20.845	58781	EUR	
03/08/2015 00:00	20.84	21.315	20.615	21	101545	EUR	
04/08/2015 00:00	21.04	21.745	21.01	21.555	137130	EUR	
05/08/2015 00:00	21.595	21.75	21.39	21.75	133521	EUR	
06/08/2015 00:00	21.75	22.515	21.735	22.515	257763	EUR	
07/08/2015 00:00	22.295	22.61	21.8	22.5	452443	EUR	
10/08/2015 00:00	22.59	22.59	22	22.165	74348	EUR	
11/08/2015 00:00	22.2	22.26	21.82	22.11	38405	EUR	
12/08/2015 00:00	22.105	23	21.85	22.205	115462	EUR	
13/08/2015 00:00	22.3	22.7	22.25	22.45	63442	EUR	
14/08/2015 00:00	22.405	22.895	22.315	22.48	178010	EUR	
17/08/2015 00:00	22.475	22.88	21.83	22.05	71092	EUR	
18/08/2015 00:00	22	22.2	21.895	22.14	30935	EUR	
19/08/2015 00:00	22	22.325	22	22	48676	EUR	
20/08/2015 00:00	22	22.225	21.675	21.855	62691	EUR	
21/08/2015 00:00	21.52	21.945	21.19	21.365	55759	EUR	
24/08/2015 00:00	21.025	21.025	19.7	20.36	153751	EUR	
25/08/2015 00:00	20.36	21.645	19.93	21.6	171294	EUR	
26/08/2015 00:00	21.545	21.545	20.845	20.845	40084	EUR	
27/08/2015 00:00	21.195	21.595	20.95	21.445	77244	EUR	
28/08/2015 00:00	21.44	21.75	21.05	21.715	48899	EUR	
31/08/2015 00:00	21.685	21.795	21.005	21.675	64455	EUR	
01/09/2015 00:00	21.35	21.685	20.98	21.375	350373	EUR	
02/09/2015 00:00	21.56	21.75	21.225	21.6	159814	EUR	
03/09/2015 00:00	21.885	22.385	21.715	22.2	39070	EUR	
04/09/2015 00:00	22	22.1	21.75	22	40664	EUR	
07/09/2015 00:00	22	22.075	21.505	21.87	25359	EUR	
08/09/2015 00:00	21.87	22.16	21.72	22.005	59517	EUR	
09/09/2015 00:00	22	22.22	21.405	21.75	119952	EUR	
10/09/2015 00:00	21.75	21.85	21.43	21.795	51045	EUR	
11/09/2015 00:00	21.7	21.77	21.35	21.4	27811	EUR	
14/09/2015 00:00	21.685	21.685	21.1	21.215	30658	EUR	
15/09/2015 00:00	21.39	21.5	21.235	21.295	24156	EUR	
16/09/2015 00:00	21.39	21.645	21.305	21.445	38601	EUR	
17/09/2015 00:00	21.45	21.6	21.24	21.51	89733	EUR	
18/09/2015 00:00	21.595	21.7	21.52	21.6	97446	EUR	
21/09/2015 00:00	21.6	22.175	21.43	22.175	67872	EUR	
22/09/2015 00:00	22.2	22.345	21.87	22	85910	EUR	
23/09/2015 00:00	22	22.12	21.805	22	55382	EUR	
24/09/2015 00:00	22	22.185	21.715	21.9	54892	EUR	
25/09/2015 00:00	21.89	22.6	21.84	22.45	91754	EUR	
28/09/2015 00:00	22.455	22.835	22.455	22.65	274443	EUR	
29/09/2015 00:00	22.515	22.76	22.245	22.5	96803	EUR	
30/09/2015 00:00	22.69	23	22.5	22.9	62277	EUR	
01/10/2015 00:00	23.21	23.49	22.68	22.99	108887	EUR	
02/10/2015 00:00	23	23.045	22.3	22.45	224896	EUR	
05/10/2015 00:00	22.75	22.815	22.455	22.635	136664	EUR	
06/10/2015 00:00	22.76	22.76	22.32	22.595	55430	EUR	
07/10/2015 00:00	22.63	22.63	21.93	22.175	87873	EUR	
08/10/2015 00:00	22.375	22.375	21.2	21.255	75802	EUR	
09/10/2015 00:00	21.49	21.49	21	21.4	97619	EUR	
12/10/2015 00:00	21.4	21.715	21.165	21.53	55821	EUR	
13/10/2015 00:00	21.575	21.92	21.49	21.92	38268	EUR	
14/10/2015 00:00	21.75	21.935	21.525	21.795	46808	EUR	
15/10/2015 00:00	21.94	21.95	21.74	21.825	47061	EUR	
16/10/2015 00:00	21.8	21.915	21.64	21.755	117910	EUR	
19/10/2015 00:00	21.755	21.97	21.63	21.7	37808	EUR	
20/10/2015 00:00	21.575	21.955	21.4	21.925	68551	EUR	
