date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	218.1	220.85	217.95	219.3	12866	EUR	
19/05/2015 00:00	218.2	221.6	218.2	219.3	8369	EUR	
20/05/2015 00:00	218.45	219.95	218.45	219.3	8445	EUR	
21/05/2015 00:00	219.3	220.15	219.2	219.3	5672	EUR	
22/05/2015 00:00	219.3	220.15	219.3	219.3	2821	EUR	
25/05/2015 00:00	219	219.9	219	219.9	1395	EUR	
26/05/2015 00:00	219.3	219.75	219.3	219.3	2544	EUR	
27/05/2015 00:00	219.3	219.4	219.3	219.4	3810	EUR	
28/05/2015 00:00	219.4	219.85	218.95	219.3	26116	EUR	
29/05/2015 00:00	218.15	219.6	217.5	219.6	11373	EUR	
01/06/2015 00:00	218.45	219	217.5	218	3491	EUR	
02/06/2015 00:00	217.5	219	217.5	218	9007	EUR	
03/06/2015 00:00	218	218	217.5	217.75	11038	EUR	
04/06/2015 00:00	217.95	217.95	217.5	217.75	4511	EUR	
05/06/2015 00:00	217.5	218	217.5	217.5	10634	EUR	
08/06/2015 00:00	217.5	218	217.5	217.75	2586	EUR	
09/06/2015 00:00	217.5	217.9	217.5	217.8	8012	EUR	
10/06/2015 00:00	217.5	217.8	217.5	217.8	11844	EUR	
11/06/2015 00:00	217.5	218.5	217.5	217.5	28247	EUR	
12/06/2015 00:00	217.5	217.75	217.5	217.6	5799	EUR	
15/06/2015 00:00	217.6	217.75	217.5	217.6	10146	EUR	
16/06/2015 00:00	217.5	217.9	217.5	217.9	4350	EUR	
17/06/2015 00:00	217.55	217.9	217.5	217.9	7141	EUR	
18/06/2015 00:00	217.6	217.85	217.6	217.6	5004	EUR	
19/06/2015 00:00	217.85	218.85	217.55	218.7	16173	EUR	
22/06/2015 00:00	217.8	219	217.6	217.85	13018	EUR	
23/06/2015 00:00	217.6	218.5	217.6	218.5	2014	EUR	
24/06/2015 00:00	218.5	218.7	217.8	218.1	2524	EUR	
25/06/2015 00:00	217.55	218	217.55	217.8	3545	EUR	
26/06/2015 00:00	217.8	217.85	217.65	217.75	18255	EUR	
29/06/2015 00:00	217.55	217.95	217.55	217.65	28094	EUR	
30/06/2015 00:00	217.55	217.95	217.5	217.55	8792	EUR	
01/07/2015 00:00	217.75	217.75	217.55	217.7	7896	EUR	
02/07/2015 00:00	217.6	217.75	217.5	217.65	29739	EUR	
03/07/2015 00:00	217.55	217.65	217.55	217.6	10366	EUR	
06/07/2015 00:00	217.55	217.65	217.5	217.6	18100	EUR	
07/07/2015 00:00	217.55	217.65	217.5	217.55	13953	EUR	
08/07/2015 00:00	217.55	218	217.55	217.75	10375	EUR	
09/07/2015 00:00	217.55	217.75	217.5	217.55	32939	EUR	
10/07/2015 00:00	217.75	217.8	217.55	217.7	9252	EUR	
13/07/2015 00:00	217.55	217.6	217.5	217.55	8747	EUR	
14/07/2015 00:00	217.55	217.65	217.5	217.5	40975	EUR	
15/07/2015 00:00	217.5	217.6	217.5	217.5	68643	EUR	
16/07/2015 00:00	217.5	217.6	217.5	217.6	15944	EUR	
17/07/2015 00:00	217.5	217.7	217.5	217.5	212369	EUR	
20/07/2015 00:00	211	211	195.1	207	3564	EUR	
21/07/2015 00:00	207	209.2	206	207	1977	EUR	
22/07/2015 00:00	206.05	207.65	204.9	207.65	2703	EUR	
23/07/2015 00:00	207	214.25	207	207.6	1202	EUR	
24/07/2015 00:00	211.9	212.3	202.55	202.55	10578	EUR	
27/07/2015 00:00	201.2	206	201.2	203	2837	EUR	
28/07/2015 00:00	204.5	204.9	197	197	7613	EUR	
29/07/2015 00:00	197	202.55	196.5	196.5	9925	EUR	
30/07/2015 00:00	196.1	199.8	187.85	197.5	5745	EUR	
31/07/2015 00:00	196.7	199.7	196.55	197	3869	EUR	
03/08/2015 00:00	196.85	199.95	195.05	199.65	1526	EUR	
04/08/2015 00:00	200	200	195.55	197.9	4061	EUR	
05/08/2015 00:00	197.9	197.9	195.55	197	2092	EUR	
06/08/2015 00:00	195.6	199.9	195.6	199.55	722	EUR	
07/08/2015 00:00	197.7	197.7	191	194.55	5185	EUR	
10/08/2015 00:00	193.75	195.05	192	193.6	7691	EUR	
11/08/2015 00:00	191.1	194	191.1	193.5	2076	EUR	
12/08/2015 00:00	191.9	192.8	190.05	191.65	2851	EUR	
13/08/2015 00:00	191.95	194.9	191	194.9	1106	EUR	
14/08/2015 00:00	195	197.5	195	195	490	EUR	
17/08/2015 00:00	197	197	195	196.7	602	EUR	
18/08/2015 00:00	196.65	198.95	196.45	198.95	380	EUR	
19/08/2015 00:00	198.85	199.45	196.05	198	1629	EUR	
20/08/2015 00:00	198	198	193.1	196.1	1298	EUR	
