date	ouv	haut	bas	clot	vol	devise	
19/05/2015 00:00	1.46	1.46	1.46	1.46	3698	EUR	
20/05/2015 00:00	1.5	1.5	1.5	1.5	6100	EUR	
21/05/2015 00:00	1.5	1.5	1.5	1.5	400	EUR	
22/05/2015 00:00	1.46	1.46	1.46	1.46	2906	EUR	
25/05/2015 00:00	1.47	1.47	1.47	1.47	100	EUR	
26/05/2015 00:00	1.44	1.44	1.44	1.44	1000	EUR	
27/05/2015 00:00	1.4	1.4	1.4	1.4	2730	EUR	
28/05/2015 00:00	1.38	1.38	1.38	1.38	3415	EUR	
29/05/2015 00:00	1.38	1.38	1.38	1.38	2100	EUR	
01/06/2015 00:00	1.47	1.47	1.47	1.47	1200	EUR	
02/06/2015 00:00	1.53	1.53	1.53	1.53	1000	EUR	
03/06/2015 00:00	1.54	1.54	1.54	1.54	189	EUR	
04/06/2015 00:00	1.54	1.54	1.54	1.54	0	EUR	
08/06/2015 00:00	1.4	1.4	1.4	1.4	1770	EUR	
09/06/2015 00:00	1.41	1.41	1.41	1.41	1000	EUR	
10/06/2015 00:00	1.5	1.5	1.5	1.5	77	EUR	
11/06/2015 00:00	1.5	1.5	1.5	1.5	1030	EUR	
12/06/2015 00:00	1.38	1.38	1.38	1.38	15500	EUR	
15/06/2015 00:00	1.45	1.45	1.45	1.45	0	EUR	
17/06/2015 00:00	1.4	1.4	1.4	1.4	6602	EUR	
18/06/2015 00:00	1.45	1.45	1.45	1.45	500	EUR	
19/06/2015 00:00	1.48	1.48	1.48	1.48	777	EUR	
22/06/2015 00:00	1.38	1.38	1.38	1.38	600	EUR	
23/06/2015 00:00	1.48	1.48	1.48	1.48	373	EUR	
24/06/2015 00:00	1.41	1.41	1.41	1.41	2010	EUR	
25/06/2015 00:00	1.49	1.49	1.49	1.49	2377	EUR	
26/06/2015 00:00	1.5	1.5	1.5	1.5	200	EUR	
30/06/2015 00:00	1.38	1.38	1.38	1.38	1857	EUR	
01/07/2015 00:00	1.31	1.31	1.31	1.31	2200	EUR	
02/07/2015 00:00	1.31	1.31	1.31	1.31	26675	EUR	
03/07/2015 00:00	1.32	1.32	1.32	1.32	12737	EUR	
06/07/2015 00:00	1.44	1.44	1.44	1.44	3580	EUR	
07/07/2015 00:00	1.5	1.5	1.5	1.5	0	EUR	
13/07/2015 00:00	1.45	1.45	1.45	1.45	3900	EUR	
14/07/2015 00:00	1.45	1.45	1.45	1.45	580	EUR	
